序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2013/08/31,松山,2.8,0.49,437.12,18.8,28,23,18.0,27.35,5.14,22.2,2.113,0.217,1.9,26.51,85.42,41.0
2,臺北市,2013/08/31,古亭,2.9,0.65,-,15.2,27,32,18.0,32.3,7.52,24.78,2.132,0.252,1.88,26.5,94.58,35.0
3,臺北市,2013/08/31,中山,3.9,0.87,-,10.5,20,61,30.0,46.18,13.73,32.44,2.364,0.35,2.02,27.21,86.83,56.0
4,臺北市,2013/08/31,大同,4.9,1.91,-,-,-,39,23.0,80.12,45.06,35.06,2.757,0.655,2.1,-,-,39.0
5,臺北市,2013/08/31,萬華,4.0,0.77,-,11.6,23,33,18.0,39.13,9.0,30.13,-,-,-,27.12,87.33,44.0
6,臺北市,2013/08/31,陽明,1.3,0.18,396.34,34.9,55,10,6.0,5.0,0.96,4.03,-,-,-,21.91,99.96,53.0
7,臺北市,2013/08/31,士林,3.1,0.54,-,18.8,33,47,18.0,29.45,7.01,22.43,-,-,-,26.61,86.86,47.0
8,臺北市,2013/08/30,松山,4.0,0.6,430.55,20.1,40,29,19.0,33.87,9.84,24.02,2.119,0.253,1.87,28.16,71.46,57.0
9,臺北市,2013/08/30,古亭,3.5,0.63,-,15.2,30,31,16.0,33.19,9.47,23.73,2.096,0.251,1.85,28.15,76.28,40.0
10,臺北市,2013/08/30,中山,4.2,0.86,-,15.8,31,47,26.0,44.72,16.06,28.66,2.245,0.338,1.91,28.84,72.68,53.0
11,臺北市,2013/08/30,大同,4.9,2.09,-,-,-,37,22.0,76.49,42.55,33.94,2.782,0.733,2.05,-,-,37.0
12,臺北市,2013/08/30,萬華,3.8,0.82,-,13.8,27,28,16.0,41.55,14.0,27.55,-,-,-,28.74,73.0,39.0
13,臺北市,2013/08/30,陽明,1.8,0.14,395.06,28.1,33,9,6.0,6.99,2.15,4.83,-,-,-,22.48,94.68,37.0
14,臺北市,2013/08/30,士林,3.7,0.51,-,22.5,39,28,18.0,26.96,6.75,20.19,-,-,-,28.34,74.76,62.0
15,臺北市,2013/08/29,松山,2.7,0.54,426.26,7.5,10,15,14.0,32.27,14.44,17.82,2.087,0.253,1.83,26.78,85.64,15.0
16,臺北市,2013/08/29,古亭,2.4,0.58,-,7.3,10,21,11.0,31.89,14.64,17.25,2.091,0.284,1.81,26.77,94.33,21.0
17,臺北市,2013/08/29,中山,2.7,0.81,-,6.0,8,45,23.0,43.82,24.67,19.14,2.231,0.339,1.89,27.44,86.26,45.0
18,臺北市,2013/08/29,大同,3.6,1.5,-,-,-,25,16.0,53.36,33.54,19.82,2.448,0.509,1.94,-,-,25.0
19,臺北市,2013/08/29,萬華,2.5,0.53,-,7.2,8,19,12.0,25.98,9.36,16.62,-,-,-,27.51,85.6,19.0
20,臺北市,2013/08/29,陽明,0.7,0.06,394.54,22.5,24,5,3.0,4.47,2.13,2.34,-,-,-,22.09,99.36,23.0
21,臺北市,2013/08/29,士林,1.6,0.28,-,12.9,14,20,11.0,16.74,3.63,13.11,-,-,-,26.91,85.0,20.0
22,臺北市,2013/08/28,松山,1.2,0.28,405.64,8.9,16,13,12.0,18.34,7.74,10.6,1.876,0.127,1.75,29.41,70.33,17.0
23,臺北市,2013/08/28,古亭,1.5,0.25,-,11.4,16,21,10.0,14.71,5.71,9.01,1.795,0.081,1.71,30.27,68.62,21.0
24,臺北市,2013/08/28,中山,-,-,-,-,13,-,-,-,-,-,-,-,-,30.72,70.48,13.0
25,臺北市,2013/08/28,大同,2.4,1.06,-,-,-,32,17.0,55.49,39.21,16.28,2.196,0.372,1.82,-,-,32.0
26,臺北市,2013/08/28,萬華,1.6,0.32,-,7.8,13,21,10.0,22.76,10.58,12.19,-,-,-,30.41,69.34,21.0
27,臺北市,2013/08/28,陽明,2.0,0.05,392.82,16.7,20,6,4.0,1.83,0.74,1.06,-,-,-,22.76,98.69,18.0
28,臺北市,2013/08/28,士林,1.6,0.15,-,17.3,22,20,11.0,9.64,3.4,6.24,-,-,-,30.21,69.25,21.0
29,臺北市,2013/08/27,松山,1.9,0.34,409.19,12.1,25,20,17.0,20.61,8.23,12.38,1.932,0.153,1.78,30.4,64.42,37.0
30,臺北市,2013/08/27,古亭,2.1,0.32,-,12.0,23,30,16.0,17.54,7.02,10.52,1.866,0.115,1.75,30.47,67.99,35.0
31,臺北市,2013/08/27,中山,2.6,0.5,-,11.4,21,43,30.0,26.53,10.16,16.37,2.09,0.224,1.87,31.4,65.02,43.0
32,臺北市,2013/08/27,大同,4.5,1.62,-,-,-,41,24.0,74.26,53.31,20.95,2.532,0.615,1.92,-,-,41.0
33,臺北市,2013/08/27,萬華,3.0,0.43,-,10.0,22,25,17.0,25.18,9.89,15.29,-,-,-,31.15,65.19,35.0
34,臺北市,2013/08/27,陽明,2.8,0.14,401.03,19.0,33,13,10.0,5.92,0.71,5.22,-,-,-,23.83,94.61,37.0
35,臺北市,2013/08/27,士林,2.8,0.27,-,14.8,27,22,16.0,15.56,4.87,10.69,-,-,-,30.87,68.41,38.0
36,臺北市,2013/08/26,松山,4.5,0.52,423.82,27.2,61,34,25.0,27.08,5.29,21.79,2.107,0.213,1.9,30.07,64.84,87.0
37,臺北市,2013/08/26,古亭,3.8,0.57,-,25.3,58,40,21.0,26.66,6.05,20.61,2.023,0.213,1.81,29.87,71.62,77.0
38,臺北市,2013/08/26,中山,2.9,0.71,-,20.9,45,51,33.0,34.18,9.75,24.43,2.153,0.265,1.89,30.89,64.84,64.0
39,臺北市,2013/08/26,大同,3.1,1.64,-,-,-,43,24.0,60.11,34.58,25.53,2.477,0.488,1.99,-,-,43.0
40,臺北市,2013/08/26,萬華,2.9,0.65,-,18.6,46,34,19.0,27.1,5.61,21.49,-,-,-,30.67,66.82,76.0
41,臺北市,2013/08/26,陽明,2.5,0.15,401.45,33.7,50,14,11.0,5.03,1.59,3.43,-,-,-,23.95,90.88,57.0
42,臺北市,2013/08/26,士林,3.0,0.46,-,21.0,53,42,22.0,20.13,4.63,15.5,-,-,-,30.26,72.65,68.0
43,臺北市,2013/08/25,松山,2.5,0.51,426.98,22.5,50,28,20.0,25.53,4.6,20.93,2.169,0.254,1.92,29.03,69.96,71.0
