序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2015/04/30,松山,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-
2,臺北市,2015/04/30,松山,6.5,0.45,420.49,49.8,62,-,22.87,3.21,19.66,1.946,0.111,1.835,2.45,2.02,23.84,-,-,73.07,-
3,臺北市,2015/04/30,古亭,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,-,-,-,-
4,臺北市,2015/04/30,古亭,5,0.5,-,42.1,77,-,23.35,2.59,20.76,2.061,0.114,1.947,3,2.61,24.54,-,-,75.13,-
5,臺北市,2015/04/30,中山,-,-,-,-,-,41,-,-,-,-,-,-,-,-,-,-,-,-,-
6,臺北市,2015/04/30,中山,11.3,0.57,-,41.5,55,-,32.99,5.67,27.32,2.047,0.144,1.903,2.67,2.46,24.74,-,-,74.01,-
7,臺北市,2015/04/30,大同,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,-,-,-,-
8,臺北市,2015/04/30,大同,11.2,1.32,-,-,80,-,72.95,31.59,41.35,2.369,0.389,1.981,-,-,-,-,-,-,-
9,臺北市,2015/04/30,萬華,-,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-
10,臺北市,2015/04/30,萬華,8.9,0.47,-,45.8,61,-,29.5,4.4,25.09,-,-,-,3.51,3.17,24.17,-,-,73.55,-
11,臺北市,2015/04/30,陽明,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-
12,臺北市,2015/04/30,陽明,2.2,0.28,412.44,55.4,32,-,6.03,1.85,4.19,-,-,-,-,-,18.71,0,0,89.79,0
13,臺北市,2015/04/30,士林,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-,-,-
14,臺北市,2015/04/30,士林,5.4,0.36,-,51.3,51,-,14.93,1.47,13.45,-,-,-,2.77,2.53,24.5,-,-,71.55,-
15,臺北市,2015/04/29,松山,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-
16,臺北市,2015/04/29,松山,3.7,0.54,428.65,23.2,57,-,31.4,7.79,23.61,2.058,0.18,1.878,1.79,1.37,26.06,-,-,74.71,-
17,臺北市,2015/04/29,古亭,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-
18,臺北市,2015/04/29,古亭,3.9,0.59,-,18.4,63,-,27.26,5.41,21.85,2.164,0.19,1.973,1.81,1.35,26.24,-,-,78.67,-
19,臺北市,2015/04/29,中山,4.5,0.85,-,17.9,40,-,40.52,14.99,25.53,2.238,0.254,1.983,1.87,0.94,26.61,-,-,77.01,-
20,臺北市,2015/04/29,大同,-,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-
21,臺北市,2015/04/29,大同,5.2,1.21,-,-,61,-,47.99,21.67,26.32,2.731,0.596,2.135,-,-,-,-,-,-,-
22,臺北市,2015/04/29,萬華,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-
23,臺北市,2015/04/29,萬華,4.2,0.64,-,18.3,52,-,30.52,6.06,24.46,-,-,-,1.45,0.94,26.11,-,-,76.86,-
24,臺北市,2015/04/29,陽明,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-
25,臺北市,2015/04/29,陽明,1.8,0.21,410.86,33.7,19,-,6.59,1.97,4.62,-,-,-,-,-,19.3,0,0,96.25,0
26,臺北市,2015/04/29,士林,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-
27,臺北市,2015/04/29,士林,3.1,0.37,-,25.9,33,-,17.48,3.33,14.16,-,-,-,2.24,1.95,25.85,-,-,75.59,-
