序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2009/03/31,松山,2.3,0.51,402.7,33.7,39,56,35.0,26.86,3.22,23.64,2.093,0.16,1.93,16.65,68.53,53.0
2,臺北市,2009/03/31,古亭,2.4,0.68,-,27.8,32,68,36.0,38.54,8.1,30.44,2.24,0.299,1.94,16.9,73.33,59.0
3,臺北市,2009/03/31,中山,2.7,0.76,-,26.0,30,65,42.0,40.89,8.15,32.75,2.218,0.269,1.95,16.04,70.33,58.0
4,臺北市,2009/03/31,萬華,1.9,0.75,-,27.9,34,59,39.0,35.2,4.67,30.52,-,-,-,16.29,74.71,54.0
5,臺北市,2009/03/31,陽明,1.6,0.26,394.08,54.5,56,22,15.0,5.54,1.41,4.13,-,-,-,9.03,98.38,49.0
6,臺北市,2009/03/31,士林,1.9,0.52,-,35.0,48,67,34.0,20.29,1.75,18.53,-,-,-,16.42,70.46,58.0
7,臺北市,2009/03/30,松山,2.2,0.55,403.02,27.1,36,39,24.0,32.46,3.86,28.6,2.105,0.177,1.93,15.63,78.97,39.0
8,臺北市,2009/03/30,古亭,2.3,0.59,-,30.6,40,45,23.0,32.14,5.76,26.38,2.087,0.176,1.91,16.05,81.05,45.0
9,臺北市,2009/03/30,中山,2.6,0.72,-,24.7,35,46,32.0,41.57,7.62,33.95,2.232,0.263,1.97,15.38,77.31,46.0
10,臺北市,2009/03/30,萬華,1.7,0.7,-,24.7,35,40,24.0,34.53,5.07,29.46,-,-,-,15.69,80.73,40.0
11,臺北市,2009/03/30,陽明,1.3,0.26,393.3,52.8,55,11,9.0,4.04,1.11,2.93,-,-,-,8.99,99.06,47.0
12,臺北市,2009/03/30,士林,2.4,0.47,-,36.6,45,43,17.0,18.81,1.55,17.25,-,-,-,15.91,73.85,43.0
13,臺北市,2009/03/29,松山,1.8,0.33,391.87,36.6,40,12,9.0,17.85,1.73,16.11,1.992,0.083,1.91,16.43,82.28,37.0
14,臺北市,2009/03/29,古亭,1.2,0.51,-,29.3,39,22,13.0,28.94,4.89,24.05,2.061,0.143,1.92,16.57,88.8,36.0
15,臺北市,2009/03/29,中山,1.5,0.53,-,26.4,33,17,19.0,33.95,6.32,27.63,2.137,0.18,1.96,15.83,85.99,32.0
16,臺北市,2009/03/29,萬華,1.0,0.5,-,29.9,36,14,13.0,26.8,3.35,23.44,-,-,-,16.06,90.99,36.0
17,臺北市,2009/03/29,陽明,1.1,0.19,390.96,49.0,51,5,3.0,2.04,0.73,1.3,-,-,-,10.42,99.03,43.0
18,臺北市,2009/03/29,士林,1.3,0.37,-,32.4,35,25,10.0,18.53,2.64,15.88,-,-,-,16.03,86.83,39.0
19,臺北市,2009/03/28,松山,2.3,0.49,398.72,24.3,28,32,24.0,29.43,4.46,24.97,2.113,0.172,1.94,18.6,84.73,32.0
20,臺北市,2009/03/28,古亭,1.8,0.62,-,21.6,27,41,26.0,35.01,5.75,29.27,2.171,0.221,1.95,18.94,87.99,41.0
