序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2001/06/30,松山,4.2,0.6,30.9,-,33,-,29.26,7.53,21.72,-,-,-,31.26,-,-,80.0,-
2,臺北市,2001/06/30,古亭,3.1,0.74,35.8,-,39,19,31.85,10.25,21.6,2.013,0.28,1.74,32.34,-,-,101.0,-
3,臺北市,2001/06/30,中山,3.6,0.75,28.5,-,41,-,34.23,10.72,23.51,2.504,0.33,2.18,31.48,-,-,75.0,-
4,臺北市,2001/06/30,大同,6.6,2.47,-,-,50,-,108.55,74.62,33.93,3.466,1.3,2.16,32.05,-,-,50.0,-
5,臺北市,2001/06/30,萬華,2.9,0.16,32.5,-,51,-,26.68,4.37,22.32,-,-,-,32.25,-,-,90.0,-
6,臺北市,2001/06/30,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82.0,-,-
7,臺北市,2001/06/30,士林,1.8,0.75,27.0,-,35,-,26.9,9.66,17.24,-,-,-,30.77,-,-,54.0,-
8,臺北市,2001/06/29,松山,2.3,0.67,15.2,-,31,-,32.16,10.94,21.22,-,-,-,31.29,-,-,38.0,-
9,臺北市,2001/06/29,古亭,2.3,0.86,20.5,-,33,17,38.46,16.12,22.34,2.212,0.37,1.84,32.48,-,-,66.0,-
10,臺北市,2001/06/29,中山,3.9,0.83,19.4,-,45,-,37.91,13.21,24.7,2.621,0.5,2.12,31.86,-,-,59.0,-
11,臺北市,2001/06/29,大同,6.4,2.64,-,-,48,-,102.52,65.12,37.4,3.55,1.29,2.26,32.84,-,-,48.0,-
12,臺北市,2001/06/29,萬華,2.6,0.42,24.6,-,51,-,25.34,4.06,21.28,-,-,-,32.34,-,-,68.0,-
13,臺北市,2001/06/29,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79.0,-,-
14,臺北市,2001/06/29,士林,2.5,0.73,21.1,-,29,-,25.74,7.46,18.28,-,-,-,30.61,-,-,56.0,-
15,臺北市,2001/06/28,松山,4.3,0.7,17.4,-,37,-,34.92,11.98,22.95,-,-,-,30.78,-,-,46.0,-
16,臺北市,2001/06/28,古亭,2.7,0.85,20.1,-,36,20,38.32,14.62,23.69,2.257,0.47,1.79,31.93,-,-,57.0,-
17,臺北市,2001/06/28,中山,2.8,0.77,19.8,-,44,-,36.34,11.78,24.56,2.583,0.38,2.2,30.93,-,-,58.0,-
18,臺北市,2001/06/28,大同,4.5,2.01,-,-,39,-,84.59,51.56,33.02,3.042,0.87,2.17,31.61,-,-,39.0,-
19,臺北市,2001/06/28,萬華,1.3,0.36,23.1,-,55,-,26.38,4.58,21.8,-,-,-,31.51,-,-,52.0,-
20,臺北市,2001/06/28,陽明,2.1,0.24,30.0,-,13,-,5.3,0.46,4.84,-,-,-,24.68,-,87.0,40.0,-
21,臺北市,2001/06/28,士林,1.2,0.74,17.3,-,23,-,24.91,5.46,19.45,-,-,-,30.31,-,-,46.0,-
22,臺北市,2001/06/27,松山,2.9,0.76,25.0,-,27,-,32.14,7.7,24.43,-,-,-,30.24,-,-,51.0,-
23,臺北市,2001/06/27,古亭,2.3,0.74,24.0,-,32,20,34.37,10.14,24.23,2.118,0.32,1.8,31.2,-,-,53.0,-
24,臺北市,2001/06/27,中山,3.4,0.79,25.7,-,42,-,35.42,9.44,25.98,2.585,0.35,2.24,30.36,-,-,53.0,-
25,臺北市,2001/06/27,大同,5.3,2.35,-,-,53,-,94.74,56.78,37.95,3.316,1.11,2.21,30.99,-,-,51.0,-
26,臺北市,2001/06/27,萬華,1.6,0.39,27.0,-,43,-,25.44,2.24,23.2,-,-,-,30.9,-,-,50.0,-
27,臺北市,2001/06/27,陽明,3.2,0.2,35.1,-,12,-,3.85,0.7,3.16,-,-,-,25.1,-,83.0,52.0,-
28,臺北市,2001/06/27,士林,1.5,0.72,18.8,-,23,-,26.26,5.14,21.12,-,-,-,29.92,-,-,44.0,-
29,臺北市,2001/06/26,松山,2.9,0.88,17.3,-,29,-,39.1,10.45,28.64,-,-,-,28.45,-,-,63.0,-
30,臺北市,2001/06/26,古亭,2.2,1.03,23.0,-,36,17,44.59,17.5,27.1,2.329,0.43,1.9,29.78,-,-,61.0,-
31,臺北市,2001/06/26,中山,2.7,1.1,15.6,-,42,-,47.3,16.4,30.91,2.799,0.45,2.35,29.14,-,-,42.0,-
32,臺北市,2001/06/26,大同,5.5,3.72,-,-,61,-,152.94,110.3,42.65,-,-,-,29.76,-,-,74.0,-
33,臺北市,2001/06/26,萬華,0.5,0.57,16.6,-,28,-,31.31,5.08,26.23,-,-,-,29.19,-,-,53.0,-
34,臺北市,2001/06/26,陽明,1.1,0.16,30.3,-,14,-,3.38,0.16,3.22,-,-,-,23.78,-,86.0,34.0,-
35,臺北市,2001/06/26,士林,2.2,1.02,11.9,-,31,-,40.48,12.79,27.68,-,-,-,28.38,-,-,31.0,-
36,臺北市,2001/06/25,松山,2.3,0.63,15.6,-,26,-,25.84,6.89,18.95,-,-,-,29.94,-,-,32.0,-
37,臺北市,2001/06/25,古亭,1.8,0.72,17.2,-,24,11,29.33,10.88,18.45,2.151,0.2,1.95,30.59,-,-,40.0,-
38,臺北市,2001/06/25,中山,2.8,0.81,17.0,-,37,-,34.13,9.76,24.37,2.594,0.28,2.31,29.94,-,-,49.0,-
39,臺北市,2001/06/25,大同,4.1,2.31,-,-,49,-,107.22,67.38,39.84,-,-,-,30.34,-,-,49.0,-
40,臺北市,2001/06/25,萬華,1.6,0.42,18.8,-,31,-,23.37,2.56,20.81,-,-,-,30.14,-,-,45.0,-
41,臺北市,2001/06/25,陽明,0.9,0.27,29.7,-,13,-,4.27,0.32,3.95,-,-,-,24.73,-,88.0,34.0,-
42,臺北市,2001/06/25,士林,0.8,0.75,17.5,-,26,-,24.37,3.95,20.42,-,-,-,29.75,-,-,46.0,-
43,臺北市,2001/06/24,松山,4.1,0.67,21.8,-,29,-,28.03,10.38,17.65,-,-,-,29.51,-,-,44.0,-
44,臺北市,2001/06/24,古亭,3.4,0.64,25.4,-,29,14,28.54,10.0,18.54,2.197,0.29,1.91,30.75,-,-,59.0,-
45,臺北市,2001/06/24,中山,3.8,0.79,22.0,-,34,-,34.68,12.5,22.18,2.704,0.31,2.39,29.79,-,-,50.0,-
46,臺北市,2001/06/24,大同,4.7,1.96,-,-,46,-,97.47,60.25,37.22,3.213,0.83,2.39,30.24,-,-,46.0,-
47,臺北市,2001/06/24,萬華,3.2,0.12,23.2,-,39,-,27.29,5.88,21.41,-,-,-,30.31,-,-,57.0,-
48,臺北市,2001/06/24,陽明,2.7,0.29,35.1,-,14,-,5.69,0.42,5.27,-,-,-,23.75,-,90.0,45.0,-
49,臺北市,2001/06/24,士林,0.7,0.79,20.8,-,28,-,25.65,6.7,18.95,-,-,-,29.12,-,-,48.0,-
50,臺北市,2001/06/23,松山,0.7,0.48,13.0,-,18,-,22.17,11.58,10.59,-,-,-,29.36,-,-,18.0,-
51,臺北市,2001/06/23,古亭,0.9,0.62,10.3,-,16,6,28.48,14.38,14.1,2.059,0.24,1.82,30.43,-,-,16.0,-
52,臺北市,2001/06/23,中山,0.8,0.64,9.1,-,28,-,30.11,14.39,15.72,2.429,0.27,2.16,29.83,-,-,28.0,-
53,臺北市,2001/06/23,大同,3.3,2.56,-,-,39,-,124.81,97.59,27.23,3.183,1.07,2.12,30.36,-,-,43.0,-
54,臺北市,2001/06/23,萬華,0.7,0.55,11.9,-,28,-,22.19,5.34,16.85,-,-,-,30.06,-,-,28.0,-
55,臺北市,2001/06/23,陽明,0.4,0.2,18.8,-,14,-,3.12,0.14,2.99,-,-,-,23.45,-,88.0,19.0,-
56,臺北市,2001/06/23,士林,0.4,0.46,10.9,-,21,-,16.35,5.13,11.21,-,-,-,28.82,-,-,21.0,-
