序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,1999/08/31,松山,5.2,1.39,20.5,-,59,-,71.43,29.68,41.75,-,-,-,28.12,-,-,85.0,-
2,臺北市,1999/08/31,古亭,3.3,1.35,19.7,-,41,16,65.27,29.33,35.94,2.697,0.66,2.04,26.64,-,-,96.0,-
3,臺北市,1999/08/31,中山,4.2,1.44,16.0,-,57,-,61.5,23.04,38.46,2.968,0.66,2.31,28.37,-,-,67.0,-
4,臺北市,1999/08/31,大同,10.3,5.21,-,-,72,-,206.82,150.61,56.22,4.767,2.34,2.43,29.53,-,-,105.0,-
5,臺北市,1999/08/31,萬華,2.4,1.06,25.3,-,37,-,34.56,4.55,30.01,-,-,-,27.59,-,-,91.0,-
6,臺北市,1999/08/31,陽明,3.7,0.25,35.5,-,15,-,7.5,0.94,6.55,-,-,-,23.25,-,86.0,54.0,-
7,臺北市,1999/08/31,士林,4.2,1.47,11.9,-,54,-,60.95,23.47,37.48,-,-,-,28.31,-,-,52.0,-
8,臺北市,1999/08/30,松山,3.5,-,21.2,-,45,-,75.38,39.7,35.68,-,-,-,26.89,-,-,118.0,-
9,臺北市,1999/08/30,古亭,3.6,1.45,22.2,-,41,14,71.17,35.66,35.51,2.674,0.62,2.05,26.54,-,-,82.0,-
10,臺北市,1999/08/30,中山,3.2,1.3,19.3,-,47,-,63.65,29.38,34.27,2.854,0.57,2.28,27.73,-,-,93.0,-
11,臺北市,1999/08/30,大同,9.1,4.53,-,-,58,-,196.42,141.42,54.99,-,-,-,28.9,-,-,77.0,-
12,臺北市,1999/08/30,萬華,3.1,1.14,29.1,-,31,-,40.82,11.97,28.85,-,-,-,27.65,-,-,91.0,-
13,臺北市,1999/08/30,陽明,2.6,0.24,43.1,-,16,-,6.12,0.68,5.44,-,-,-,23.04,-,84.0,62.0,-
14,臺北市,1999/08/30,士林,2.2,1.02,15.5,-,37,-,40.06,13.59,26.46,-,-,-,27.56,-,-,62.0,-
15,臺北市,1999/08/29,松山,3.8,-,20.0,-,40,-,51.59,24.17,27.42,-,-,-,27.66,-,-,61.0,-
16,臺北市,1999/08/29,古亭,2.7,0.9,18.7,-,29,10,49.1,21.81,27.29,2.387,0.37,2.02,26.97,-,-,63.0,-
17,臺北市,1999/08/29,中山,3.3,1.01,14.1,-,29,-,48.95,22.67,26.28,2.641,0.4,2.25,28.09,-,-,45.0,-
18,臺北市,1999/08/29,大同,8.9,3.84,-,-,48,-,179.8,138.23,41.57,-,-,-,29.12,-,-,67.0,-
19,臺北市,1999/08/29,萬華,2.2,0.86,22.9,-,24,-,29.35,5.94,23.42,-,-,-,27.91,-,-,69.0,-
20,臺北市,1999/08/29,陽明,3.0,0.24,26.2,-,14,-,9.58,1.91,7.67,-,-,-,22.88,-,86.0,38.0,-
21,臺北市,1999/08/29,士林,2.7,1.12,12.7,-,36,-,43.43,22.38,21.05,-,-,-,28.06,-,-,36.0,-
22,臺北市,1999/08/28,松山,5.4,1.2,17.4,-,40,-,65.3,31.13,34.17,-,-,-,27.96,-,-,46.0,-
23,臺北市,1999/08/28,古亭,4.5,0.99,15.5,-,33,13,54.44,26.38,28.06,2.43,0.46,1.97,26.98,-,-,47.0,-
24,臺北市,1999/08/28,中山,3.7,1.23,13.6,-,43,-,55.66,25.55,30.11,2.773,0.55,2.22,28.2,-,-,43.0,-
25,臺北市,1999/08/28,大同,10.4,4.55,-,-,60,-,195.6,146.87,48.73,-,-,-,29.25,-,-,83.0,-
26,臺北市,1999/08/28,萬華,3.5,1.03,20.1,-,31,-,36.06,9.29,26.77,-,-,-,27.79,-,-,47.0,-
27,臺北市,1999/08/28,陽明,1.8,0.21,30.9,-,14,-,6.91,1.68,5.23,-,-,-,23.34,-,84.0,54.0,-
28,臺北市,1999/08/28,士林,2.3,1.29,11.9,-,38,-,55.74,29.21,26.53,-,-,-,27.85,-,-,38.0,-
29,臺北市,1999/08/27,松山,7.4,-,18.3,-,-,-,74.15,39.26,34.89,-,-,-,27.93,-,-,79.0,-
30,臺北市,1999/08/27,古亭,5.2,1.22,20.8,-,38,14,63.41,29.26,34.15,2.641,0.62,2.02,27.49,-,-,86.0,-
31,臺北市,1999/08/27,中山,5.7,1.63,17.7,-,52,-,76.76,40.14,36.61,3.273,0.86,2.42,28.43,-,-,79.0,-
32,臺北市,1999/08/27,大同,12.6,4.4,-,-,64,-,190.77,140.18,50.59,4.609,2.03,2.58,29.2,-,-,86.0,-
33,臺北市,1999/08/27,萬華,4.6,1.08,22.5,-,31,-,39.77,9.89,29.88,-,-,-,28.07,-,-,90.0,-
34,臺北市,1999/08/27,陽明,1.7,0.08,23.7,-,12,-,6.68,1.0,5.67,-,-,-,23.23,-,84.0,54.0,-
35,臺北市,1999/08/27,士林,3.1,1.04,14.4,-,44,-,48.47,22.02,26.45,-,-,-,28.02,-,-,48.0,-
36,臺北市,1999/08/26,松山,10.9,1.17,14.5,-,-,-,67.4,27.8,39.61,-,-,-,28.51,-,-,41.0,-
37,臺北市,1999/08/26,古亭,6.4,1.25,18.0,-,37,12,64.0,28.03,35.96,2.884,0.74,2.15,27.44,-,-,75.0,-
38,臺北市,1999/08/26,中山,5.3,1.69,12.5,-,49,-,-,-,-,3.402,0.98,2.42,28.15,-,-,63.0,-
39,臺北市,1999/08/26,大同,10.3,3.49,-,-,54,-,145.56,92.89,52.67,4.366,1.58,2.78,28.41,-,-,54.0,-
40,臺北市,1999/08/26,萬華,6.0,1.16,19.3,-,36,-,48.37,10.36,38.01,-,-,-,27.66,-,-,81.0,-
41,臺北市,1999/08/26,陽明,1.9,0.18,28.2,-,13,-,6.11,0.47,5.63,-,-,-,22.75,-,89.0,50.0,-
42,臺北市,1999/08/26,士林,3.1,1.36,14.1,-,52,-,59.13,22.43,36.7,-,-,-,27.24,-,-,57.0,-
43,臺北市,1999/08/25,松山,6.5,1.42,26.7,-,52,-,66.09,29.42,36.67,-,-,-,27.39,-,-,102.0,-
44,臺北市,1999/08/25,古亭,5.1,1.34,23.7,-,41,15,61.0,28.79,32.21,2.633,0.66,1.98,26.7,-,-,97.0,-
45,臺北市,1999/08/25,中山,5.3,1.67,17.4,-,58,-,-,-,-,3.038,0.85,2.18,27.62,-,-,75.0,-
46,臺北市,1999/08/25,大同,9.6,3.78,-,-,74,-,164.42,113.95,50.47,4.044,1.56,2.48,28.1,-,-,62.0,-
47,臺北市,1999/08/25,萬華,5.7,1.12,18.5,-,41,-,42.33,10.61,31.72,-,-,-,27.43,-,-,64.0,-
48,臺北市,1999/08/25,陽明,3.7,0.22,34.6,-,14,-,7.81,0.88,6.93,-,-,-,22.53,-,88.0,57.0,-
49,臺北市,1999/08/25,士林,4.1,1.5,15.8,-,56,-,63.21,29.82,33.39,-,-,-,27.01,-,-,54.0,-
50,臺北市,1999/08/24,松山,5.7,1.29,15.6,-,-,-,66.91,29.8,37.11,-,-,-,27.63,-,-,75.0,-
51,臺北市,1999/08/24,古亭,3.9,1.41,14.6,-,32,11,71.68,42.87,28.81,2.458,0.55,1.94,26.32,-,-,105.0,-
52,臺北市,1999/08/24,中山,3.6,1.55,13.3,-,40,-,-,-,-,2.918,0.81,2.11,27.77,-,-,71.0,-
53,臺北市,1999/08/24,大同,8.4,3.73,-,-,57,-,154.15,112.38,41.77,3.958,1.56,2.4,28.4,-,-,74.0,-
54,臺北市,1999/08/24,萬華,4.2,1.07,22.9,-,30,-,40.29,15.93,24.36,-,-,-,27.43,-,-,114.0,-
55,臺北市,1999/08/24,陽明,3.9,0.17,33.9,-,13,-,6.04,0.31,5.73,-,-,-,22.78,-,86.0,48.0,-
56,臺北市,1999/08/24,士林,2.3,1.25,13.5,-,38,-,49.49,20.29,29.2,-,-,-,27.44,-,-,60.0,-
57,臺北市,1999/08/23,松山,5.8,0.94,12.6,-,41,-,50.31,20.65,29.66,-,-,-,28.53,-,-,41.0,-
58,臺北市,1999/08/23,古亭,5.1,1.03,13.6,-,36,11,55.49,26.11,29.39,2.349,0.43,1.92,27.16,-,-,40.0,-
59,臺北市,1999/08/23,中山,3.9,1.19,11.0,-,32,-,-,-,-,2.58,0.57,2.01,28.27,-,-,36.0,-
60,臺北市,1999/08/23,大同,9.4,3.88,-,-,48,-,186.45,139.22,47.23,3.997,1.68,2.32,28.68,-,-,66.0,-
61,臺北市,1999/08/23,萬華,3.7,0.87,16.4,-,27,-,36.03,7.08,28.96,-,-,-,27.61,-,-,48.0,-
62,臺北市,1999/08/23,陽明,1.9,0.11,34.8,-,12,-,4.22,0.3,3.93,-,-,-,22.82,-,86.0,51.0,-
63,臺北市,1999/08/23,士林,2.1,1.28,10.9,-,45,-,54.25,24.01,30.24,-,-,-,27.7,-,-,45.0,-
64,臺北市,1999/08/22,松山,3.4,0.78,17.2,-,51,-,38.42,16.22,22.21,-,-,-,29.89,-,-,53.0,-
65,臺北市,1999/08/22,古亭,2.3,0.79,16.2,-,27,9,41.1,18.84,22.26,2.307,0.31,2.0,28.85,-,-,49.0,-
66,臺北市,1999/08/22,中山,3.1,0.86,14.2,-,32,-,-,-,-,2.377,0.38,2.0,29.99,-,-,42.0,-
67,臺北市,1999/08/22,大同,8.5,3.43,-,-,51,-,156.76,119.41,37.35,3.67,1.33,2.34,30.97,-,-,68.0,-
68,臺北市,1999/08/22,萬華,2.6,0.72,17.6,-,29,-,29.39,9.07,20.32,-,-,-,29.61,-,-,46.0,-
69,臺北市,1999/08/22,陽明,1.5,0.21,35.2,-,14,-,5.6,0.56,5.04,-,-,-,23.74,-,83.0,57.0,-
70,臺北市,1999/08/22,士林,2.3,0.74,13.7,-,32,-,37.27,16.65,20.62,-,-,-,29.51,-,-,32.0,-
71,臺北市,1999/08/21,松山,0.4,0.36,10.3,-,45,-,19.35,10.49,8.86,-,-,-,30.79,-,-,45.0,-
72,臺北市,1999/08/21,古亭,0.6,0.49,10.0,-,17,4,27.41,14.86,12.55,1.871,0.12,1.75,30.22,-,-,17.0,-
73,臺北市,1999/08/21,中山,1.1,0.63,8.0,-,25,-,-,-,-,2.05,0.25,1.81,31.29,-,-,25.0,-
