序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2000/03/31,松山,6.1,1.24,27.5,-,123,-,75.81,24.54,51.27,-,-,-,24.19,-,-,106.0,-
2,臺北市,2000/03/31,古亭,4.2,1.12,34.4,-,108,53,60.76,15.19,45.57,2.643,0.48,2.16,24.21,-,-,122.0,-
3,臺北市,2000/03/31,中山,5.3,1.28,26.6,-,130,-,62.97,12.83,50.15,2.982,0.49,2.49,24.09,-,-,93.0,-
4,臺北市,2000/03/31,大同,11.5,3.8,-,-,140,-,191.88,121.66,70.21,4.348,1.91,2.44,25.22,-,-,95.0,-
5,臺北市,2000/03/31,萬華,4.1,1.31,34.4,-,112,-,51.77,6.97,44.8,-,-,-,22.99,-,-,94.0,-
6,臺北市,2000/03/31,陽明,5.6,0.35,73.0,-,47,-,6.27,0.09,6.18,-,-,-,18.34,-,63.0,75.0,-
7,臺北市,2000/03/31,士林,5.2,1.19,31.0,-,103,-,46.82,8.38,38.45,-,-,-,23.54,-,-,79.0,-
8,臺北市,2000/03/30,松山,7.2,1.09,45.8,-,145,-,64.31,11.51,52.8,-,-,-,22.64,-,-,108.0,-
9,臺北市,2000/03/30,古亭,5.8,1.14,52.8,-,144,68,60.89,11.4,49.49,2.699,0.54,2.15,22.55,-,-,118.0,-
10,臺北市,2000/03/30,中山,6.9,1.28,41.7,-,160,-,68.41,13.92,54.49,3.009,0.57,2.44,22.26,-,-,105.0,-
11,臺北市,2000/03/30,大同,8.0,2.12,-,-,146,-,117.32,49.54,67.78,3.562,1.1,2.46,23.28,-,-,98.0,-
12,臺北市,2000/03/30,萬華,7.9,1.17,54.3,-,141,-,51.03,6.43,44.6,-,-,-,21.6,-,-,111.0,-
13,臺北市,2000/03/30,陽明,3.4,0.42,85.8,-,74,-,6.13,0.06,6.07,-,-,-,17.11,-,69.0,122.0,-
14,臺北市,2000/03/30,士林,4.7,0.88,52.7,-,121,-,42.48,7.7,34.77,-,-,-,21.65,-,-,85.0,-
15,臺北市,2000/03/29,松山,8.5,0.61,32.9,-,159,-,39.34,6.59,32.75,-,-,-,19.3,-,-,105.0,-
16,臺北市,2000/03/29,古亭,7.1,0.51,38.6,-,164,77,33.03,5.41,27.62,2.196,0.19,2.0,19.63,-,-,107.0,-
17,臺北市,2000/03/29,中山,5.0,0.61,38.3,-,189,-,31.02,4.39,26.63,2.188,0.12,2.07,19.49,-,-,120.0,-
18,臺北市,2000/03/29,大同,8.2,2.72,-,-,184,-,159.19,104.35,54.84,3.573,1.43,2.15,20.47,-,-,117.0,-
19,臺北市,2000/03/29,萬華,7.9,0.72,36.8,-,157,-,28.74,1.7,27.04,-,-,-,19.0,-,-,103.0,-
20,臺北市,2000/03/29,陽明,3.1,0.26,61.7,-,104,-,2.65,0.02,2.62,-,-,-,11.31,-,78.0,77.0,-
21,臺北市,2000/03/29,士林,3.3,0.62,49.1,-,135,-,10.78,0.91,9.87,-,-,-,19.39,-,-,92.0,-
22,臺北市,2000/03/28,松山,7.4,1.16,31.0,-,102,-,65.83,20.48,45.35,-,-,-,23.56,-,-,88.0,-
23,臺北市,2000/03/28,古亭,6.3,1.08,33.7,-,84,52,58.45,16.1,42.35,2.633,0.56,2.07,23.08,-,-,87.0,-
24,臺北市,2000/03/28,中山,10.7,1.93,30.1,-,144,-,106.93,57.1,49.82,4.104,1.32,2.78,23.22,-,-,97.0,-
25,臺北市,2000/03/28,大同,13.0,4.07,-,-,161,-,209.25,140.55,68.7,5.33,2.59,2.75,24.31,-,-,106.0,-
26,臺北市,2000/03/28,萬華,8.4,1.65,39.9,-,111,-,78.95,33.12,45.84,-,-,-,22.41,-,-,81.0,-
