序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2008/06/30,松山,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,10.0,-
2,臺北市,2008/06/30,古亭,2.8,0.85,-,13.8,31,33,17.0,43.91,18.34,25.57,2.262,0.355,1.91,-,27.46,-,85.44,40.0,-
3,臺北市,2008/06/30,中山,3.1,1.04,-,10.7,23,36,24.0,60.33,29.46,30.87,2.448,0.447,2.0,-,27.57,-,81.44,36.0,-
4,臺北市,2008/06/30,萬華,3.0,0.83,-,19.5,40,28,14.0,33.63,9.98,23.66,-,-,-,-,27.74,-,83.13,43.0,-
5,臺北市,2008/06/30,陽明,2.6,0.14,387.35,29.2,34,16,11.0,4.89,1.23,3.67,-,-,-,-,22.23,-,84.62,34.0,-
6,臺北市,2008/06/30,士林,3.4,0.65,-,16.2,37,37,15.0,34.87,10.31,24.56,-,-,-,-,27.91,-,82.15,37.0,-
7,臺北市,2008/06/29,松山,3.7,0.57,405.0,14.5,36,27,15.0,37.55,13.29,24.27,2.138,0.257,1.88,-,27.46,-,78.81,49.0,-
8,臺北市,2008/06/29,古亭,2.3,0.59,-,17.7,41,31,15.0,33.43,13.06,20.36,2.093,0.212,1.88,-,27.05,-,84.03,60.0,-
9,臺北市,2008/06/29,中山,3.3,0.68,-,15.5,36,29,21.0,41.78,16.68,25.1,2.206,0.251,1.96,-,26.9,-,81.06,47.0,-
10,臺北市,2008/06/29,萬華,2.3,0.59,-,21.6,45,23,13.0,24.98,7.24,17.74,-,-,-,-,27.31,-,82.6,63.0,-
11,臺北市,2008/06/29,陽明,2.3,0.13,387.07,26.1,33,14,9.0,5.98,1.68,4.31,-,-,-,-,22.74,-,81.64,40.0,-
12,臺北市,2008/06/29,士林,2.9,0.63,-,17.7,43,41,11.0,36.27,14.84,21.44,-,-,-,-,27.35,-,82.26,62.0,-
13,臺北市,2008/06/28,松山,3.9,0.58,403.05,16.3,37,29,18.0,39.07,14.92,24.15,2.097,0.257,1.84,-,28.3,-,75.02,51.0,-
14,臺北市,2008/06/28,古亭,3.5,0.61,-,16.1,35,34,18.0,35.09,14.44,20.65,2.079,0.224,1.85,-,27.85,-,80.87,42.0,-
15,臺北市,2008/06/28,中山,3.4,0.74,-,16.6,36,34,23.0,43.52,17.41,26.11,2.21,0.251,1.96,-,28.01,-,76.07,42.0,-
16,臺北市,2008/06/28,萬華,2.3,0.53,-,23.1,44,25,14.0,21.33,5.69,15.64,-,-,-,-,28.59,-,77.02,51.0,-
17,臺北市,2008/06/28,陽明,2.3,0.16,385.75,29.3,42,18,10.0,7.28,1.86,5.42,-,-,-,-,22.85,-,81.82,42.0,-
18,臺北市,2008/06/28,士林,3.3,0.53,-,23.2,50,37,13.0,28.97,9.78,19.19,-,-,-,-,28.6,-,75.46,61.0,-
19,臺北市,2008/06/27,松山,3.4,0.66,401.98,13.7,33,41,23.0,45.79,16.92,28.87,2.211,0.316,1.9,-,28.87,-,75.83,41.0,-
20,臺北市,2008/06/27,古亭,2.6,0.75,-,18.1,40,41,22.0,38.61,15.32,23.29,2.175,0.292,1.88,-,28.74,-,80.07,56.0,-
21,臺北市,2008/06/27,中山,3.2,0.93,-,15.8,33,44,33.0,53.37,24.16,29.22,2.339,0.349,1.99,-,28.63,-,77.3,46.0,-
22,臺北市,2008/06/27,萬華,2.6,0.74,-,22.2,48,39,23.0,27.73,7.08,20.65,-,-,-,-,28.87,-,79.73,58.0,-
23,臺北市,2008/06/27,陽明,2.3,0.16,387.09,34.2,46,23,14.0,6.1,1.91,4.19,-,-,-,-,22.42,-,84.92,44.0,-
24,臺北市,2008/06/27,士林,3.8,0.48,-,21.2,45,42,18.0,25.24,7.1,18.14,-,-,-,-,28.6,-,78.57,53.0,-
25,臺北市,2008/06/26,松山,4.1,0.54,399.51,19.7,42,45,25.0,32.85,6.64,26.22,2.055,0.158,1.9,-,29.76,-,71.46,50.0,-
26,臺北市,2008/06/26,古亭,4.0,0.86,-,21.2,48,47,28.0,43.23,13.82,29.4,2.271,0.366,1.91,-,29.37,-,75.81,57.0,-
27,臺北市,2008/06/26,中山,3.9,0.89,-,21.7,45,52,34.0,45.36,14.63,30.72,2.311,0.304,2.01,-,29.02,-,75.59,54.0,-
28,臺北市,2008/06/26,萬華,3.9,1.05,-,29.6,63,46,33.0,42.35,12.34,30.02,-,-,-,-,29.18,-,77.32,68.0,-
29,臺北市,2008/06/26,陽明,2.7,0.16,388.75,38.7,52,-,17.0,5.77,1.08,4.69,-,-,-,-,22.95,-,83.53,54.0,-
30,臺北市,2008/06/26,士林,3.9,0.6,-,26.2,55,59,25.0,28.23,5.36,22.87,-,-,-,-,28.83,-,79.7,61.0,-
31,臺北市,2008/06/25,松山,6.5,0.51,404.96,27.7,57,51,33.0,25.87,4.07,21.8,2.11,0.216,1.89,-,30.05,-,71.58,85.0,-
32,臺北市,2008/06/25,古亭,5.5,0.72,-,31.9,64,55,36.0,33.96,8.6,25.36,2.141,0.262,1.88,-,30.12,-,74.93,97.0,-
33,臺北市,2008/06/25,中山,7.0,0.81,-,27.4,54,66,38.0,43.58,9.02,34.56,2.239,0.257,1.98,-,29.91,-,72.74,77.0,-
34,臺北市,2008/06/25,萬華,5.4,0.68,-,37.1,69,49,33.0,27.42,3.43,23.99,-,-,-,-,30.35,-,74.09,90.0,-
35,臺北市,2008/06/25,陽明,3.1,0.21,390.99,40.5,59,-,19.0,7.95,1.43,6.53,-,-,-,-,23.54,-,80.8,59.0,-
36,臺北市,2008/06/25,士林,4.4,0.49,-,36.8,69,57,25.0,23.32,3.39,19.93,-,-,-,-,30.03,-,73.16,83.0,-
37,臺北市,2008/06/24,松山,6.4,0.57,406.1,26.1,55,52,31.0,32.45,4.24,28.2,2.112,0.267,1.85,-,30.11,-,70.06,55.0,-
38,臺北市,2008/06/24,古亭,5.3,0.66,-,33.7,63,58,37.0,31.93,5.44,26.48,2.194,0.303,1.89,-,29.89,-,72.9,69.0,-
39,臺北市,2008/06/24,中山,5.4,0.81,-,19.9,40,55,36.0,45.02,11.56,33.46,2.303,0.354,1.95,-,29.81,-,71.52,52.0,-
40,臺北市,2008/06/24,萬華,6.1,0.68,-,36.2,68,49,34.0,27.69,4.13,23.57,-,-,-,-,30.33,-,71.6,68.0,-
41,臺北市,2008/06/24,陽明,4.3,0.22,397.84,36.7,55,31,19.0,9.83,1.85,7.98,-,-,-,-,23.61,-,78.78,65.0,-
42,臺北市,2008/06/24,士林,5.0,0.46,-,25.5,49,52,21.0,26.16,4.73,21.43,-,-,-,-,29.97,-,70.31,53.0,-
43,臺北市,2008/06/23,松山,5.9,0.68,411.63,37.3,92,54,39.0,36.6,5.94,30.66,2.208,0.282,1.93,-,30.59,-,61.26,126.0,-
44,臺北市,2008/06/23,古亭,4.6,0.76,-,39.8,91,57,37.0,34.3,8.38,25.92,2.236,0.321,1.92,-,30.6,-,63.19,111.0,-
45,臺北市,2008/06/23,中山,6.3,0.94,-,33.4,80,62,45.0,47.05,12.13,34.92,2.337,0.306,2.03,-,30.31,-,63.48,125.0,-
46,臺北市,2008/06/23,萬華,4.9,0.67,-,39.8,104,45,33.0,28.53,3.89,24.64,-,-,-,-,30.71,-,64.44,126.0,-
47,臺北市,2008/06/23,陽明,3.4,0.19,400.05,47.2,67,25,20.0,6.59,1.09,5.5,-,-,-,-,23.46,-,70.48,73.0,-
48,臺北市,2008/06/23,士林,6.3,0.54,-,33.9,79,55,27.0,26.81,4.15,22.66,-,-,-,-,29.92,-,67.11,111.0,-
49,臺北市,2008/06/22,松山,7.9,0.52,405.3,36.5,72,52,34.0,28.32,4.98,23.34,2.087,0.202,1.89,-,30.21,-,64.72,82.0,-
50,臺北市,2008/06/22,古亭,4.9,0.51,-,37.3,69,52,35.0,24.11,4.22,19.89,2.028,0.179,1.85,-,30.12,-,66.09,81.0,-
51,臺北市,2008/06/22,中山,8.7,0.66,-,34.5,63,61,41.0,37.16,8.32,28.84,2.152,0.199,1.95,-,29.78,-,67.7,75.0,-
52,臺北市,2008/06/22,萬華,6.8,0.56,-,36.6,66,49,34.0,26.56,5.61,20.95,-,-,-,-,30.47,-,67.58,75.0,-
53,臺北市,2008/06/22,陽明,3.7,0.2,401.02,56.9,80,31,23.0,7.59,1.14,6.44,-,-,-,-,24.86,-,62.97,83.0,-
54,臺北市,2008/06/22,士林,6.1,0.53,-,35.5,72,67,31.0,26.06,4.9,21.16,-,-,-,-,29.81,-,70.89,83.0,-
55,臺北市,2008/06/21,松山,5.9,0.6,405.38,29.8,65,54,34.0,32.85,8.3,24.55,2.16,0.281,1.88,-,30.23,-,69.52,65.0,-
56,臺北市,2008/06/21,古亭,4.9,0.69,-,29.1,58,54,35.0,32.86,7.46,25.4,2.176,0.297,1.88,-,30.0,-,73.47,56.0,-
57,臺北市,2008/06/21,中山,6.2,0.85,-,25.7,52,59,38.0,45.1,13.23,31.87,2.286,0.312,1.97,-,29.94,-,70.84,54.0,-
58,臺北市,2008/06/21,萬華,5.5,0.64,-,28.7,60,46,30.0,27.73,7.04,20.69,-,-,-,-,30.2,-,72.89,57.0,-
59,臺北市,2008/06/21,陽明,2.9,0.27,403.19,43.9,62,32,24.0,9.19,1.04,8.14,-,-,-,-,23.17,-,80.83,57.0,-
60,臺北市,2008/06/21,士林,7.1,0.58,-,24.4,58,61,29.0,32.49,9.0,23.49,-,-,-,-,29.86,-,72.52,62.0,-
61,臺北市,2008/06/20,松山,6.7,0.62,408.07,30.1,63,48,33.0,33.82,7.13,26.69,2.157,0.286,1.87,-,29.72,-,69.05,63.0,-
62,臺北市,2008/06/20,古亭,6.0,0.73,-,25.2,50,53,34.0,37.97,10.48,27.49,2.205,0.319,1.89,-,29.7,-,72.61,64.0,-
63,臺北市,2008/06/20,中山,6.8,0.88,-,17.2,32,50,35.0,48.26,15.69,32.57,2.302,0.327,1.98,-,29.49,-,71.15,50.0,-
64,臺北市,2008/06/20,萬華,7.0,0.74,-,23.7,46,43,30.0,34.58,8.45,26.13,-,-,-,-,29.83,-,74.02,66.0,-
65,臺北市,2008/06/20,陽明,3.5,0.2,399.42,29.7,38,21,17.0,8.3,2.06,6.24,-,-,-,-,23.44,-,78.36,39.0,-
66,臺北市,2008/06/20,士林,4.1,0.48,-,15.7,35,44,19.0,26.51,7.59,18.92,-,-,-,-,29.57,-,72.49,44.0,-
