序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2017/07/31,松山,4.7,0.48,423.72,18.6,18,11,30.95,10.27,20.68,1.967,0.169,1.799,1.56,1.59,28.95,-,-,71.45,-
2,臺北市,2017/07/31,古亭,3.1,0.49,-,18.9,13,9,26.48,8.56,17.92,2.051,0.158,1.892,1.71,1.48,29.15,-,-,74.9,-
3,臺北市,2017/07/31,中山,3.3,0.79,-,13.6,23,7,40.09,14.56,25.53,2.132,0.267,1.865,0.85,0.43,29.45,-,-,70.14,-
4,臺北市,2017/07/31,大同,3.2,1.67,-,-,36,5,82.5,52.5,30,2.581,0.568,2.013,-,-,-,-,-,-,-
5,臺北市,2017/07/31,萬華,5.5,0.88,-,14.3,22,8,45.01,20.92,24.09,-,-,-,0.96,0.41,30.05,-,-,72.51,-
6,臺北市,2017/07/31,陽明,1.9,0.13,408.2,33.4,7,4,2.38,0.79,1.63,-,-,-,-,-,22.71,0,0,87.01,0
7,臺北市,2017/07/31,士林,1.2,0.41,-,23.6,24,10,21.83,5.17,16.66,-,-,-,2.18,1.8,28.67,-,-,75.86,-
8,臺北市,2017/07/30,松山,1.7,0.13,404.49,26.7,14,8,4.4,1.43,2.96,1.695,0.016,1.679,2.84,2.65,30.73,-,-,64.55,-
9,臺北市,2017/07/30,古亭,1.4,0.12,-,27.1,13,6,5.92,2.08,3.85,1.855,0.039,1.816,4.23,3.7,31.49,-,-,65.67,-
10,臺北市,2017/07/30,中山,1.2,0.23,-,22.1,22,6,9.85,2.56,7.29,1.815,0.041,1.775,1.64,1.15,31.47,-,-,65.44,-
11,臺北市,2017/07/30,大同,0.6,0.54,-,-,33,7,26.58,14.38,12.2,1.979,0.147,1.832,-,-,-,-,-,-,-
12,臺北市,2017/07/30,萬華,2,0.34,-,21.7,19,7,15.19,6.9,8.29,-,-,-,1.76,0.62,32.05,-,-,64.86,-
13,臺北市,2017/07/30,陽明,1.9,0.09,404.67,24.6,7,3,1.4,0.69,0.69,-,-,-,7.31,-,23.71,0.5,5.87,89.64,42.93
14,臺北市,2017/07/30,士林,0.8,0.11,-,28.9,20,9,4.98,1.94,3.03,-,-,-,5.4,4.88,31.2,-,-,66.73,-
15,臺北市,2017/07/29,松山,2,0.14,405.5,18.7,15,5,8.3,2.79,5.52,1.722,0.04,1.682,3.79,2.77,28.48,-,-,81.5,-
16,臺北市,2017/07/29,古亭,1.5,0.14,-,19.3,14,7,9.53,2.67,6.86,1.834,0.041,1.793,4.64,3.95,29.02,-,-,82.29,-
17,臺北市,2017/07/29,中山,2.3,0.29,-,13.3,28,9,25.43,14.34,11.09,1.809,0.047,1.764,1.47,0.78,29.31,-,-,69.28,-
18,臺北市,2017/07/29,大同,2.3,0.35,-,-,33,4,18.42,10.06,8.37,1.893,0.09,1.804,-,-,-,-,-,-,-
19,臺北市,2017/07/29,萬華,3,0.28,-,14.8,19,7,16.19,7.87,8.32,-,-,-,2.23,0.86,28.12,-,-,79.6,-
20,臺北市,2017/07/29,陽明,1.4,0.05,404.42,21.9,5,1,1.92,1.32,0.63,-,-,-,6.01,-,22.32,6.5,5.31,98.01,20.34
21,臺北市,2017/07/29,士林,3,0.08,-,22.1,19,5,5.86,1.58,4.27,-,-,-,5.38,4.62,29.28,-,-,77.34,-
22,臺北市,2017/07/28,松山,2,0.23,411.37,10.2,12,9,16.4,6.7,9.71,1.786,0.089,1.697,2.3,1.75,30.53,-,-,72.99,-
23,臺北市,2017/07/28,古亭,1.6,0.24,-,12.8,12,7,15.19,6.19,9,1.864,0.077,1.787,3.01,2.6,31.42,-,-,71.4,-
