序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2009/06/30,松山,4.6,0.65,412.12,25.5,55,45,30.0,38.72,13.0,25.72,2.117,0.33,1.79,30.51,60.7,67.0
2,臺北市,2009/06/30,古亭,3.3,0.66,-,23.8,49,47,27.0,33.33,11.2,22.13,2.096,0.269,1.83,30.77,66.59,55.0
3,臺北市,2009/06/30,中山,5.6,0.93,-,21.4,46,49,36.0,48.86,21.27,27.59,2.345,0.393,1.95,31.55,60.2,59.0
4,臺北市,2009/06/30,萬華,4.1,0.59,-,26.3,56,41,26.0,24.88,7.1,17.79,-,-,-,30.87,63.01,61.0
5,臺北市,2009/06/30,陽明,3.3,0.17,385.83,34.9,42,21,15.0,6.6,1.27,5.32,-,-,-,22.98,82.25,47.0
6,臺北市,2009/06/30,士林,4.5,0.47,-,24.0,53,54,21.0,25.17,7.14,18.03,-,-,-,30.37,63.47,68.0
7,臺北市,2009/06/29,松山,3.8,0.68,418.36,25.9,55,46,30.0,33.76,8.89,24.88,2.182,0.316,1.87,29.82,67.97,87.0
8,臺北市,2009/06/29,古亭,3.8,0.77,-,25.0,57,50,28.0,35.05,11.39,23.66,2.16,0.307,1.85,30.26,72.3,69.0
9,臺北市,2009/06/29,中山,4.4,0.92,-,21.1,47,52,35.0,45.95,15.12,30.83,2.396,0.383,2.01,30.95,67.04,55.0
10,臺北市,2009/06/29,萬華,2.9,0.57,-,27.8,58,39,23.0,22.54,5.56,16.99,-,-,-,30.3,69.13,59.0
11,臺北市,2009/06/29,陽明,3.1,0.19,387.31,33.9,40,24,16.0,9.0,2.44,6.56,-,-,-,22.73,88.21,39.0
12,臺北市,2009/06/29,士林,4.2,0.51,-,23.6,52,54,21.0,27.18,7.27,19.91,-,-,-,29.96,69.34,68.0
13,臺北市,2009/06/28,松山,3.5,0.56,412.14,29.0,55,39,26.0,26.46,6.31,20.14,2.066,0.216,1.85,28.93,73.22,60.0
14,臺北市,2009/06/28,古亭,3.7,0.58,-,27.8,55,46,23.0,27.64,6.21,21.43,2.037,0.188,1.85,29.41,76.33,68.0
15,臺北市,2009/06/28,中山,3.1,0.66,-,27.9,52,44,30.0,35.45,8.0,27.45,2.247,0.213,2.03,29.9,72.24,59.0
16,臺北市,2009/06/28,萬華,2.6,0.53,-,32.1,58,33,22.0,19.95,3.07,16.88,-,-,-,29.35,73.21,68.0
17,臺北市,2009/06/28,陽明,3.1,0.18,386.92,35.5,48,20,12.0,5.85,1.02,4.82,-,-,-,22.33,89.72,52.0
18,臺北市,2009/06/28,士林,3.2,0.46,-,35.5,65,53,20.0,20.45,4.7,15.75,-,-,-,29.46,72.82,61.0
19,臺北市,2009/06/27,松山,3.0,0.68,416.16,18.3,38,34,24.0,40.1,14.26,25.85,2.093,0.283,1.81,28.75,74.37,42.0
20,臺北市,2009/06/27,古亭,2.1,0.7,-,21.2,45,42,20.0,34.11,10.33,23.79,2.126,0.263,1.86,28.51,81.17,60.0
21,臺北市,2009/06/27,中山,2.4,0.75,-,20.9,46,42,29.0,40.16,10.91,29.25,2.277,0.31,1.97,29.15,76.5,57.0
22,臺北市,2009/06/27,萬華,2.0,0.7,-,26.5,54,35,17.0,27.14,6.19,20.96,-,-,-,28.3,79.78,71.0
23,臺北市,2009/06/27,陽明,2.9,0.17,389.07,33.3,47,20,13.0,5.61,1.91,3.7,-,-,-,21.94,93.6,47.0
24,臺北市,2009/06/27,士林,3.8,0.71,-,25.2,60,49,19.0,34.03,11.52,22.5,-,-,-,28.27,79.34,69.0
25,臺北市,2009/06/26,松山,3.3,0.68,411.31,17.6,37,36,23.0,36.85,12.15,24.7,2.157,0.31,1.85,29.01,68.23,39.0
26,臺北市,2009/06/26,古亭,3.5,0.86,-,22.8,57,45,23.0,42.62,15.39,27.23,2.242,0.364,1.88,28.97,75.91,88.0
27,臺北市,2009/06/26,中山,3.2,1.01,-,20.7,50,40,28.0,54.21,20.36,33.85,2.481,0.437,2.04,29.52,70.81,81.0
28,臺北市,2009/06/26,萬華,2.4,0.82,-,26.9,66,38,23.0,33.75,9.26,24.49,-,-,-,28.57,75.11,89.0
29,臺北市,2009/06/26,陽明,2.3,0.15,382.1,31.6,42,15,11.0,4.13,0.96,3.17,-,-,-,22.62,87.64,50.0
30,臺北市,2009/06/26,士林,3.2,0.6,-,25.0,58,48,17.0,30.06,9.57,20.5,-,-,-,28.73,74.91,70.0
31,臺北市,2009/06/25,松山,4.8,0.63,418.59,17.1,47,53,33.0,34.5,10.3,24.21,2.11,0.275,1.84,28.24,77.67,52.0
32,臺北市,2009/06/25,古亭,3.6,0.77,-,19.1,44,50,28.0,37.88,14.01,23.87,2.155,0.303,1.85,28.51,80.71,62.0
33,臺北市,2009/06/25,中山,3.5,0.88,-,17.4,41,52,35.0,46.62,14.57,32.05,2.347,0.319,2.03,29.16,76.51,59.0
34,臺北市,2009/06/25,萬華,2.3,0.69,-,26.6,57,39,25.0,25.85,5.6,20.25,-,-,-,28.35,77.94,84.0
35,臺北市,2009/06/25,陽明,3.5,0.18,387.95,28.8,36,20,15.0,7.22,1.66,5.56,-,-,-,21.93,92.23,39.0
36,臺北市,2009/06/25,士林,3.7,0.6,-,21.4,48,54,23.0,28.93,6.42,22.51,-,-,-,28.34,78.66,53.0
37,臺北市,2009/06/24,松山,4.0,0.67,414.64,21.6,43,50,34.0,36.94,8.63,28.32,2.139,0.314,1.82,28.96,75.27,50.0
38,臺北市,2009/06/24,古亭,3.8,0.82,-,16.1,33,56,31.0,38.56,9.82,28.74,2.235,0.354,1.88,29.2,80.21,53.0
39,臺北市,2009/06/24,中山,5.7,0.96,-,13.1,26,59,40.0,54.82,20.29,34.52,2.449,0.408,2.04,29.78,76.34,54.0
40,臺北市,2009/06/24,萬華,4.7,0.78,-,19.6,35,49,28.0,33.47,7.01,26.46,-,-,-,29.2,77.04,49.0
41,臺北市,2009/06/24,陽明,2.5,0.19,388.92,35.2,51,27,20.0,7.75,1.88,5.87,-,-,-,22.2,92.44,58.0
42,臺北市,2009/06/24,士林,4.4,0.53,-,18.1,35,60,23.0,26.96,4.98,21.98,-,-,-,28.88,78.12,55.0
43,臺北市,2009/06/23,松山,3.2,0.64,404.15,11.3,17,43,26.0,32.43,8.98,23.45,2.073,0.311,1.76,30.48,63.66,43.0
44,臺北市,2009/06/23,古亭,3.1,0.69,-,14.6,26,44,20.0,32.76,11.39,21.37,2.131,0.288,1.84,30.14,72.5,44.0
45,臺北市,2009/06/23,中山,4.9,0.97,-,10.4,18,50,30.0,49.93,20.28,29.65,2.449,0.455,1.99,30.51,66.55,50.0
