序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2003/10/31,松山,3.9,0.55,371.08,18.1,-,29,-,35.38,6.55,28.82,-,-,-,22.88,-,-,32.0,-
2,臺北市,2003/10/31,古亭,2.7,0.66,-,21.8,-,-,40.11,43.89,16.78,27.11,2.556,0.2,2.35,24.07,-,-,31.0,-
3,臺北市,2003/10/31,中山,6.1,0.76,-,14.9,-,27,-,49.95,17.4,32.55,2.467,0.61,1.86,25.37,-,66.47,27.0,-
4,臺北市,2003/10/31,大同,5.9,0.99,-,-,-,-,-,69.04,32.64,36.4,3.05,0.61,2.44,24.48,-,-,18.0,-
5,臺北市,2003/10/31,萬華,2.8,0.57,-,18.7,-,25,14.16,-,-,-,-,-,-,23.4,-,-,31.0,-
6,臺北市,2003/10/31,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,16.6,-,84.0,-,-
7,臺北市,2003/10/31,士林,2.2,0.37,-,34.8,-,25,-,17.35,3.89,13.46,-,-,-,23.58,-,-,36.0,-
8,臺北市,2003/10/30,松山,4.5,0.55,372.49,23.1,-,33,-,34.72,6.98,27.74,-,-,-,22.06,-,-,36.0,-
9,臺北市,2003/10/30,古亭,1.4,0.25,-,28.9,-,28,46.17,-,-,-,-,-,-,22.94,-,-,36.0,-
10,臺北市,2003/10/30,中山,4.2,0.74,-,18.8,-,30,-,47.47,15.01,32.45,2.594,0.68,1.92,24.38,-,61.86,30.0,-
11,臺北市,2003/10/30,大同,4.4,0.88,-,-,-,-,-,62.4,26.63,35.77,2.905,0.5,2.4,23.38,-,-,16.0,-
12,臺北市,2003/10/30,萬華,1.2,0.83,-,27.2,-,27,16.9,-,-,-,-,-,-,22.6,-,-,32.0,-
13,臺北市,2003/10/30,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,15.1,-,83.0,-,-
14,臺北市,2003/10/30,士林,1.0,0.37,-,40.5,-,33,-,12.78,1.47,11.31,-,-,-,22.51,-,-,38.0,-
15,臺北市,2003/10/29,松山,3.6,0.76,378.34,48.6,-,74,-,35.58,17.41,18.17,-,-,-,23.3,-,-,62.0,-
16,臺北市,2003/10/29,古亭,2.9,0.53,-,45.0,-,71,98.52,15.93,4.89,11.04,-,-,-,23.82,-,-,60.0,-
17,臺北市,2003/10/29,中山,4.8,0.82,-,38.2,-,77,-,48.06,17.76,30.3,2.532,0.58,1.95,25.42,-,60.76,64.0,-
