序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,1999/06/30,松山,6.2,1.37,27.7,-,60,-,69.9,26.86,43.04,-,-,-,28.15,-,-,118.0,-
2,臺北市,1999/06/30,古亭,3.5,1.26,26.8,-,43,-,61.88,27.81,34.07,2.344,0.44,1.91,27.27,-,-,112.0,-
3,臺北市,1999/06/30,中山,4.8,1.68,25.6,-,-,-,75.24,30.21,45.03,2.849,0.62,2.23,28.48,-,-,128.0,-
4,臺北市,1999/06/30,大同,10.7,4.49,-,-,-,-,185.66,124.93,60.74,4.474,2.09,2.39,29.59,-,-,87.0,-
5,臺北市,1999/06/30,萬華,3.3,1.02,36.0,-,38,-,33.01,3.52,29.49,-,-,-,28.19,-,-,118.0,-
6,臺北市,1999/06/30,陽明,3.3,0.2,40.8,-,16,-,7.45,0.76,6.69,-,-,-,23.19,-,84.0,70.0,-
7,臺北市,1999/06/30,士林,4.3,1.12,21.5,-,41,-,45.51,13.47,32.04,-,-,-,27.85,-,-,82.0,-
8,臺北市,1999/06/29,松山,6.8,1.21,26.5,-,61,-,63.41,21.91,41.5,-,-,-,28.89,-,-,94.0,-
9,臺北市,1999/06/29,古亭,4.5,1.17,25.8,-,46,-,56.98,24.88,32.11,2.368,0.29,2.08,27.96,-,-,72.0,-
10,臺北市,1999/06/29,中山,5.9,1.52,19.3,-,66,-,66.36,25.9,40.47,2.752,0.6,2.15,29.38,-,-,58.0,-
11,臺北市,1999/06/29,大同,12.6,4.48,-,-,-,-,189.22,130.79,58.44,4.54,2.14,2.4,30.35,-,-,92.0,-
12,臺北市,1999/06/29,萬華,4.5,0.92,29.0,-,46,-,31.3,3.92,27.38,-,-,-,28.99,-,-,69.0,-
13,臺北市,1999/06/29,陽明,3.9,0.26,48.9,-,21,-,7.86,0.71,7.15,-,-,-,24.26,-,81.0,90.0,-
14,臺北市,1999/06/29,士林,5.6,1.04,16.8,-,47,-,44.76,12.84,31.92,-,-,-,29.09,-,-,47.0,-
15,臺北市,1999/06/28,松山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,臺北市,1999/06/28,古亭,4.0,1.07,20.7,-,49,-,50.16,20.37,29.79,2.387,0.36,2.03,29.46,-,-,60.0,-
17,臺北市,1999/06/28,中山,5.2,1.15,18.2,-,67,-,46.18,16.62,29.57,2.687,0.52,2.17,30.65,-,-,58.0,-
18,臺北市,1999/06/28,大同,9.5,3.15,-,-,-,-,121.87,79.16,42.71,3.757,1.38,2.38,31.75,-,-,47.0,-
19,臺北市,1999/06/28,萬華,3.9,0.81,24.9,-,43,-,26.5,5.21,21.28,-,-,-,30.47,-,-,65.0,-
20,臺北市,1999/06/28,陽明,3.7,0.21,34.3,-,21,-,9.2,0.95,8.25,-,-,-,23.64,-,82.0,61.0,-
21,臺北市,1999/06/28,士林,5.0,0.71,11.8,-,44,-,30.96,10.52,20.45,-,-,-,29.67,-,-,44.0,-
22,臺北市,1999/06/27,松山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,臺北市,1999/06/27,古亭,4.5,0.87,21.3,-,49,-,43.58,14.96,28.61,2.209,0.23,1.98,29.78,-,-,52.0,-
24,臺北市,1999/06/27,中山,5.7,1.03,17.0,-,53,-,46.88,16.17,30.71,2.552,0.33,2.22,30.68,-,-,52.0,-
25,臺北市,1999/06/27,大同,8.6,2.22,-,-,-,-,96.92,56.65,40.27,3.341,0.87,2.47,31.63,-,-,28.0,-
26,臺北市,1999/06/27,萬華,4.2,0.76,25.8,-,40,-,23.97,2.97,21.01,-,-,-,30.67,-,-,58.0,-
27,臺北市,1999/06/27,陽明,3.0,0.2,37.2,-,18,-,8.3,1.28,7.02,-,-,-,24.0,-,81.0,47.0,-
28,臺北市,1999/06/27,士林,4.5,0.8,12.4,-,36,-,33.68,13.47,20.22,-,-,-,29.73,-,-,36.0,-
29,臺北市,1999/06/26,松山,8.3,0.99,31.2,-,64,-,51.57,20.79,30.78,-,-,-,30.06,-,-,67.0,-
30,臺北市,1999/06/26,古亭,5.3,1.0,22.2,-,44,-,51.1,20.09,31.01,2.449,0.41,2.04,29.87,-,-,64.0,-
31,臺北市,1999/06/26,中山,6.2,1.11,19.5,-,54,-,50.85,20.79,30.06,2.699,0.48,2.21,30.71,-,-,52.0,-
32,臺北市,1999/06/26,大同,9.6,2.62,-,-,-,-,116.0,73.78,42.22,3.538,1.16,2.38,31.95,-,-,35.0,-
33,臺北市,1999/06/26,萬華,5.6,0.86,26.5,-,43,-,33.41,9.58,23.83,-,-,-,30.82,-,-,72.0,-
34,臺北市,1999/06/26,陽明,2.9,0.22,36.9,-,16,-,8.65,0.51,8.14,-,-,-,24.25,-,79.0,51.0,-
35,臺北市,1999/06/26,士林,5.0,0.91,14.5,-,41,-,39.6,17.78,21.82,-,-,-,29.89,-,-,41.0,-
36,臺北市,1999/06/25,松山,7.6,1.4,29.4,-,77,-,69.36,32.67,36.69,-,-,-,29.07,-,-,163.0,-
37,臺北市,1999/06/25,古亭,5.2,1.38,32.1,-,72,-,63.55,27.61,35.94,2.553,0.44,2.11,29.04,-,-,146.0,-
38,臺北市,1999/06/25,中山,6.4,1.47,25.2,-,75,-,67.85,30.21,37.64,3.179,0.72,2.46,30.28,-,-,113.0,-
39,臺北市,1999/06/25,大同,11.7,3.41,-,-,-,-,141.18,92.9,48.27,4.573,1.96,2.61,31.44,-,-,66.0,-
40,臺北市,1999/06/25,萬華,4.6,1.23,32.9,-,52,-,41.14,8.7,32.44,-,-,-,30.05,-,-,131.0,-
41,臺北市,1999/06/25,陽明,2.7,0.24,35.2,-,17,-,8.7,0.66,8.05,-,-,-,23.54,-,82.0,61.0,-
42,臺北市,1999/06/25,士林,6.3,0.77,16.7,-,40,-,38.1,16.37,21.73,-,-,-,29.7,-,-,63.0,-
43,臺北市,1999/06/24,松山,10.7,1.02,23.4,-,62,-,56.67,19.76,36.91,-,-,-,29.73,-,-,78.0,-
44,臺北市,1999/06/24,古亭,8.8,1.13,24.7,-,51,-,62.5,27.5,35.0,2.549,0.35,2.2,29.76,-,-,74.0,-
45,臺北市,1999/06/24,中山,9.7,1.2,19.0,-,60,-,58.81,23.4,35.41,2.937,0.65,2.29,30.68,-,-,56.0,-
46,臺北市,1999/06/24,大同,12.6,2.22,-,-,-,-,99.04,57.15,41.88,3.633,1.17,2.46,31.68,-,-,34.0,-
47,臺北市,1999/06/24,萬華,9.5,1.2,25.0,-,50,-,38.58,9.38,29.2,-,-,-,30.69,-,-,74.0,-
48,臺北市,1999/06/24,陽明,5.9,0.21,29.9,-,20,-,12.0,1.17,10.84,-,-,-,23.21,-,81.0,54.0,-
49,臺北市,1999/06/24,士林,8.4,0.65,15.0,-,39,-,31.23,10.01,21.22,-,-,-,30.15,-,-,39.0,-
50,臺北市,1999/06/23,松山,9.4,1.11,28.1,-,58,-,59.08,20.95,38.14,-,-,-,29.16,-,-,132.0,-
51,臺北市,1999/06/23,古亭,7.6,1.12,32.3,-,45,-,65.35,22.27,43.08,2.42,0.43,1.99,28.91,-,-,138.0,-
52,臺北市,1999/06/23,中山,10.9,1.18,23.1,-,56,-,60.18,18.51,41.67,2.638,0.57,2.07,29.71,-,-,88.0,-
53,臺北市,1999/06/23,大同,16.7,4.44,-,-,-,-,199.2,133.38,65.82,4.519,2.13,2.39,30.73,-,-,78.0,-
54,臺北市,1999/06/23,萬華,7.8,1.15,37.1,-,34,-,39.09,4.92,34.17,-,-,-,29.94,-,-,182.0,-
55,臺北市,1999/06/23,陽明,2.6,0.25,38.7,-,22,-,8.12,0.27,7.86,-,-,-,24.21,-,78.0,60.0,-
56,臺北市,1999/06/23,士林,5.0,0.84,21.3,-,39,-,36.39,10.36,26.03,-,-,-,29.65,-,-,54.0,-
57,臺北市,1999/06/22,松山,6.1,1.15,17.9,-,53,-,57.09,20.05,37.03,-,-,-,27.89,-,-,51.0,-
58,臺北市,1999/06/22,古亭,5.1,1.36,19.0,-,43,-,72.44,31.2,41.25,2.837,0.56,2.28,27.57,-,-,91.0,-
59,臺北市,1999/06/22,中山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
