序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),風速
WIND_SPEED
(m/sec),溫度
AMB_TEMP
(℃),相對濕度
RH
(percent)
1,臺北市,2014/05/31,松山,-,-,-,-,-,23,-,-,-,-,-,-
2,臺北市,2014/05/31,松山,2.9,0.61,440.02,24.4,38,-,27.4,6.04,21.37,1.17,27.25,81.2
3,臺北市,2014/05/31,古亭,-,-,-,-,-,20,-,-,-,-,-,-
4,臺北市,2014/05/31,古亭,2.9,0.71,-,22.7,50,-,30.7,7.23,23.46,1.21,27.68,84.16
5,臺北市,2014/05/31,中山,-,-,-,-,-,23,-,-,-,-,-,-
6,臺北市,2014/05/31,中山,3.4,0.78,-,22.8,63,-,38.73,9.46,29.27,1.4,28.42,78.47
7,臺北市,2014/05/31,大同,-,-,-,-,-,18,-,-,-,-,-,-
8,臺北市,2014/05/31,大同,3.9,1.47,-,-,58,-,63.26,30.16,33.1,-,-,-
9,臺北市,2014/05/31,萬華,-,-,-,-,-,23,-,-,-,-,-,-
10,臺北市,2014/05/31,萬華,3.2,0.76,-,23.8,45,-,35.04,6.05,28.99,1.16,28.36,78.89
11,臺北市,2014/05/31,陽明,-,-,-,-,-,13,-,-,-,-,-,-
12,臺北市,2014/05/31,陽明,1.5,0.17,400.79,25.3,16,-,4.95,1.58,3.37,-,22.54,96.64
13,臺北市,2014/05/31,士林,-,-,-,-,-,22,-,-,-,-,-,-
14,臺北市,2014/05/31,士林,3,0.48,-,32.1,32,-,19.01,3.45,15.56,1.54,28.13,77.76
15,臺北市,2014/05/30,松山,-,-,-,-,-,23,-,-,-,-,-,-
16,臺北市,2014/05/30,松山,-,-,-,-,41,-,-,-,-,-,-,-
17,臺北市,2014/05/30,古亭,-,-,-,-,-,17,-,-,-,-,-,-
18,臺北市,2014/05/30,古亭,2.6,0.91,-,10.7,39,-,42.53,16.73,25.8,1.26,26.93,90.53
19,臺北市,2014/05/30,中山,-,-,-,-,-,20,-,-,-,-,-,-
20,臺北市,2014/05/30,中山,3.3,1,-,10.8,54,-,53.53,24.65,28.88,1.41,27.72,83.41
21,臺北市,2014/05/30,大同,-,-,-,-,-,16,-,-,-,-,-,-
22,臺北市,2014/05/30,大同,4,1.73,-,-,55,-,89.13,57.95,31.18,-,-,-
23,臺北市,2014/05/30,萬華,-,-,-,-,-,22,-,-,-,-,-,-
24,臺北市,2014/05/30,萬華,2.5,0.87,-,12.1,30,-,43.34,16.64,26.7,1.18,27.67,83.57
25,臺北市,2014/05/30,陽明,-,-,-,-,-,13,-,-,-,-,-,-
