序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),風速
WIND_SPEED
(m/sec),溫度
AMB_TEMP
(℃),相對濕度
RH
(percent)
1,臺北市,2014/09/30,松山,-,-,-,-,-,23,-,-,-,-,-,-
2,臺北市,2014/09/30,松山,5.6,0.5,425.46,23.4,43,-,25.91,6.32,19.59,2.12,27.58,73.81
3,臺北市,2014/09/30,古亭,-,-,-,-,-,25,-,-,-,-,-,-
4,臺北市,2014/09/30,古亭,4.2,0.46,-,24.9,47,-,21.54,5.57,15.98,2.7,28.18,74.45
5,臺北市,2014/09/30,中山,-,-,-,-,-,21,-,-,-,-,-,-
6,臺北市,2014/09/30,中山,2.2,0.63,-,22.1,58,-,31.26,9.78,21.48,2.1,28.97,69.79
7,臺北市,2014/09/30,大同,-,-,-,-,-,18,-,-,-,-,-,-
8,臺北市,2014/09/30,大同,3.6,1.32,-,-,53,-,66.26,34.83,31.44,-,-,-
9,臺北市,2014/09/30,萬華,-,-,-,-,-,20,-,-,-,-,-,-
10,臺北市,2014/09/30,萬華,3.3,0.52,-,24.9,40,-,27.1,6.4,20.7,2.69,28.49,70.77
11,臺北市,2014/09/30,陽明,-,-,-,-,-,15,-,-,-,-,-,-
12,臺北市,2014/09/30,陽明,3.3,0.19,392.92,48.4,19,-,3.72,1.07,2.64,-,24.07,76.38
13,臺北市,2014/09/30,士林,-,-,-,-,-,24,-,-,-,-,-,-
14,臺北市,2014/09/30,士林,2.1,0.4,-,38.5,37,-,16.62,3.46,13.16,2.09,28.07,68.04
15,臺北市,2014/09/29,松山,-,-,-,-,-,28,-,-,-,-,-,-
16,臺北市,2014/09/29,松山,9,0.59,426.16,41.3,48,-,33.87,6.52,27.35,1.59,27.27,71.63
17,臺北市,2014/09/29,古亭,-,-,-,-,-,28,-,-,-,-,-,-
18,臺北市,2014/09/29,古亭,6.6,0.62,-,36.1,53,-,30.83,6.09,24.74,1.98,27.96,71.71
19,臺北市,2014/09/29,中山,-,-,-,-,-,31,-,-,-,-,-,-
20,臺北市,2014/09/29,中山,10.5,0.75,-,36.6,72,-,39.28,7.58,31.7,1.81,28.58,68.83
21,臺北市,2014/09/29,大同,-,-,-,-,-,26,-,-,-,-,-,-
22,臺北市,2014/09/29,大同,10.4,1.97,-,-,65,-,88.86,46.27,42.59,-,-,-
23,臺北市,2014/09/29,萬華,-,-,-,-,-,28,-,-,-,-,-,-
24,臺北市,2014/09/29,萬華,8.4,0.67,-,41.1,49,-,36.33,5.52,30.82,1.67,28.41,67.78
