序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2005/04/30,松山,6.0,0.95,414.52,26.7,-,65,39.0,41.35,18.21,23.14,-,-,-,29.55,-,62.98,67.0,-
2,臺北市,2005/04/30,古亭,4.7,0.8,-,20.6,-,58,24.0,43.85,16.53,27.32,2.276,0.358,1.92,28.01,-,67.84,56.0,-
3,臺北市,2005/04/30,中山,7.5,1.35,-,14.8,-,66,70.0,66.63,36.79,29.85,-,-,-,29.22,-,61.27,58.0,-
4,臺北市,2005/04/30,大同,9.9,1.32,-,11.3,-,73,-,105.55,66.91,38.63,-,-,-,29.47,-,-,62.0,-
5,臺北市,2005/04/30,萬華,4.0,0.88,-,22.0,-,55,-,33.93,13.89,20.04,-,-,-,30.06,-,64.68,60.0,-
6,臺北市,2005/04/30,陽明,2.6,0.25,381.46,37.0,-,41,-,8.86,1.53,7.34,-,-,-,22.27,-,83.0,59.0,-
7,臺北市,2005/04/30,士林,5.3,0.38,-,22.0,-,54,-,26.45,8.29,18.16,-,-,-,29.2,-,65.1,56.0,-
8,臺北市,2005/04/29,松山,5.6,1.24,428.64,16.9,-,60,50.0,66.07,33.96,32.11,-,-,-,26.63,-,74.07,55.0,-
9,臺北市,2005/04/29,古亭,4.1,1.16,-,12.0,-,56,27.0,60.29,22.71,37.58,2.488,0.472,2.02,25.86,-,76.42,53.0,-
10,臺北市,2005/04/29,中山,8.4,2.06,-,9.8,-,70,-,109.84,67.42,42.42,-,-,-,26.46,-,72.57,60.0,-
11,臺北市,2005/04/29,大同,7.9,1.9,-,8.2,-,77,-,124.53,77.0,47.53,-,-,-,26.79,-,-,64.0,-
12,臺北市,2005/04/29,萬華,4.8,1.41,-,12.9,-,57,-,50.72,18.87,31.85,-,-,-,27.69,-,74.05,54.0,-
13,臺北市,2005/04/29,陽明,3.2,0.29,383.78,37.8,-,36,-,9.23,1.73,7.5,-,-,-,20.49,-,88.0,57.0,-
14,臺北市,2005/04/29,士林,4.5,0.92,-,16.2,-,56,-,46.03,18.61,27.42,-,-,-,26.38,-,76.15,53.0,-
15,臺北市,2005/04/28,松山,5.2,1.46,440.27,14.4,-,72,72.0,86.23,41.36,44.88,-,-,-,24.78,-,77.82,61.0,-
16,臺北市,2005/04/28,古亭,4.7,1.33,-,15.3,-,48,33.0,69.22,26.35,42.87,2.633,0.56,2.07,23.94,-,80.85,75.0,-
17,臺北市,2005/04/28,中山,6.8,1.87,-,9.2,-,72,-,102.42,53.23,49.19,-,-,-,24.59,-,75.96,61.0,-
18,臺北市,2005/04/28,大同,6.4,1.91,-,6.6,-,76,-,114.77,61.84,52.93,-,-,-,24.72,-,-,63.0,-
19,臺北市,2005/04/28,萬華,4.4,1.6,-,17.7,-,58,-,59.19,19.91,39.28,-,-,-,25.74,-,78.27,72.0,-
20,臺北市,2005/04/28,陽明,2.8,0.35,388.85,43.5,-,37,-,8.67,1.9,6.77,-,-,-,18.42,-,91.0,48.0,-
21,臺北市,2005/04/28,士林,4.5,1.17,-,10.6,-,54,-,57.28,18.57,38.71,-,-,-,24.33,-,80.57,52.0,-
22,臺北市,2005/04/27,松山,3.4,0.87,405.33,21.1,-,43,44.0,46.86,12.75,34.1,-,-,-,24.17,-,70.9,43.0,-
23,臺北市,2005/04/27,古亭,3.5,1.17,-,24.3,-,39,21.0,61.0,17.75,43.25,2.47,0.464,2.01,23.54,-,74.64,44.0,-
24,臺北市,2005/04/27,中山,5.3,1.6,-,15.1,-,51,-,80.11,30.97,49.13,-,-,-,24.1,-,68.5,50.0,-
25,臺北市,2005/04/27,大同,5.3,1.85,-,11.1,-,59,-,115.48,55.59,59.9,-,-,-,24.3,-,-,54.0,-
26,臺北市,2005/04/27,萬華,3.3,1.39,-,22.9,-,46,-,53.42,12.22,41.2,-,-,-,25.1,-,72.79,46.0,-
27,臺北市,2005/04/27,陽明,2.4,0.32,382.8,54.8,-,31,-,5.51,2.02,3.5,-,-,-,17.47,-,92.0,62.0,-
28,臺北市,2005/04/27,士林,3.0,0.88,-,30.6,-,42,-,-,-,-,-,-,-,24.33,-,71.08,46.0,-
29,臺北市,2005/04/26,松山,3.6,0.7,398.48,24.9,-,37,-,39.6,10.65,28.95,-,-,-,22.11,-,77.44,44.0,-
30,臺北市,2005/04/26,古亭,3.1,0.75,-,25.3,-,36,16.0,44.8,12.98,31.82,2.142,0.247,1.9,21.54,-,79.4,39.0,-
31,臺北市,2005/04/26,中山,7.2,0.94,-,18.3,-,37,-,49.48,14.89,34.59,-,-,-,21.85,-,75.95,37.0,-
32,臺北市,2005/04/26,大同,5.0,1.24,-,14.4,-,42,-,74.66,35.59,39.08,-,-,-,21.84,-,-,42.0,-
33,臺北市,2005/04/26,萬華,3.5,0.79,-,27.6,-,34,-,31.33,6.08,25.25,-,-,-,23.34,-,75.73,39.0,-
34,臺北市,2005/04/26,陽明,2.2,0.27,381.7,58.5,-,24,-,2.53,0.68,1.82,-,-,-,14.93,-,90.0,56.0,-
35,臺北市,2005/04/26,士林,4.3,0.54,-,32.5,-,32,-,-,-,-,-,-,-,21.95,-,78.01,37.0,-
36,臺北市,2005/04/25,松山,4.2,0.58,398.98,25.6,-,43,-,28.22,5.63,22.59,-,-,-,24.26,-,78.14,43.0,-
37,臺北市,2005/04/25,古亭,3.9,0.7,-,20.4,-,35,17.0,39.04,10.42,28.61,2.211,0.26,1.95,23.56,-,81.04,35.0,-
38,臺北市,2005/04/25,中山,4.6,0.91,-,15.5,-,45,-,42.38,12.74,29.64,-,-,-,24.01,-,76.49,45.0,-
39,臺北市,2005/04/25,大同,4.1,1.12,-,13.7,-,44,-,55.27,22.32,32.95,-,-,-,24.28,-,-,44.0,-
40,臺北市,2005/04/25,萬華,3.3,0.72,-,22.4,-,37,-,26.64,5.12,21.52,-,-,-,25.38,-,77.62,37.0,-
41,臺北市,2005/04/25,陽明,1.5,0.27,381.71,50.0,-,15,-,2.71,1.2,1.52,-,-,-,17.7,-,95.0,47.0,-
42,臺北市,2005/04/25,士林,3.3,0.48,-,28.1,-,32,-,19.03,2.12,16.91,-,-,-,24.32,-,78.11,35.0,-
43,臺北市,2005/04/24,松山,6.0,0.6,397.86,26.2,-,40,-,31.42,5.94,25.48,-,-,-,23.95,-,81.39,40.0,-
44,臺北市,2005/04/24,古亭,5.4,0.67,-,26.4,-,35,18.0,37.89,7.28,30.62,2.137,0.218,1.92,23.29,-,84.76,35.0,-
45,臺北市,2005/04/24,中山,6.0,0.8,-,20.7,-,34,-,41.86,11.01,30.85,-,-,-,23.71,-,79.52,34.0,-
46,臺北市,2005/04/24,大同,6.0,0.91,-,17.1,-,41,-,55.24,19.62,35.61,-,-,-,23.88,-,-,41.0,-
47,臺北市,2005/04/24,萬華,5.0,0.79,-,25.3,-,34,-,33.22,6.25,26.97,-,-,-,25.24,-,80.92,40.0,-
