序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2017/10/31,松山,2.6,0.35,418.13,22.6,21,7,35.22,6.56,28.65,1.931,0.125,1.806,1.75,1.38,20.82,-,-,70.86,-
2,臺北市,2017/10/31,古亭,1.6,0.34,-,28.2,22,8,21.57,3.77,17.81,2.043,0.107,1.936,2.3,2.05,21.41,-,-,72.09,-
3,臺北市,2017/10/31,中山,2,0.52,-,18.9,27,7,35.25,10.81,24.43,2.052,0.182,1.869,1.79,1.55,21.3,-,-,78.86,-
4,臺北市,2017/10/31,大同,3.5,0.94,-,-,42,6,63.95,34.42,29.52,2.298,0.408,1.89,-,-,-,-,-,-,-
5,臺北市,2017/10/31,萬華,3,0.7,-,18.3,30,6,51.1,23.84,27.26,-,-,-,1.13,0.54,22.38,-,-,67.45,-
6,臺北市,2017/10/31,陽明,1.4,0.1,409.09,41.6,10,3,1.16,0.39,0.72,-,-,-,2.99,-,13.8,1.82,4.79,95.67,115.4
7,臺北市,2017/10/31,士林,1.8,0.17,-,40.6,26,6,8.45,2.27,6.19,-,-,-,2.55,2.18,22,-,-,70.38,-
8,臺北市,2017/10/30,松山,2,0.28,416.65,34.9,36,18,22,2.91,19.1,1.846,0.062,1.785,2.37,2.05,19.98,-,-,63.99,-
9,臺北市,2017/10/30,古亭,2,0.35,-,33,50,16,20.93,3.61,17.33,2.055,0.099,1.956,2.39,1.85,20.29,-,-,69.55,-
10,臺北市,2017/10/30,中山,1.9,0.45,-,28.6,57,16,27.04,6.31,20.73,1.936,0.123,1.813,1.69,0.97,20.43,-,-,71.67,-
11,臺北市,2017/10/30,大同,2.2,0.75,-,-,68,16,57.58,31.57,26.02,2.085,0.201,1.883,-,-,-,-,-,-,-
12,臺北市,2017/10/30,萬華,2.4,0.71,-,23.2,56,17,48.09,21.66,26.43,-,-,-,1.13,0.39,21.49,-,-,61.77,-
13,臺北市,2017/10/30,陽明,0.7,0.09,412.11,43.8,25,11,1.06,0.39,0.51,-,-,-,2.76,-,12.53,0.5,4.01,93.12,328.2
14,臺北市,2017/10/30,士林,1.7,0.21,-,45.3,49,16,6.05,0.92,5.13,-,-,-,3.98,3.75,20.58,-,-,67.46,-
15,臺北市,2017/10/29,松山,1.5,0.47,426.58,51.6,36,30,13.24,1.04,12.18,1.934,0.088,1.846,2.3,1.85,21.87,-,-,66.25,-
16,臺北市,2017/10/29,古亭,1.6,0.45,-,48.3,53,27,17.09,1.97,15.12,2.111,0.105,2.006,1.95,1.53,22.32,-,-,70.24,-
17,臺北市,2017/10/29,中山,1,0.51,-,46.9,64,24,20.67,4.08,16.59,1.992,0.129,1.863,1.71,1,22.43,-,-,72.15,-
18,臺北市,2017/10/29,大同,1.8,0.79,-,-,78,28,48.01,17.16,30.84,2.176,0.194,1.982,-,-,-,-,-,-,-
19,臺北市,2017/10/29,萬華,-,-,-,-,65,29,-,-,-,-,-,-,1.34,-,-,-,-,-,-
20,臺北市,2017/10/29,陽明,1,0.26,419.03,60.5,35,27,1.53,0.27,1.14,-,-,-,4.61,-,14.59,1.5,4.03,94.02,217.03
21,臺北市,2017/10/29,士林,1.1,0.41,-,54.3,54,27,11.33,1.49,9.83,-,-,-,2.89,2.35,22.57,-,-,69.53,-
22,臺北市,2017/10/28,松山,1.7,0.47,429.6,35.5,32,26,26.34,4.36,21.98,2.012,0.149,1.863,1.62,1.19,21.75,-,-,75.43,-
23,臺北市,2017/10/28,古亭,0.8,0.48,-,36.8,40,24,24.8,2.94,21.86,2.18,0.166,2.014,1.73,1.38,21.79,-,-,79.97,-
