序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2011/07/31,松山,2.3,0.29,402.14,24.3,50,29,23.0,15.96,4.59,11.37,1.913,0.108,1.81,31.12,61.82,57.0
2,臺北市,2011/07/31,古亭,2.9,0.37,-,26.1,54,37,22.0,18.82,5.78,13.04,1.937,0.12,1.82,30.69,69.94,64.0
3,臺北市,2011/07/31,中山,3.4,0.41,-,22.2,47,41,30.0,22.14,6.94,15.2,1.941,0.155,1.79,31.3,64.68,52.0
4,臺北市,2011/07/31,大同,4.0,1.6,-,-,-,37,30.0,65.94,42.89,23.05,2.506,0.551,1.96,-,-,37.0
5,臺北市,2011/07/31,萬華,2.6,0.43,-,23.5,52,32,21.0,21.08,5.85,15.23,-,-,-,32.06,65.32,54.0
6,臺北市,2011/07/31,陽明,2.5,0.13,396.71,24.0,37,15,13.0,5.18,0.69,4.46,-,-,-,24.43,84.66,38.0
7,臺北市,2011/07/31,士林,2.7,0.36,-,23.7,51,36,25.0,17.98,5.22,12.77,-,-,-,31.08,64.01,53.0
8,臺北市,2011/07/30,松山,2.8,0.4,408.89,21.9,47,37,26.0,23.92,6.07,17.84,2.003,0.163,1.84,31.04,62.99,56.0
9,臺北市,2011/07/30,古亭,3.4,0.54,-,22.5,50,40,24.0,28.21,9.19,19.02,2.054,0.193,1.86,30.43,71.83,57.0
10,臺北市,2011/07/30,中山,3.6,0.61,-,17.8,40,42,32.0,31.32,9.84,21.48,2.087,0.25,1.84,31.26,66.76,43.0
11,臺北市,2011/07/30,大同,4.2,2.04,-,-,-,39,28.0,70.56,43.63,26.93,2.724,0.697,2.03,-,-,39.0
