序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2016/10/31,松山,2.6,0.31,416.81,28.3,26,8,21.75,5.5,16.24,1.853,0.09,1.764,2.32,1.88,23.03,-,-,77.84,-
2,臺北市,2016/10/31,古亭,3.2,0.31,-,31.4,30,11,17.51,3.82,13.69,1.908,0.067,1.842,3.32,2.96,23.6,-,-,76.04,-
3,臺北市,2016/10/31,中山,2.6,0.43,-,27.4,27,9,24.09,6.37,17.72,1.936,0.122,1.814,2.53,2.23,24.31,-,-,77.9,-
4,臺北市,2016/10/31,大同,2.8,0.64,-,-,41,8,41.82,19.7,22.12,2.127,0.183,1.944,-,-,-,-,-,-,-
5,臺北市,2016/10/31,萬華,2.1,0.32,-,28.8,27,8,19.91,3.97,15.94,-,-,-,3.35,3.06,24.46,-,-,74.99,-
6,臺北市,2016/10/31,陽明,1.4,0.16,411.47,43.6,6,2,1.79,0.29,1.48,-,-,-,-,-,16.42,0.57,3.96,99.27,160.47
7,臺北市,2016/10/31,士林,1.7,0.21,-,41.1,26,7,7.78,1.62,6.14,-,-,-,2.76,2.15,24.18,-,-,71.34,-
8,臺北市,2016/10/30,松山,2.2,0.26,413.26,32.9,28,6,13.85,3.11,10.74,1.79,0.049,1.74,2.18,1.64,22.13,-,-,76.92,-
9,臺北市,2016/10/30,古亭,1.1,0.22,-,35,24,10,9.66,1.98,7.68,1.866,0.036,1.83,3.4,3.23,22.33,-,-,76.54,-
10,臺北市,2016/10/30,中山,3.8,0.37,-,27.4,30,11,20.49,3.95,16.54,1.913,0.088,1.824,3.01,2.62,23.15,-,-,78.64,-
11,臺北市,2016/10/30,大同,3.1,0.71,-,-,39,8,43.66,20.61,23.05,2.142,0.193,1.948,-,-,-,-,-,-,-
12,臺北市,2016/10/30,萬華,3.1,0.3,-,27.5,27,9,18.81,2.6,16.21,-,-,-,3.09,2.78,23.48,-,-,74.65,-
13,臺北市,2016/10/30,陽明,2,0.16,411.94,42.2,6,2,1.64,0.36,1.19,-,-,-,-,-,15.51,1.82,4.28,98.81,78.22
14,臺北市,2016/10/30,士林,1.5,0.2,-,40.6,24,10,5.52,2.38,3.14,-,-,-,3.51,3.34,22.85,-,-,72.36,-
15,臺北市,2016/10/29,松山,4.3,0.32,418.06,30.8,24,10,17.7,3.5,14.2,1.805,0.059,1.747,2.5,2.05,23.73,-,-,85.13,-
16,臺北市,2016/10/29,古亭,3.3,0.35,-,31,24,12,15.95,2.24,13.71,1.899,0.06,1.84,3.24,2.93,23.99,-,-,85.04,-
17,臺北市,2016/10/29,中山,2,0.43,-,29.7,23,12,20.79,4.48,16.3,1.905,0.093,1.811,2.88,2.59,24.65,-,-,86.72,-
18,臺北市,2016/10/29,大同,3.1,0.77,-,-,34,9,39.59,17.77,21.83,2.15,0.212,1.938,-,-,-,-,-,-,-
19,臺北市,2016/10/29,萬華,2.9,0.35,-,29.1,21,10,19.3,3.61,15.69,-,-,-,3.36,3.16,25.02,-,-,82.97,-
20,臺北市,2016/10/29,陽明,1.3,0.21,415.22,43.3,5,1,2.03,0.55,1.47,-,-,-,-,-,18.1,3.1,4.53,98.06,32.48
21,臺北市,2016/10/29,士林,1,0.26,-,41.1,17,7,6.34,0.89,5.46,-,-,-,3.09,2.79,25.01,-,-,75.88,-
22,臺北市,2016/10/28,松山,5,0.56,442.89,29.6,59,34,30.82,7.78,23.04,2.035,0.213,1.822,1.67,1.26,27.7,-,-,77.04,-
23,臺北市,2016/10/28,古亭,3.7,0.62,-,31.8,57,34,29.83,6.68,23.16,2.103,0.205,1.898,2,1.56,27.95,-,-,76.1,-
