序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2003/02/28,松山,2.0,0.71,378.77,25.6,-,61,-,29.19,6.85,22.34,-,-,-,19.98,-,-,56.0,-
2,臺北市,2003/02/28,古亭,2.0,0.8,-,24.3,-,61,23.01,38.39,9.99,28.4,2.718,0.83,1.89,20.66,-,-,56.0,-
3,臺北市,2003/02/28,中山,2.2,0.68,-,20.8,-,71,-,41.5,10.83,30.67,3.163,0.6,2.57,21.18,-,-,60.0,-
4,臺北市,2003/02/28,大同,3.6,2.34,-,-,-,68,-,117.4,73.64,43.77,3.735,1.26,2.47,22.05,-,-,59.0,-
5,臺北市,2003/02/28,萬華,3.4,0.83,-,25.5,-,52,-,23.66,3.35,20.31,-,-,-,21.29,-,-,51.0,-
6,臺北市,2003/02/28,陽明,1.1,0.38,367.62,45.5,-,8,-,4.62,0.33,4.3,-,-,-,16.26,-,96.0,45.0,-
7,臺北市,2003/02/28,士林,0.6,0.62,-,26.9,-,61,-,33.78,5.75,28.04,-,-,-,19.97,-,-,56.0,-
8,臺北市,2003/02/27,松山,-,0.96,393.7,20.6,-,76,-,38.43,12.21,26.22,-,-,-,18.91,-,-,63.0,-
9,臺北市,2003/02/27,古亭,1.5,0.86,-,19.5,-,62,31.74,37.15,8.41,28.73,2.736,0.83,1.9,19.1,-,-,56.0,-
10,臺北市,2003/02/27,中山,1.3,0.87,-,14.2,-,67,-,47.9,12.69,35.21,3.067,0.66,2.41,20.32,-,-,58.0,-
