序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","平均風向 WD_HR (degress)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2008/05/31,萬華,3.3,0.52,-,42.5,48,69,27.0,21.39,2.0,19.38,-,-,-,-,-,23.06,-,84.49,60.0,-
2,臺北市,2008/05/31,士林,2.1,0.35,-,49.5,55,71,24.0,12.51,1.27,11.24,-,-,-,-,-,23.09,-,79.39,60.0,-
3,臺北市,2008/05/31,古亭,3.2,0.45,-,43.3,46,76,31.0,22.27,3.2,19.07,1.979,0.109,1.87,-,-,22.91,-,85.52,63.0,-
4,臺北市,2008/05/31,陽明,1.1,0.22,384.71,60.2,63,14,7.0,4.33,1.21,3.13,-,-,-,-,-,16.57,-,88.67,56.0,-
5,臺北市,2008/05/31,松山,3.2,0.46,388.77,34.9,39,75,27.0,23.04,2.64,20.41,1.959,0.133,1.83,-,-,22.75,-,82.91,62.0,-
6,臺北市,2008/05/31,中山,2.2,0.55,-,35.6,42,87,-,37.38,10.72,26.66,2.02,0.144,1.88,-,-,22.53,-,84.28,68.0,-
7,臺北市,2008/05/30,萬華,3.0,0.5,-,27.3,39,30,18.0,19.17,3.08,16.09,-,-,-,-,-,30.09,-,66.68,40.0,-
8,臺北市,2008/05/30,士林,4.5,0.34,-,24.3,35,41,14.0,18.87,3.51,15.35,-,-,-,-,-,29.06,-,69.06,41.0,-
9,臺北市,2008/05/30,古亭,2.9,0.55,-,23.5,34,37,22.0,26.73,7.43,19.3,2.071,0.218,1.85,-,-,29.19,-,70.59,38.0,-
10,臺北市,2008/05/30,陽明,2.5,0.18,383.78,37.2,49,15,10.0,5.72,1.3,4.41,-,-,-,-,-,21.72,-,82.72,48.0,-
11,臺北市,2008/05/30,松山,2.7,0.52,398.25,18.7,31,36,22.0,32.48,10.46,22.01,2.076,0.214,1.86,-,-,29.56,-,64.57,37.0,-
12,臺北市,2008/05/30,中山,3.3,0.84,-,18.2,26,46,27.0,48.25,18.5,29.74,2.274,0.323,1.95,-,-,29.31,-,67.56,46.0,-
13,臺北市,2008/05/29,中山,3.8,0.94,-,13.5,24,47,30.0,48.33,22.98,25.35,2.35,0.382,1.97,-,-,30.68,-,60.41,47.0,-
14,臺北市,2008/05/29,古亭,2.7,0.69,-,14.4,29,-,21.0,33.36,13.85,19.51,2.18,0.314,1.87,-,-,30.17,-,67.17,28.0,-
15,臺北市,2008/05/29,萬華,2.7,0.59,-,18.9,33,34,19.0,21.46,5.91,15.55,-,-,-,-,-,30.98,-,62.78,34.0,-
16,臺北市,2008/05/29,士林,5.3,0.4,-,17.3,32,47,18.0,21.84,5.41,16.43,-,-,-,-,-,30.71,-,60.41,47.0,-
17,臺北市,2008/05/29,松山,2.7,0.59,401.96,13.1,26,41,24.0,31.22,10.34,20.87,2.131,0.283,1.85,-,-,30.7,-,59.04,41.0,-
18,臺北市,2008/05/29,陽明,3.3,0.17,381.64,26.3,36,20,12.0,6.78,1.57,5.21,-,-,-,-,-,22.62,-,78.11,36.0,-
19,臺北市,2008/05/28,陽明,3.4,0.21,383.17,33.7,57,31,18.0,8.17,1.08,7.09,-,-,-,-,-,22.66,-,78.56,56.0,-
20,臺北市,2008/05/28,中山,5.0,1.08,-,19.8,45,-,32.0,51.88,21.63,30.26,2.554,0.471,2.08,-,-,29.12,-,67.56,59.0,-
21,臺北市,2008/05/28,士林,4.7,0.58,-,24.4,59,53,20.0,30.99,9.56,21.43,-,-,-,-,-,29.31,-,68.1,74.0,-
22,臺北市,2008/05/28,松山,3.9,0.84,410.73,20.5,50,49,29.0,43.65,16.61,27.04,2.329,0.396,1.93,-,-,29.22,-,66.8,49.0,-
23,臺北市,2008/05/28,萬華,3.4,0.66,-,25.5,55,42,23.0,25.06,6.15,18.91,-,-,-,-,-,29.85,-,68.03,54.0,-
24,臺北市,2008/05/28,古亭,3.9,0.78,-,20.0,47,53,26.0,37.56,13.38,24.18,2.241,0.347,1.89,-,-,28.84,-,73.19,52.0,-
25,臺北市,2008/05/27,陽明,2.9,0.22,387.68,33.4,50,30,20.0,8.33,0.76,7.49,-,-,-,-,-,21.41,-,83.87,49.0,-
26,臺北市,2008/05/27,中山,-,1.08,-,5.4,8,-,21.0,61.94,33.1,28.84,-,-,-,-,-,25.91,-,83.71,17.0,-
