序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2013/10/31,松山,2.1,0.36,411.67,29.2,30,39,26.0,22.33,3.16,19.16,1.927,0.143,1.78,2.28,22.59,76.85,39.0
2,臺北市,2013/10/31,古亭,1.8,0.32,-,33.1,39,46,26.0,18.23,3.69,14.55,1.933,0.077,1.86,3.09,23.22,77.47,46.0
3,臺北市,2013/10/31,中山,3.0,0.53,-,23.8,27,61,35.0,31.41,6.61,24.79,2.043,0.184,1.86,2.4,23.64,76.35,56.0
4,臺北市,2013/10/31,大同,3.6,1.19,-,-,-,-,42.0,69.19,35.98,33.2,2.616,0.691,1.93,-,-,-,19.0
5,臺北市,2013/10/31,萬華,2.5,0.38,-,26.4,30,43,26.0,26.63,4.72,21.91,-,-,-,3.29,23.57,75.28,43.0
6,臺北市,2013/10/31,陽明,1.1,0.14,402.49,49.2,53,14,10.0,2.42,1.42,1.01,-,-,-,-,17.3,99.59,46.0
7,臺北市,2013/10/31,士林,2.6,0.22,-,42.5,47,37,22.0,9.97,2.38,7.59,-,-,-,3.3,23.64,72.54,42.0
8,臺北市,2013/10/30,松山,2.2,0.37,411.91,27.0,30,27,16.0,21.65,3.92,17.73,1.953,0.131,1.82,2.14,24.06,68.09,32.0
9,臺北市,2013/10/30,古亭,1.6,0.31,-,31.2,32,35,14.0,15.57,3.64,11.92,1.927,0.07,1.86,3.2,24.53,68.98,35.0
10,臺北市,2013/10/30,中山,2.3,0.57,-,20.8,26,46,24.0,33.14,9.65,23.48,2.061,0.197,1.86,2.3,24.94,69.07,46.0
11,臺北市,2013/10/30,大同,2.9,1.12,-,-,-,45,28.0,65.31,35.17,30.14,2.378,0.458,1.92,-,-,-,17.0
12,臺北市,2013/10/30,萬華,1.7,0.4,-,23.2,29,30,16.0,27.19,5.92,21.28,-,-,-,3.19,24.92,67.79,31.0
13,臺北市,2013/10/30,陽明,1.3,0.12,396.37,42.2,43,12,10.0,2.54,1.39,1.16,-,-,-,-,17.48,99.52,38.0
14,臺北市,2013/10/30,士林,1.9,0.21,-,38.6,42,24,17.0,8.0,1.75,6.25,-,-,-,3.22,24.7,67.45,38.0
15,臺北市,2013/10/29,松山,3.0,0.44,418.36,25.6,41,32,20.0,26.81,4.68,22.13,2.035,0.171,1.87,1.97,23.18,67.13,38.0
16,臺北市,2013/10/29,古亭,1.4,0.35,-,33.4,36,37,18.0,16.69,2.93,13.76,1.963,0.093,1.87,2.69,24.22,66.01,37.0
17,臺北市,2013/10/29,中山,2.0,0.6,-,22.1,32,52,26.0,36.42,10.49,25.94,2.123,0.219,1.9,2.04,24.57,66.25,51.0
18,臺北市,2013/10/29,大同,3.1,1.14,-,-,-,59,37.0,66.14,33.63,32.51,2.414,0.454,1.96,-,-,-,54.0
19,臺北市,2013/10/29,萬華,2.6,0.43,-,24.8,33,34,18.0,30.14,6.1,24.04,-,-,-,2.71,24.44,65.27,34.0
20,臺北市,2013/10/29,陽明,0.9,0.14,391.09,46.4,48,14,11.0,2.29,1.17,1.11,-,-,-,-,17.56,95.45,41.0
21,臺北市,2013/10/29,士林,2.5,0.23,-,40.7,44,32,17.0,11.0,2.02,8.98,-,-,-,2.69,24.39,64.18,39.0
22,臺北市,2013/10/28,松山,3.2,0.4,418.84,27.0,42,33,18.0,26.19,4.87,21.29,2.015,0.167,1.85,2.12,22.21,64.92,39.0
