序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,1999/11/30,松山,3.8,0.61,10.9,-,-,-,51.69,17.57,34.12,-,-,-,18.2,-,-,19.0,-
2,臺北市,1999/11/30,古亭,2.4,0.76,12.8,-,20,9,45.49,15.33,30.16,2.21,0.32,1.89,18.37,-,-,23.0,-
3,臺北市,1999/11/30,中山,2.0,0.77,14.5,-,18,-,43.2,14.23,28.97,2.253,0.18,2.08,18.76,-,-,23.0,-
4,臺北市,1999/11/30,大同,4.7,3.61,-,-,42,-,181.98,137.86,44.12,3.765,1.64,2.13,19.28,-,-,53.0,-
5,臺北市,1999/11/30,萬華,2.8,0.78,13.6,-,20,-,37.98,8.25,29.73,-,-,-,18.49,-,-,23.0,-
6,臺北市,1999/11/30,陽明,0.7,0.07,40.3,-,12,-,1.92,0.11,1.81,-,-,-,13.44,-,100.0,35.0,-
7,臺北市,1999/11/30,士林,-,0.34,-,-,14,-,9.32,1.54,7.77,-,-,-,19.31,-,-,29.0,-
8,臺北市,1999/11/29,松山,4.4,0.66,11.8,-,-,-,49.21,16.64,32.57,-,-,-,16.85,-,-,24.0,-
9,臺北市,1999/11/29,古亭,2.4,0.67,19.9,-,41,20,30.69,9.02,21.67,2.295,0.24,2.04,17.39,-,-,41.0,-
10,臺北市,1999/11/29,中山,3.6,0.85,13.0,-,54,-,46.47,17.63,28.84,2.525,0.26,2.26,17.52,-,-,52.0,-
11,臺北市,1999/11/29,大同,7.0,3.51,-,-,74,-,194.34,149.39,44.95,4.039,1.85,2.19,18.42,-,-,62.0,-
12,臺北市,1999/11/29,萬華,2.5,0.75,19.3,-,41,-,30.41,4.71,25.7,-,-,-,17.5,-,-,41.0,-
13,臺北市,1999/11/29,陽明,0.4,-,40.8,-,14,-,1.01,0.04,0.97,-,-,-,10.35,-,100.0,38.0,-
14,臺北市,1999/11/29,士林,-,0.41,29.5,-,28,-,6.39,1.65,4.74,-,-,-,17.85,-,-,30.0,-
15,臺北市,1999/11/28,松山,1.3,0.48,19.9,-,-,-,23.29,5.82,17.47,-,-,-,16.75,-,-,27.0,-
16,臺北市,1999/11/28,古亭,1.0,0.71,16.8,-,27,11,28.46,8.17,20.29,2.154,0.25,1.91,17.45,-,-,27.0,-
17,臺北市,1999/11/28,中山,1.1,0.65,16.4,-,23,-,33.93,17.57,16.36,2.287,0.11,2.18,17.93,-,-,25.0,-
18,臺北市,1999/11/28,大同,4.5,2.19,-,-,29,-,129.15,96.16,33.0,3.097,0.89,2.21,18.77,-,-,35.0,-
19,臺北市,1999/11/28,萬華,1.1,0.78,16.0,-,20,-,27.49,4.17,23.32,-,-,-,17.68,-,-,21.0,-
20,臺北市,1999/11/28,陽明,0.4,-,33.7,-,12,-,2.44,0.23,2.21,-,-,-,10.42,-,100.0,33.0,-
21,臺北市,1999/11/28,士林,0.3,0.49,24.6,-,16,-,7.91,1.24,6.67,-,-,-,17.95,-,-,24.0,-
22,臺北市,1999/11/27,松山,6.6,0.67,13.6,-,-,-,41.59,13.02,28.57,-,-,-,21.94,-,-,22.0,-
23,臺北市,1999/11/27,古亭,5.5,0.71,15.8,-,26,15,39.29,12.44,26.85,2.244,0.27,1.98,22.69,-,-,26.0,-
24,臺北市,1999/11/27,中山,3.6,0.79,15.8,-,30,-,42.5,18.75,23.75,2.363,0.21,2.15,22.91,-,-,30.0,-
25,臺北市,1999/11/27,大同,7.8,3.26,-,-,41,-,151.96,110.16,41.8,3.591,1.39,2.2,23.58,-,-,57.0,-
26,臺北市,1999/11/27,萬華,5.5,0.92,17.4,-,24,-,35.5,7.08,28.43,-,-,-,22.75,-,-,24.0,-
27,臺北市,1999/11/27,陽明,0.3,-,39.4,-,12,-,1.83,0.37,1.46,-,-,-,16.4,-,97.0,36.0,-
28,臺北市,1999/11/27,士林,2.1,0.49,20.0,-,31,-,14.07,5.21,8.86,-,-,-,23.12,-,-,31.0,-
29,臺北市,1999/11/26,松山,4.0,0.84,14.6,-,-,-,-,-,-,-,-,-,19.53,-,-,69.0,-
30,臺北市,1999/11/26,古亭,2.7,0.73,20.5,-,46,25,32.47,9.06,23.42,2.307,0.26,2.04,20.01,-,-,46.0,-
31,臺北市,1999/11/26,中山,3.2,0.94,18.0,-,49,-,-,-,-,2.438,0.27,2.17,20.38,-,-,49.0,-
32,臺北市,1999/11/26,大同,7.3,3.7,-,-,68,-,174.93,129.42,45.51,4.245,2.05,2.19,21.22,-,-,60.0,-
33,臺北市,1999/11/26,萬華,3.1,0.95,22.1,-,40,-,31.17,4.82,26.36,-,-,-,20.24,-,-,40.0,-
34,臺北市,1999/11/26,陽明,0.2,-,43.7,-,15,-,0.66,0.08,0.58,-,-,-,13.75,-,99.0,39.0,-
35,臺北市,1999/11/26,士林,-,0.49,28.0,-,33,-,7.89,1.55,6.34,-,-,-,20.61,-,-,33.0,-
36,臺北市,1999/11/25,松山,3.8,1.13,12.2,-,109,-,57.73,24.79,32.94,-,-,-,21.15,-,-,79.0,-
37,臺北市,1999/11/25,古亭,2.4,1.31,12.5,-,79,45,52.36,22.01,30.35,2.782,0.51,2.27,21.67,-,-,65.0,-
38,臺北市,1999/11/25,中山,3.0,1.35,11.8,-,90,-,59.92,26.56,33.35,2.898,0.51,2.39,21.9,-,-,70.0,-
39,臺北市,1999/11/25,大同,6.8,4.13,-,-,98,-,180.94,133.88,46.3,4.472,1.97,2.5,22.6,-,-,74.0,-
40,臺北市,1999/11/25,萬華,2.2,1.36,15.4,-,75,-,43.12,11.02,32.1,-,-,-,21.87,-,-,63.0,-
41,臺北市,1999/11/25,陽明,0.6,0.3,46.2,-,30,-,1.12,0.01,1.11,-,-,-,15.68,-,89.0,46.0,-
42,臺北市,1999/11/25,士林,1.1,1.09,18.0,-,83,-,38.17,16.06,22.11,-,-,-,21.6,-,-,67.0,-
43,臺北市,1999/11/24,松山,5.3,0.84,12.5,-,47,-,58.13,24.59,33.54,-,-,-,22.91,-,-,55.0,-
44,臺北市,1999/11/24,古亭,4.5,1.08,14.7,-,-,-,58.7,25.2,33.49,2.54,0.56,1.98,23.63,-,-,49.0,-
45,臺北市,1999/11/24,中山,4.7,0.94,9.0,-,30,-,56.24,23.53,32.71,2.732,0.42,2.31,23.85,-,-,32.0,-
46,臺北市,1999/11/24,大同,6.8,3.78,-,-,43,-,163.56,122.44,41.11,4.135,1.86,2.27,24.6,-,-,67.0,-
47,臺北市,1999/11/24,萬華,5.3,0.97,16.8,-,35,-,42.09,10.67,31.42,-,-,-,23.76,-,-,43.0,-
