序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/07/31,松山,4.6,0.35,430.68,30.1,41,21,21.39,4.69,16.7,1.889,0.131,1.759,2.51,1.97,31.98,-,-,61.4,-
2,臺北市,2018/07/31,古亭,2.9,0.39,-,35.8,37,24,19.51,2.56,16.95,2.053,0.178,1.875,1.91,1.51,32.49,-,-,57.41,-
3,臺北市,2018/07/31,中山,4.2,0.6,-,21.7,44,21,32.8,9.66,23.15,2.087,0.211,1.876,2,1.42,32.48,-,-,64.01,-
4,臺北市,2018/07/31,大同,4.1,1.16,-,-,54,17,45.98,21.21,24.77,2.447,0.332,2.115,-,-,-,-,-,-,-
5,臺北市,2018/07/31,萬華,4.2,0.45,-,31.2,41,22,21.28,2.84,18.45,-,-,-,1.68,1.33,32.88,-,-,61,-
6,臺北市,2018/07/31,陽明,2.8,0.13,419.9,40.3,18,15,6.53,1.26,5.27,-,-,-,2.32,-,24.21,0,0,82.34,0
7,臺北市,2018/07/31,士林,3.9,0.25,-,28.5,34,18,14.16,2.67,11.49,-,-,-,2.38,2.14,31.92,-,-,71.36,-
8,臺北市,2018/07/30,松山,4.6,0.32,428.81,31.2,37,22,20.17,4.56,15.61,1.826,0.103,1.723,2.55,2,31.63,-,-,64.73,-
9,臺北市,2018/07/30,古亭,3.5,0.38,-,32,38,-,21.75,3.66,18.1,2.076,0.2,1.876,1.96,1.45,32.28,-,-,59.38,-
10,臺北市,2018/07/30,中山,3.4,0.48,-,22.4,41,22,25.63,6.64,18.98,1.992,0.156,1.836,2.19,1.7,31.78,-,-,69.73,-
11,臺北市,2018/07/30,大同,3.8,1.07,-,-,50,19,43.47,21.04,22.43,2.315,0.294,2.021,-,-,-,-,-,-,-
12,臺北市,2018/07/30,萬華,4.7,0.45,-,26.7,39,26,22.21,2.84,19.36,-,-,-,1.69,1.25,32.44,-,-,64.26,-
13,臺北市,2018/07/30,陽明,3.2,0.14,419.15,38.1,24,19,4.6,0.58,3.97,-,-,-,1.78,-,24.05,0,0,88.78,0
14,臺北市,2018/07/30,士林,3.2,0.22,-,30.6,35,20,11.99,1.69,10.26,-,-,-,2.37,2.18,31.61,-,-,74.79,-
15,臺北市,2018/07/29,松山,2.7,0.29,424.88,34.2,32,21,15.07,3.19,11.88,1.791,0.083,1.709,2.25,1.62,31.43,-,-,62.68,-
16,臺北市,2018/07/29,古亭,2.1,0.27,-,31.4,33,-,14.47,2.44,12.03,1.93,0.099,1.83,1.99,1.62,31.85,-,-,59.27,-
17,臺北市,2018/07/29,中山,3.5,0.39,-,26.5,34,20,17.38,3.71,13.67,1.911,0.111,1.8,2.04,1.59,31.77,-,-,66.7,-
18,臺北市,2018/07/29,大同,2.9,0.78,-,-,44,18,32.52,11.74,20.78,2.145,0.161,1.984,-,-,-,-,-,-,-
19,臺北市,2018/07/29,萬華,2.9,0.38,-,26.2,33,22,17.56,1.49,16.09,-,-,-,1.69,1.16,32.05,-,-,64.14,-
20,臺北市,2018/07/29,陽明,1.7,0.12,415.24,36.8,24,14,2.88,0.28,2.64,-,-,-,1.58,-,24.03,0,0,87.37,0
21,臺北市,2018/07/29,士林,2.9,0.19,-,33.8,29,16,10.1,2.58,7.52,-,-,-,2.18,1.94,31.24,-,-,74.63,-
22,臺北市,2018/07/28,松山,2.6,0.36,432.74,32,33,21,16.56,3.67,12.9,1.848,0.113,1.735,1.84,1.4,30.42,-,-,67.97,-
23,臺北市,2018/07/28,古亭,2.1,0.35,-,33.9,33,-,16.55,3.5,13.05,1.894,0.097,1.797,1.72,1.38,30.44,-,-,64.34,-
