序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2017/08/31,松山,2.1,0.26,405.35,25.8,22,12,-,-,-,1.809,0.073,1.735,2.62,2.16,29.69,-,-,71.77,-
2,臺北市,2017/08/31,古亭,2,0.28,-,28.2,19,11,13.32,3.64,9.68,1.844,0.054,1.79,3.25,2.94,30.24,-,-,71.51,-
3,臺北市,2017/08/31,中山,2.9,0.48,-,17.3,55,14,24.41,6.98,17.43,1.957,0.105,1.852,1.07,0.6,30.68,-,-,71.44,-
4,臺北市,2017/08/31,大同,4.2,0.54,-,-,40,5,32.2,14.27,17.93,2.201,0.2,2.001,-,-,-,-,-,-,-
5,臺北市,2017/08/31,萬華,3.2,0.53,-,20.4,29,11,30.41,13.1,17.31,-,-,-,1.84,0.87,30.93,-,-,70.88,-
6,臺北市,2017/08/31,陽明,1.8,0.11,406.09,31.3,11,7,0.9,0.23,0.74,-,-,-,3.05,-,21.89,2,4.45,97.07,19.45
7,臺北市,2017/08/31,士林,3.8,0.15,-,30,28,13,7.91,1.89,6.01,-,-,-,3.21,2.67,30.75,-,-,70.91,-
8,臺北市,2017/08/30,松山,2.7,0.26,409.69,11.2,13,9,16.74,6.88,9.86,1.797,0.087,1.711,2.1,1.58,30.12,-,-,69.5,-
9,臺北市,2017/08/30,古亭,1.7,0.2,-,13.3,10,10,13.25,4.56,8.69,1.903,0.059,1.844,2.76,2.43,30.74,-,-,65.85,-
10,臺北市,2017/08/30,中山,2.9,0.49,-,6.9,35,8,26.5,12.73,13.77,1.95,0.107,1.843,0.97,0.58,31.2,-,-,71.96,-
11,臺北市,2017/08/30,大同,4,0.62,-,-,35,5,37.84,23.48,14.36,2.302,0.408,1.894,-,-,-,-,-,-,-
12,臺北市,2017/08/30,萬華,3.5,0.58,-,8.6,22,11,34,20.11,13.89,-,-,-,1.45,0.71,31.46,-,-,68.12,-
13,臺北市,2017/08/30,陽明,3.4,0.05,408.25,13.6,8,6,4.34,1.36,2.98,-,-,-,2.56,-,22.83,2.25,4.49,92.86,20.8
14,臺北市,2017/08/30,士林,3.4,0.13,-,15.5,18,8,7.36,3.4,3.96,-,-,-,3.05,2.66,31.36,-,-,67.18,-
15,臺北市,2017/08/29,松山,2.6,0.18,409.21,11.9,12,9,14.2,4.97,9.23,1.762,0.076,1.686,2.44,1.91,30.65,-,-,68.11,-
16,臺北市,2017/08/29,古亭,2.3,0.17,-,13.9,10,9,13.44,4.85,8.59,1.885,0.066,1.819,3.22,2.75,31.53,-,-,66.85,-
17,臺北市,2017/08/29,中山,3.9,0.44,-,7.3,25,9,24.59,11.75,12.84,1.913,0.107,1.805,1.03,0.62,31.84,-,-,69.79,-
18,臺北市,2017/08/29,大同,4.2,0.51,-,-,31,3,34.29,20.52,13.77,2.234,0.399,1.834,-,-,-,-,-,-,-
19,臺北市,2017/08/29,萬華,2.8,0.51,-,8.6,18,8,32.01,18.7,13.31,-,-,-,1.63,0.71,32.1,-,-,66.68,-
20,臺北市,2017/08/29,陽明,2.8,0.06,407.15,14.6,7,5,3.31,0.36,3.11,-,-,-,3.56,-,23.23,0,0,90.77,0
21,臺北市,2017/08/29,士林,4.5,0.11,-,15.5,17,9,7.93,3.18,4.74,-,-,-,3.38,2.94,31.78,-,-,65.54,-
22,臺北市,2017/08/28,松山,6.3,0.3,426.48,15.8,14,10,21.7,6.5,15.2,1.841,0.106,1.736,1.95,1.59,30.62,-,-,64.02,-
23,臺北市,2017/08/28,古亭,5,0.27,-,17.4,17,12,18.96,5.88,13.08,1.943,0.088,1.855,2.2,1.93,30.74,-,-,67.78,-
