序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2002/02/28,松山,3.5,1.2,34.5,-,61,-,-,-,-,-,-,-,21.14,-,-,74.0,-
2,臺北市,2002/02/28,古亭,2.9,0.91,36.8,-,50,34,43.13,10.2,32.93,2.716,0.44,2.28,21.74,-,-,66.0,-
3,臺北市,2002/02/28,中山,2.3,1.05,33.5,-,71,-,53.2,16.77,36.43,2.819,0.47,2.35,20.58,-,-,79.0,-
4,臺北市,2002/02/28,大同,4.6,2.14,-,-,75,-,107.36,56.3,51.06,3.32,0.89,2.43,22.57,-,-,62.0,-
5,臺北市,2002/02/28,萬華,2.4,0.79,38.8,-,52,-,26.46,1.4,25.06,-,-,-,21.58,-,-,68.0,-
6,臺北市,2002/02/28,陽明,1.5,0.32,56.8,-,19,-,4.74,0.13,4.61,-,-,-,16.72,-,84.0,65.0,-
7,臺北市,2002/02/28,士林,2.5,1.04,26.9,-,62,-,44.0,13.0,30.99,-,-,-,20.45,-,-,57.0,-
8,臺北市,2002/02/27,松山,4.7,1.56,21.2,-,79,-,75.03,46.8,28.23,-,-,-,20.24,-,-,81.0,-
9,臺北市,2002/02/27,古亭,4.3,1.56,23.7,-,65,48,82.12,40.11,42.0,3.196,0.63,2.57,20.75,-,-,104.0,-
10,臺北市,2002/02/27,中山,5.1,1.74,21.8,-,108,-,95.5,46.18,49.32,3.53,0.94,2.59,19.72,-,-,108.0,-
11,臺北市,2002/02/27,大同,7.0,2.82,-,-,119,-,136.79,83.34,53.45,4.133,1.48,2.65,21.55,-,-,85.0,-
12,臺北市,2002/02/27,萬華,6.2,1.36,28.5,-,85,-,58.72,17.02,41.71,-,-,-,20.51,-,-,145.0,-
