序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2017/09/30,松山,2.2,0.4,416.5,26.9,15,12,18.93,3.67,15.26,1.872,0.097,1.775,1.93,1.43,29.33,-,-,66.45,-
2,臺北市,2017/09/30,古亭,1.6,0.31,-,33.6,14,11,13.16,2.33,10.83,1.983,0.075,1.909,3.09,2.89,30.08,-,-,65.1,-
3,臺北市,2017/09/30,中山,3.1,0.57,-,20.1,52,13,33.36,11.06,22.3,2.028,0.134,1.895,1.18,0.74,30.55,-,-,68.73,-
4,臺北市,2017/09/30,大同,2.6,0.98,-,-,37,10,58.41,29.47,28.94,2.2,0.321,1.879,-,-,-,-,-,-,-
5,臺北市,2017/09/30,萬華,1.9,0.64,-,23.6,25,10,34.51,13.72,20.79,-,-,-,1.6,0.76,30.88,-,-,63.82,-
6,臺北市,2017/09/30,陽明,2.1,0.15,409.12,39.6,13,10,1.85,0.8,1.16,-,-,-,4.36,-,22.58,0,0,89.67,0
7,臺北市,2017/09/30,士林,3.2,0.23,-,39.5,20,11,6.64,1.68,4.96,-,-,-,3.58,3.27,30.58,-,-,68.26,-
8,臺北市,2017/09/29,松山,2.2,0.39,413.35,34.7,27,17,16.97,1.6,15.41,1.873,0.09,1.784,2.23,1.84,27.93,-,-,80.4,-
9,臺北市,2017/09/29,古亭,2.3,0.42,-,38.1,25,15,17.67,2.84,14.84,2.028,0.091,1.937,3.02,2.75,28.62,-,-,77.39,-
10,臺北市,2017/09/29,中山,3.7,0.58,-,26.3,45,17,28.51,6.24,22.27,2.037,0.131,1.906,1,0.53,29.73,-,-,78.96,-
11,臺北市,2017/09/29,大同,4.4,0.7,-,-,50,18,39.72,15.72,24,2.055,0.192,1.864,-,-,-,-,-,-,-
12,臺北市,2017/09/29,萬華,2.1,0.69,-,29.5,39,15,34.98,12.32,22.66,-,-,-,1.66,0.73,29.86,-,-,75.73,-
13,臺北市,2017/09/29,陽明,1.6,0.17,410.18,48.7,8,4,2.6,0.32,2.17,-,-,-,2.72,-,21.91,3.85,4.33,98.48,47.36
14,臺北市,2017/09/29,士林,2.9,0.25,-,44.8,29,16,8.27,1.42,6.85,-,-,-,2.87,2.37,29.68,-,-,76.11,-
15,臺北市,2017/09/28,松山,3.5,0.51,435.58,34,35,27,25.83,5.4,20.43,1.956,0.174,1.782,1.52,1.13,30.14,-,-,69.71,-
16,臺北市,2017/09/28,古亭,4.2,0.48,-,41.5,42,26,22.06,3.46,18.6,2.05,0.153,1.896,1.96,1.71,30.42,-,-,70.34,-
17,臺北市,2017/09/28,中山,3.6,0.69,-,30.5,57,26,30.81,5.1,25.71,2.099,0.218,1.881,0.82,0.29,30.98,-,-,72.6,-
18,臺北市,2017/09/28,大同,3.9,1.32,-,-,59,31,60.29,27,33.29,2.353,0.424,1.928,-,-,-,-,-,-,-
19,臺北市,2017/09/28,萬華,3.5,0.94,-,27.6,47,26,45.75,15.51,30.25,-,-,-,0.98,0.46,31.76,-,-,66.35,-
20,臺北市,2017/09/28,陽明,1.8,0.18,421.53,45.9,26,27,7.51,0.66,6.82,-,-,-,1.52,-,23.71,14.83,4.56,91.63,17.37
21,臺北市,2017/09/28,士林,3.8,0.42,-,35.6,40,23,20.66,3.08,17.58,-,-,-,1.9,1.53,30.71,-,-,73.8,-
22,臺北市,2017/09/27,松山,4.6,0.52,444.41,35.1,33,24,31.32,5.25,26.08,1.987,0.207,1.78,1.85,1.43,31.85,-,-,59.88,-
23,臺北市,2017/09/27,古亭,3,0.44,-,36.5,37,22,23.33,3.5,19.83,2.076,0.186,1.89,2.03,1.6,31.94,-,-,61.64,-
