序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2002/07/31,松山,1.8,0.38,6.2,-,26,-,18.31,9.86,8.45,-,-,-,28.71,-,-,26.0,-
2,臺北市,2002/07/31,古亭,0.6,0.46,6.6,-,17,-,32.88,24.51,8.36,2.162,0.29,1.87,29.47,-,-,17.0,-
3,臺北市,2002/07/31,中山,1.6,0.53,4.8,-,35,-,26.08,15.52,10.56,2.136,0.12,2.01,29.42,-,-,35.0,-
4,臺北市,2002/07/31,大同,5.1,2.73,-,-,38,-,112.39,93.45,18.94,3.346,1.34,2.01,30.49,-,-,45.0,-
5,臺北市,2002/07/31,萬華,-,0.46,6.6,-,23,-,15.86,6.84,9.02,-,-,-,29.26,-,-,23.0,-
6,臺北市,2002/07/31,陽明,2.9,0.23,13.5,-,13,-,-,-,-,-,-,-,21.94,-,93.0,15.0,-
7,臺北市,2002/07/31,士林,2.2,0.32,8.1,-,17,-,14.25,5.57,8.69,-,-,-,28.29,-,-,17.0,-
8,臺北市,2002/07/30,松山,8.8,0.45,11.6,-,34,-,25.2,8.58,16.62,-,-,-,29.76,-,-,34.0,-
9,臺北市,2002/07/30,古亭,6.6,0.6,10.6,-,35,19,38.26,21.93,16.33,-,-,-,30.38,-,-,35.0,-
10,臺北市,2002/07/30,中山,2.5,0.56,12.0,-,36,-,26.8,9.44,17.37,2.267,0.2,2.07,30.6,-,-,36.0,-
11,臺北市,2002/07/30,大同,6.8,2.96,-,-,47,-,127.04,96.08,30.95,3.433,1.41,2.02,32.11,-,-,47.0,-
12,臺北市,2002/07/30,萬華,5.5,0.56,14.0,-,26,-,21.7,4.78,16.92,-,-,-,30.4,-,-,36.0,-
13,臺北市,2002/07/30,陽明,0.3,0.23,26.8,-,12,-,4.77,0.89,3.88,-,-,-,23.79,-,85.0,34.0,-
14,臺北市,2002/07/30,士林,3.0,0.4,16.6,-,21,-,20.17,3.86,16.31,-,-,-,29.93,-,-,44.0,-
15,臺北市,2002/07/29,松山,5.2,0.52,20.1,-,26,-,25.16,8.47,16.69,-,-,-,30.49,-,-,64.0,-
16,臺北市,2002/07/29,古亭,2.8,0.65,19.6,-,44,16,32.09,14.8,17.29,-,-,-,30.82,-,-,66.0,-
17,臺北市,2002/07/29,中山,3.1,0.66,20.7,-,46,-,28.94,8.55,20.39,2.34,0.27,2.07,31.39,-,-,62.0,-
18,臺北市,2002/07/29,大同,8.4,3.36,-,-,65,-,131.73,93.63,38.1,3.758,1.63,2.13,32.41,-,-,64.0,-
19,臺北市,2002/07/29,萬華,4.5,0.59,26.0,-,34,-,17.3,2.09,15.21,-,-,-,30.89,-,-,71.0,-
