序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),風速
WIND_SPEED
(m/sec),溫度
AMB_TEMP
(℃),相對濕度
RH
(percent)
1,臺北市,2014/02/28,松山,-,-,-,-,-,10,-,-,-,-,-,-
2,臺北市,2014/02/28,松山,1.8,0.48,421.58,33.5,21,-,20.18,3.75,16.42,2.09,21.21,70.12
3,臺北市,2014/02/28,古亭,-,-,-,-,-,11,-,-,-,-,-,-
4,臺北市,2014/02/28,古亭,1.9,0.5,-,27.6,38,-,24.22,4.72,19.5,2.41,21.64,72.61
5,臺北市,2014/02/28,中山,-,-,-,-,-,14,-,-,-,-,-,-
6,臺北市,2014/02/28,中山,3.4,0.7,-,27.7,56,-,36.54,12.11,24.44,2.19,22.22,71.4
7,臺北市,2014/02/28,大同,-,-,-,-,-,11,-,-,-,-,-,-
8,臺北市,2014/02/28,大同,4.5,1.33,-,-,43,-,70.69,36.2,34.49,-,-,-
9,臺北市,2014/02/28,萬華,-,-,-,-,-,14,-,-,-,-,-,-
10,臺北市,2014/02/28,萬華,2.5,0.61,-,27.2,33,-,31,6.79,24.21,2.41,21.73,71.09
11,臺北市,2014/02/28,陽明,-,-,-,-,-,6,-,-,-,-,-,-
12,臺北市,2014/02/28,陽明,1.8,0.23,414.61,46.4,8,-,2.68,0.4,2.3,-,15.22,96.38
13,臺北市,2014/02/28,士林,-,-,-,-,-,13,-,-,-,-,-,-
14,臺北市,2014/02/28,士林,2.9,0.45,-,36.1,37,-,19.4,4.91,14.49,2.41,21.76,69.65
15,臺北市,2014/02/27,松山,2.1,0.49,424.55,31.1,36,-,23.62,3.14,20.48,2.61,18.68,76.94
16,臺北市,2014/02/27,古亭,-,-,-,-,-,17,-,-,-,-,-,-
17,臺北市,2014/02/27,古亭,2.3,0.49,-,28.6,42,-,24.08,4.43,19.66,3.4,19.35,78.29
18,臺北市,2014/02/27,中山,-,-,-,-,-,19,-,-,-,-,-,-
19,臺北市,2014/02/27,中山,2.8,0.66,-,27.3,58,-,32.83,8.12,24.71,2.39,19.86,77.33
20,臺北市,2014/02/27,大同,-,-,-,-,-,14,-,-,-,-,-,-
21,臺北市,2014/02/27,大同,3.1,0.97,-,-,51,-,57.55,25.98,31.57,-,-,-
22,臺北市,2014/02/27,萬華,-,-,-,-,-,16,-,-,-,-,-,-
23,臺北市,2014/02/27,萬華,2.4,0.48,-,29.1,33,-,27.53,5.13,22.4,3.55,19.4,76.26
24,臺北市,2014/02/27,陽明,-,-,-,-,-,2,-,-,-,-,-,-
