序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2009/10/31,松山,2.6,0.39,391.07,13.5,20,33,18.0,25.41,8.05,17.35,-,-,-,26.73,71.0,33.0
2,臺北市,2009/10/31,古亭,2.0,0.41,-,16.8,27,34,17.0,23.73,9.62,14.11,1.941,0.126,1.82,27.31,72.45,34.0
3,臺北市,2009/10/31,中山,1.5,0.49,-,15.1,23,34,22.0,27.35,9.96,17.39,2.088,0.171,1.92,27.27,72.71,34.0
4,臺北市,2009/10/31,萬華,1.7,0.53,-,16.8,26,29,21.0,23.48,7.76,15.72,-,-,-,26.85,72.15,29.0
5,臺北市,2009/10/31,陽明,2.7,0.11,378.97,27.3,36,10,7.0,3.04,1.19,1.84,-,-,-,18.93,95.78,36.0
6,臺北市,2009/10/31,士林,1.5,0.2,-,25.6,35,33,12.0,7.49,1.59,5.92,-,-,-,27.12,69.7,33.0
7,臺北市,2009/10/30,松山,2.6,0.47,394.07,19.8,23,51,27.0,31.38,6.84,24.54,-,-,-,25.42,68.12,50.0
8,臺北市,2009/10/30,古亭,1.8,0.43,-,26.6,30,49,23.0,23.25,5.5,17.75,1.942,0.119,1.82,25.84,70.7,49.0
9,臺北市,2009/10/30,中山,2.7,0.59,-,21.2,27,51,28.0,32.48,7.98,24.5,2.167,0.214,1.95,25.98,69.98,50.0
10,臺北市,2009/10/30,萬華,1.6,0.6,-,26.6,30,43,23.0,23.76,4.28,19.47,-,-,-,25.28,70.57,43.0
11,臺北市,2009/10/30,陽明,1.1,0.14,379.39,45.1,46,19,12.0,2.32,0.99,1.33,-,-,-,16.9,96.73,40.0
12,臺北市,2009/10/30,士林,3.5,0.23,-,38.7,41,56,19.0,10.1,1.69,8.41,-,-,-,25.68,67.56,53.0
13,臺北市,2009/10/29,松山,2.7,0.42,394.6,26.8,36,63,34.0,26.63,5.67,20.96,1.879,0.201,1.68,25.68,59.38,56.0
14,臺北市,2009/10/29,古亭,1.8,0.37,-,34.9,40,61,30.0,18.9,4.19,14.71,1.921,0.091,1.83,26.47,60.97,56.0
15,臺北市,2009/10/29,中山,2.3,0.61,-,25.5,31,64,34.0,33.19,8.13,25.05,2.192,0.217,1.98,26.32,61.26,57.0
16,臺北市,2009/10/29,萬華,1.2,0.52,-,33.2,41,52,28.0,21.02,3.32,17.69,-,-,-,25.9,60.89,51.0
17,臺北市,2009/10/29,陽明,4.6,0.16,382.38,47.4,51,36,22.0,3.81,1.17,2.64,-,-,-,16.93,91.58,44.0
18,臺北市,2009/10/29,士林,1.7,0.23,-,45.4,50,67,23.0,9.65,2.14,7.51,-,-,-,26.06,59.92,58.0
19,臺北市,2009/10/28,松山,3.5,0.5,398.28,23.8,35,65,32.0,33.25,7.14,26.11,1.939,0.226,1.71,24.98,56.85,58.0
20,臺北市,2009/10/28,古亭,0.7,0.38,-,35.7,39,61,30.0,20.37,4.34,16.02,1.935,0.098,1.84,25.84,58.92,56.0
21,臺北市,2009/10/28,中山,2.8,0.64,-,24.1,32,67,34.0,38.07,9.0,29.07,2.243,0.246,2.0,25.73,58.23,58.0
22,臺北市,2009/10/28,萬華,1.8,0.57,-,36.1,44,57,30.0,22.53,4.59,17.94,-,-,-,25.38,57.96,54.0
23,臺北市,2009/10/28,陽明,4.0,0.16,381.64,52.0,57,39,22.0,3.34,1.44,1.9,-,-,-,16.71,86.53,50.0
24,臺北市,2009/10/28,士林,2.2,0.25,-,46.6,52,71,22.0,9.54,1.79,7.75,-,-,-,25.72,56.02,60.0
25,臺北市,2009/10/27,松山,2.1,0.51,399.09,24.3,32,61,34.0,34.48,8.67,25.8,1.968,0.24,1.73,23.48,57.67,56.0
26,臺北市,2009/10/27,古亭,-,0.41,-,32.6,41,56,31.0,21.64,5.22,16.41,1.963,0.103,1.86,23.97,60.99,53.0
