序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),風速
WIND_SPEED
(m/sec),溫度
AMB_TEMP
(℃),相對濕度
RH
(percent)
1,臺北市,2015/03/31,松山,-,-,-,-,-,21,-,-,-,-,-,-
2,臺北市,2015/03/31,松山,5.4,0.78,449.94,24.2,39,-,43.16,11.28,31.88,1.21,25.01,68.84
3,臺北市,2015/03/31,古亭,-,-,-,-,-,26,-,-,-,-,-,-
4,臺北市,2015/03/31,古亭,3.6,0.8,-,21.9,62,-,39.29,9.75,29.54,1.53,25.14,70.7
5,臺北市,2015/03/31,中山,-,-,-,-,-,28,-,-,-,-,-,-
6,臺北市,2015/03/31,中山,3.1,1.04,-,21.9,72,-,53.84,18.46,35.38,1.45,25.99,71.35
7,臺北市,2015/03/31,大同,-,-,-,-,-,26,-,-,-,-,-,-
8,臺北市,2015/03/31,大同,4.2,2.08,-,-,62,-,92.71,49.89,42.82,-,-,-
9,臺北市,2015/03/31,萬華,-,-,-,-,-,25,-,-,-,-,-,-
10,臺北市,2015/03/31,萬華,2.5,0.92,-,23.2,44,-,42.58,8.79,33.79,1.12,25.4,70.34
11,臺北市,2015/03/31,陽明,-,-,-,-,-,18,-,-,-,-,-,-
12,臺北市,2015/03/31,陽明,2.2,0.29,431.73,43.6,24,-,6.71,0.69,6.01,-,18.95,93.95
13,臺北市,2015/03/31,士林,-,-,-,-,-,25,-,-,-,-,-,-
14,臺北市,2015/03/31,士林,2.7,0.61,-,31.2,-,-,29.44,6.61,22.84,1.63,25.27,71.88
15,臺北市,2015/03/30,松山,-,-,-,-,-,19,-,-,-,-,-,-
16,臺北市,2015/03/30,松山,3.8,0.82,443.91,24.6,34,-,44.04,11.92,32.12,1.01,23.99,66.34
17,臺北市,2015/03/30,古亭,-,-,-,-,-,27,-,-,-,-,-,-
18,臺北市,2015/03/30,古亭,3,0.85,-,31.3,48,-,37.18,7.47,29.71,1.16,24.4,66.36
19,臺北市,2015/03/30,中山,-,-,-,-,-,23,-,-,-,-,-,-
20,臺北市,2015/03/30,中山,3.9,0.99,-,28.9,55,-,51.15,14.25,36.9,1.17,25.15,66.66
21,臺北市,2015/03/30,大同,-,-,-,-,-,27,-,-,-,-,-,-
22,臺北市,2015/03/30,大同,4.1,2.12,-,-,58,-,89.58,41.29,48.29,-,-,-
23,臺北市,2015/03/30,萬華,-,-,-,-,-,27,-,-,-,-,-,-
24,臺北市,2015/03/30,萬華,3.6,1.05,-,30.7,41,-,46.89,9.52,37.36,0.88,24.49,65
