序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2016/06/30,松山,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
2,臺北市,2016/06/30,松山,4,0.45,430.71,21.3,25,-,26.92,9.23,17.69,1.939,0.182,1.757,1.34,0.89,29.49,-,-,69.88,-
3,臺北市,2016/06/30,古亭,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,臺北市,2016/06/30,古亭,3.1,0.54,-,29.8,25,-,28.46,8.26,20.2,2.073,0.206,1.868,1.26,0.93,29.18,-,-,72.45,-
5,臺北市,2016/06/30,中山,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-
6,臺北市,2016/06/30,中山,4.9,0.65,-,23.3,29,-,35.75,10.31,25.44,2.076,0.209,1.867,1.43,0.79,30.06,-,-,73.89,-
7,臺北市,2016/06/30,大同,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-
8,臺北市,2016/06/30,大同,4.1,1.63,-,-,52,-,68.25,38.39,29.86,2.572,0.504,2.068,-,-,-,-,-,-,-
9,臺北市,2016/06/30,萬華,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-
10,臺北市,2016/06/30,萬華,3.3,0.63,-,25.1,27,-,30.79,7.02,23.77,-,-,-,1.13,0.82,30.28,-,-,71.88,-
11,臺北市,2016/06/30,陽明,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-
12,臺北市,2016/06/30,陽明,2.6,0.12,415.55,28.6,9,-,5.17,1.15,4.02,-,-,-,-,-,23.29,4.5,4.31,88.65,13.74
13,臺北市,2016/06/30,士林,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-
14,臺北市,2016/06/30,士林,2.8,0.39,-,28.3,23,-,20.33,5.12,15.21,-,-,-,1.41,1.13,29.26,-,-,74.55,-
15,臺北市,2016/06/29,松山,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-
16,臺北市,2016/06/29,松山,3.6,0.49,441.98,23.2,33,-,24.93,5.13,19.8,1.939,0.188,1.751,1.49,1.03,29.51,-,-,76.13,-
17,臺北市,2016/06/29,古亭,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-
18,臺北市,2016/06/29,古亭,2.9,0.53,-,28.7,33,-,26.06,4.86,21.21,2.058,0.186,1.872,1.45,0.99,28.76,-,-,80.11,-
19,臺北市,2016/06/29,中山,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-
20,臺北市,2016/06/29,中山,3.2,0.77,-,20.3,37,-,39.46,11.58,27.88,2.155,0.269,1.886,1.48,0.73,29.65,-,-,82.22,-
21,臺北市,2016/06/29,大同,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-
22,臺北市,2016/06/29,大同,3.2,1.84,-,-,52,-,73.14,41.18,31.95,2.513,0.481,2.031,-,-,-,-,-,-,-
23,臺北市,2016/06/29,萬華,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-
24,臺北市,2016/06/29,萬華,2.5,0.58,-,25.2,31,-,27.17,5.03,22.13,-,-,-,1.36,0.8,30.05,-,-,78.48,-
25,臺北市,2016/06/29,陽明,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
26,臺北市,2016/06/29,陽明,2.1,0.13,417.35,33,13,-,3.21,1.08,2.13,-,-,-,-,-,23.39,9.14,4,94.54,43.78
27,臺北市,2016/06/29,士林,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-
