序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/03/31,松山,2.8,0.29,424.67,31.4,48,20,18.98,3.42,15.55,1.867,0.098,1.769,2.23,1.71,23.4,-,-,58.42,-
2,臺北市,2018/03/31,古亭,1.4,0.28,-,39.6,43,17,13.36,2.68,10.67,1.899,0.053,1.847,3.2,2.84,24.22,-,-,53.35,-
3,臺北市,2018/03/31,中山,2.7,0.43,-,29.8,47,19,23.04,5.75,17.29,2.001,0.124,1.877,2.65,2.21,24.23,-,-,61.32,-
4,臺北市,2018/03/31,大同,2,0.65,-,-,64,20,47.79,20.58,27.2,2.125,0.177,1.948,-,-,-,-,-,-,-
5,臺北市,2018/03/31,萬華,1.8,0.31,-,31.1,45,19,21.16,3.26,17.9,-,-,-,2.92,2.45,24.53,-,-,56.52,-
6,臺北市,2018/03/31,陽明,2.8,0.14,414.54,44.8,23,14,1.48,0.42,1.11,-,-,-,4.26,-,14.94,0.5,4.67,95.3,42.5
7,臺北市,2018/03/31,士林,3.2,0.19,-,41.5,48,17,8.56,2.66,5.91,-,-,-,3.24,2.75,24.7,-,-,63.97,-
8,臺北市,2018/03/30,松山,1.8,0.3,421.57,29,28,10,18.7,3.09,15.6,1.838,0.089,1.749,2.28,1.85,23.43,-,-,60.53,-
9,臺北市,2018/03/30,古亭,1.6,0.28,-,34.9,30,11,14.29,2.76,11.53,1.886,0.058,1.829,3.11,2.75,23.95,-,-,57.53,-
10,臺北市,2018/03/30,中山,1.6,0.45,-,25.2,32,12,24.79,6.65,18.14,1.98,0.125,1.856,2.46,1.98,24.09,-,-,62.9,-
11,臺北市,2018/03/30,大同,3,0.66,-,-,46,12,47.4,22.83,24.57,2.114,0.193,1.921,-,-,-,-,-,-,-
12,臺北市,2018/03/30,萬華,2,0.31,-,27.7,31,11,21.54,3.62,17.91,-,-,-,2.92,2.51,24.3,-,-,59.64,-
13,臺北市,2018/03/30,陽明,1.7,0.14,414.38,41.6,14,7,2.3,1.24,1.07,-,-,-,4.14,-,15.59,0,0,89.73,0
14,臺北市,2018/03/30,士林,1.7,0.19,-,38,26,8,6.69,2.1,4.6,-,-,-,3.37,2.85,24.63,-,-,63.03,-
15,臺北市,2018/03/29,松山,2.4,0.3,421.85,28.2,22,12,17.89,5.04,12.85,1.829,0.08,1.748,1.85,1.29,24.58,-,-,56.66,-
16,臺北市,2018/03/29,古亭,1.1,0.29,-,32.6,26,8,14.88,4.2,10.68,1.898,0.062,1.836,2.74,2.32,25.23,-,-,54.02,-
17,臺北市,2018/03/29,中山,1,0.41,-,26.7,31,13,21.5,6.21,15.29,1.976,0.123,1.852,2.64,2.24,25.39,-,-,58.51,-
18,臺北市,2018/03/29,大同,2.1,0.94,-,-,42,10,61.36,35.42,25.94,2.253,0.31,1.944,-,-,-,-,-,-,-
19,臺北市,2018/03/29,萬華,0.7,0.32,-,27.7,25,8,20.33,5.16,15.17,-,-,-,2.39,2.04,25.63,-,-,55.7,-
20,臺北市,2018/03/29,陽明,1.4,0.14,414.41,35.6,13,7,1.56,0.15,1.55,-,-,-,2.9,-,17.03,0.5,4.6,85.66,1.7
21,臺北市,2018/03/29,士林,2.2,0.19,-,35,26,16,8.24,1.81,6.43,-,-,-,2.74,2.24,25.92,-,-,60.65,-
22,臺北市,2018/03/28,松山,4.1,0.27,423.08,31.2,31,15,17.41,2.99,14.42,1.828,0.077,1.751,2.1,1.66,22.87,-,-,71.05,-
23,臺北市,2018/03/28,古亭,2.5,0.37,-,29.3,32,12,21.72,5.36,16.35,1.987,0.104,1.883,2.18,1.83,23.36,-,-,68.54,-
