序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2000/06/30,松山,8.4,0.81,33.4,-,59,-,41.69,9.3,32.39,-,-,-,31.11,-,-,107.0,-
2,臺北市,2000/06/30,古亭,4.9,1.0,40.2,-,69,40,40.75,12.31,28.44,2.3,0.43,1.87,31.28,-,-,123.0,-
3,臺北市,2000/06/30,中山,5.8,0.98,22.4,-,73,-,44.63,12.05,32.57,3.03,0.62,2.41,31.36,-,-,61.0,-
4,臺北市,2000/06/30,大同,11.1,2.19,-,-,73,-,100.4,51.59,48.81,3.46,1.11,2.35,31.5,-,-,61.0,-
5,臺北市,2000/06/30,萬華,6.5,0.69,-,-,60,-,33.81,5.3,28.51,-,-,-,30.64,-,-,55.0,-
6,臺北市,2000/06/30,陽明,3.4,0.34,54.8,-,25,-,10.13,0.38,9.75,-,-,-,23.96,-,89.0,97.0,-
7,臺北市,2000/06/30,士林,5.4,0.62,32.5,-,45,-,30.0,6.5,23.5,-,-,-,30.37,-,-,90.0,-
8,臺北市,2000/06/29,松山,7.5,0.94,43.2,-,70,-,44.69,7.82,36.87,-,-,-,31.26,-,-,128.0,-
9,臺北市,2000/06/29,古亭,2.6,0.85,35.9,-,52,35,40.73,11.12,29.61,2.271,0.45,1.82,31.04,-,-,120.0,-
10,臺北市,2000/06/29,中山,6.5,1.28,32.6,-,80,-,56.36,16.49,39.87,3.09,0.7,2.39,31.65,-,-,109.0,-
11,臺北市,2000/06/29,大同,13.2,3.37,-,-,72,-,140.27,89.0,51.26,4.124,1.62,2.5,31.81,-,-,66.0,-
12,臺北市,2000/06/29,萬華,5.0,0.9,49.1,-,48,-,32.53,4.57,27.96,-,-,-,30.65,-,-,121.0,-
13,臺北市,2000/06/29,陽明,3.6,0.37,78.7,-,25,-,8.12,0.14,7.98,-,-,-,25.18,-,80.0,124.0,-
14,臺北市,2000/06/29,士林,6.8,0.79,37.7,-,56,-,36.56,11.45,25.1,-,-,-,30.74,-,-,125.0,-
15,臺北市,2000/06/28,松山,6.1,1.04,33.6,-,64,-,54.25,15.48,38.77,-,-,-,30.61,-,-,109.0,-
16,臺北市,2000/06/28,古亭,4.1,1.05,31.0,-,48,35,43.64,14.35,29.3,2.351,0.47,1.88,31.13,-,-,90.0,-
17,臺北市,2000/06/28,中山,6.4,1.19,29.9,-,71,-,52.24,16.49,35.75,2.956,0.6,2.36,31.3,-,-,90.0,-
18,臺北市,2000/06/28,大同,11.4,2.94,-,-,84,-,125.88,75.91,49.98,3.913,1.5,2.41,31.35,-,-,67.0,-
19,臺北市,2000/06/28,萬華,6.2,0.72,39.1,-,47,-,30.7,6.96,23.74,-,-,-,30.43,-,-,97.0,-
20,臺北市,2000/06/28,陽明,3.4,0.31,68.3,-,20,-,-,-,-,-,-,-,25.16,-,79.0,79.0,-
21,臺北市,2000/06/28,士林,6.6,0.83,27.7,-,46,-,40.52,16.07,24.45,-,-,-,30.16,-,-,85.0,-
22,臺北市,2000/06/27,松山,8.3,0.97,32.2,-,67,-,52.6,19.88,32.73,-,-,-,30.89,-,-,124.0,-
23,臺北市,2000/06/27,古亭,4.3,0.95,31.5,-,55,33,42.5,16.82,25.67,2.312,0.4,1.91,31.37,-,-,102.0,-
24,臺北市,2000/06/27,中山,7.3,1.14,21.6,-,63,-,53.11,23.27,29.84,3.077,0.62,2.46,31.41,-,-,89.0,-
25,臺北市,2000/06/27,大同,9.6,2.22,-,-,55,-,98.44,56.69,41.75,3.449,1.06,2.38,31.38,-,-,53.0,-
26,臺北市,2000/06/27,萬華,6.5,0.79,33.4,-,45,-,30.87,7.35,23.53,-,-,-,30.57,-,-,87.0,-
27,臺北市,2000/06/27,陽明,3.7,0.29,44.1,-,18,-,-,-,-,-,-,-,24.77,-,82.0,84.0,-
28,臺北市,2000/06/27,士林,7.9,0.68,18.0,-,34,-,37.21,17.24,19.97,-,-,-,30.53,-,-,83.0,-
29,臺北市,2000/06/26,松山,5.6,0.94,23.3,-,50,-,46.59,14.5,32.09,-,-,-,30.28,-,-,62.0,-
30,臺北市,2000/06/26,古亭,3.4,0.98,21.7,-,49,27,43.18,15.56,27.61,2.246,0.34,1.91,30.97,-,-,52.0,-
31,臺北市,2000/06/26,中山,4.0,1.0,17.6,-,52,-,44.96,12.26,32.7,2.663,0.47,2.19,31.08,-,-,51.0,-
32,臺北市,2000/06/26,大同,7.0,2.58,-,-,64,-,115.38,71.8,43.58,3.304,1.11,2.2,31.17,-,-,57.0,-
33,臺北市,2000/06/26,萬華,3.0,0.9,33.7,-,41,-,29.84,3.63,26.2,-,-,-,30.0,-,-,49.0,-
34,臺北市,2000/06/26,陽明,2.9,0.3,35.2,-,16,-,-,-,-,-,-,-,24.31,-,85.0,53.0,-
35,臺北市,2000/06/26,士林,3.1,0.74,21.6,-,32,-,27.59,6.69,20.9,-,-,-,30.22,-,-,56.0,-
36,臺北市,2000/06/25,松山,7.1,0.87,36.6,-,53,-,39.88,11.99,27.89,-,-,-,29.79,-,-,92.0,-
37,臺北市,2000/06/25,古亭,2.7,0.86,28.1,-,48,26,34.41,11.65,22.76,2.111,0.31,1.8,30.34,-,-,80.0,-
38,臺北市,2000/06/25,中山,4.2,0.92,20.3,-,45,-,44.41,16.79,27.62,2.689,0.35,2.33,30.28,-,-,62.0,-
39,臺北市,2000/06/25,大同,7.9,2.2,-,-,45,-,106.7,70.65,36.05,3.137,0.91,2.23,30.45,-,-,45.0,-
40,臺北市,2000/06/25,萬華,3.4,0.73,27.0,-,37,-,24.05,2.91,21.14,-,-,-,29.61,-,-,68.0,-
41,臺北市,2000/06/25,陽明,2.5,0.28,47.4,-,17,-,-,-,-,-,-,-,24.14,-,80.0,62.0,-
42,臺北市,2000/06/25,士林,4.6,0.81,20.4,-,35,-,33.74,13.49,20.24,-,-,-,29.44,-,-,65.0,-
43,臺北市,2000/06/24,松山,4.0,0.97,18.2,-,53,-,51.11,24.33,26.78,-,-,-,29.64,-,-,78.0,-
44,臺北市,2000/06/24,古亭,4.1,1.0,19.5,-,50,25,45.76,21.98,23.78,2.355,0.49,1.87,30.35,-,-,71.0,-
45,臺北市,2000/06/24,中山,4.1,1.04,13.4,-,51,-,48.66,23.23,25.43,2.853,0.49,2.36,30.17,-,-,55.0,-
46,臺北市,2000/06/24,大同,8.9,2.39,-,-,57,-,111.81,77.12,34.69,3.724,1.16,2.56,30.35,-,-,54.0,-
