序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2008/08/31,松山,6.1,0.71,400.88,24.8,57,59,45.0,32.56,9.57,22.99,2.172,0.29,1.88,-,-,-,-,61.0,-
2,臺北市,2008/08/31,古亭,5.1,0.65,-,25.3,56,57,40.0,29.59,7.54,22.06,2.207,0.243,1.96,-,-,-,-,60.0,-
3,臺北市,2008/08/31,中山,8.7,0.81,-,22.5,46,62,47.0,41.62,11.26,30.36,2.358,0.316,2.04,-,30.36,-,67.99,56.0,-
4,臺北市,2008/08/31,萬華,5.4,0.56,-,27.9,62,55,43.0,24.95,5.56,19.39,-,-,-,-,30.49,-,70.05,65.0,-
5,臺北市,2008/08/31,陽明,3.1,0.21,388.93,38.7,49,33,27.0,9.51,1.9,7.61,-,-,-,-,23.17,-,78.29,48.0,-
6,臺北市,2008/08/31,士林,4.9,0.4,-,29.4,56,54,30.0,21.55,2.93,18.62,-,-,-,-,30.1,-,69.9,55.0,-
7,臺北市,2008/08/30,松山,4.2,0.54,395.06,17.1,36,39,28.0,23.17,5.45,17.73,2.095,0.25,1.85,-,-,-,-,39.0,-
8,臺北市,2008/08/30,古亭,3.5,0.48,-,22.2,41,46,27.0,23.26,6.46,16.8,2.111,0.213,1.9,-,-,-,-,46.0,-
9,臺北市,2008/08/30,中山,4.8,0.72,-,18.4,34,48,35.0,37.95,11.24,26.71,2.236,0.29,1.95,-,29.75,-,71.77,48.0,-
10,臺北市,2008/08/30,萬華,3.5,0.52,-,23.9,41,47,36.0,22.53,3.99,18.53,-,-,-,-,30.07,-,72.92,47.0,-
11,臺北市,2008/08/30,陽明,2.7,0.22,391.27,43.7,48,29,25.0,7.85,1.67,6.18,-,-,-,-,23.08,-,79.89,58.0,-
12,臺北市,2008/08/30,士林,2.9,0.4,-,30.7,50,44,25.0,16.9,1.88,15.02,-,-,-,-,30.02,-,70.47,44.0,-
13,臺北市,2008/08/29,松山,5.4,0.58,394.48,26.1,65,35,26.0,29.16,7.75,21.41,2.128,0.275,1.85,-,-,-,-,103.0,-
14,臺北市,2008/08/29,古亭,7.8,0.62,-,31.7,80,53,36.0,31.48,9.77,21.7,3.013,1.091,1.92,-,-,-,-,99.0,-
15,臺北市,2008/08/29,中山,5.8,0.78,-,31.9,81,47,37.0,43.31,12.87,30.45,2.282,0.345,1.94,-,30.04,-,66.25,111.0,-
16,臺北市,2008/08/29,萬華,3.6,0.66,-,36.4,90,45,31.0,26.06,5.83,20.23,-,-,-,-,30.42,-,67.23,106.0,-
17,臺北市,2008/08/29,陽明,4.0,0.2,389.55,44.5,59,31,25.0,7.56,1.86,5.71,-,-,-,-,23.27,-,78.48,63.0,-
18,臺北市,2008/08/29,士林,5.0,0.43,-,41.7,91,47,29.0,-,-,-,-,-,-,-,30.37,-,65.88,126.0,-
19,臺北市,2008/08/28,松山,2.8,0.47,387.94,11.0,26,28,18.0,25.26,10.48,14.77,2.085,0.238,1.85,-,-,-,-,30.0,-
20,臺北市,2008/08/28,古亭,2.5,0.42,-,15.8,30,31,18.0,22.14,9.25,12.89,2.174,0.305,1.87,-,-,-,-,34.0,-
21,臺北市,2008/08/28,中山,2.8,0.56,-,14.7,30,32,24.0,34.22,14.08,20.14,2.126,0.241,1.89,-,30.1,-,63.89,35.0,-
22,臺北市,2008/08/28,萬華,2.0,0.54,-,16.3,32,32,19.0,21.11,7.77,13.34,-,-,-,-,30.6,-,64.03,38.0,-
23,臺北市,2008/08/28,陽明,3.5,0.13,384.09,26.9,40,17,14.0,4.53,0.93,3.6,-,-,-,-,23.35,-,76.34,38.0,-
24,臺北市,2008/08/28,士林,2.5,0.28,-,22.6,42,34,15.0,-,-,-,-,-,-,-,30.25,-,64.66,48.0,-
25,臺北市,2008/08/27,松山,5.2,0.6,401.16,11.6,24,37,26.0,31.27,8.8,22.48,2.151,0.289,1.86,-,-,-,-,37.0,-
26,臺北市,2008/08/27,古亭,3.8,0.68,-,15.1,33,39,-,31.22,9.66,21.56,2.201,0.284,1.92,-,-,-,-,48.0,-
27,臺北市,2008/08/27,中山,6.4,0.77,-,13.9,27,41,33.0,49.09,18.96,30.12,2.235,0.329,1.91,-,29.09,-,71.64,42.0,-
28,臺北市,2008/08/27,萬華,3.5,0.65,-,20.2,43,39,28.0,27.24,5.5,21.74,-,-,-,-,29.49,-,71.55,60.0,-
