序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2009/09/30,松山,3.1,0.55,402.59,10.3,20,25,20.0,32.44,11.52,20.92,1.947,0.263,1.68,29.06,74.21,30.0
2,臺北市,2009/09/30,古亭,2.5,0.65,-,11.4,22,25,16.0,31.17,12.13,19.05,2.058,0.273,1.79,29.4,77.79,29.0
3,臺北市,2009/09/30,中山,3.8,0.9,-,10.3,19,33,23.0,45.82,21.23,24.59,2.352,0.393,1.96,29.36,75.53,33.0
4,臺北市,2009/09/30,萬華,2.7,0.6,-,14.4,28,26,17.0,23.84,6.21,17.63,-,-,-,29.04,75.34,36.0
5,臺北市,2009/09/30,陽明,1.7,0.14,382.1,16.3,22,8,7.0,3.78,0.69,3.04,-,-,-,21.62,96.0,26.0
6,臺北市,2009/09/30,士林,2.5,0.38,-,19.2,36,29,13.0,17.58,3.95,13.63,-,-,-,28.87,75.41,51.0
7,臺北市,2009/09/29,松山,1.8,0.37,389.45,5.8,9,15,12.0,28.57,16.9,11.68,1.767,0.162,1.6,28.23,78.46,15.0
8,臺北市,2009/09/29,古亭,1.4,0.33,-,7.4,10,14,11.0,18.96,10.81,8.16,1.844,0.11,1.74,27.78,82.87,14.0
9,臺北市,2009/09/29,中山,2.7,0.55,-,4.0,5,20,17.0,39.23,26.23,13.0,2.082,0.214,1.87,27.83,80.86,20.0
10,臺北市,2009/09/29,萬華,1.4,0.5,-,7.1,8,15,11.0,18.67,9.58,9.09,-,-,-,27.53,80.89,15.0
11,臺北市,2009/09/29,陽明,1.4,0.05,377.24,11.6,14,6,3.0,1.75,0.96,0.73,-,-,-,20.75,96.3,16.0
12,臺北市,2009/09/29,士林,1.8,0.18,-,10.8,12,20,7.0,9.77,3.95,5.82,-,-,-,27.65,77.92,20.0
