序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2003/03/31,松山,-,1.76,439.85,11.9,-,123,-,132.17,68.22,52.18,-,-,-,23.48,-,-,86.0,-
2,臺北市,2003/03/31,古亭,1.7,1.6,-,17.8,-,92,59.35,67.55,27.89,39.65,3.128,0.92,2.21,23.39,-,-,71.0,-
3,臺北市,2003/03/31,中山,4.5,1.95,-,8.6,-,145,-,107.16,50.39,56.78,-,-,-,24.16,-,-,98.0,-
4,臺北市,2003/03/31,大同,8.1,3.58,-,-,-,182,-,212.86,145.54,67.32,5.032,2.09,2.94,24.72,-,-,116.0,-
5,臺北市,2003/03/31,萬華,4.0,2.01,-,13.9,-,110,-,54.88,20.14,34.73,-,-,-,23.9,-,-,80.0,-
6,臺北市,2003/03/31,陽明,-,-,-,48.5,-,19,-,-,-,-,-,-,-,18.9,-,95.0,52.0,-
7,臺北市,2003/03/31,士林,3.2,1.47,-,13.3,-,98,-,93.05,29.9,57.57,-,-,-,22.98,-,-,74.0,-
8,臺北市,2003/03/30,松山,-,1.14,415.73,27.9,-,74,-,80.62,31.6,41.12,-,-,-,23.02,-,-,76.0,-
9,臺北市,2003/03/30,古亭,1.6,1.0,-,31.4,-,68,37.92,44.23,12.47,31.76,2.816,0.65,2.16,22.92,-,-,79.0,-
10,臺北市,2003/03/30,中山,3.2,1.08,-,24.0,-,83,-,59.17,17.12,42.05,3.898,1.11,2.79,23.55,-,-,68.0,-
11,臺北市,2003/03/30,大同,7.2,2.31,-,-,-,100,-,171.02,112.27,58.74,3.702,1.09,2.61,24.16,-,-,75.0,-
12,臺北市,2003/03/30,萬華,2.9,1.15,-,29.8,-,66,-,32.48,7.06,25.42,-,-,-,23.48,-,-,74.0,-
13,臺北市,2003/03/30,陽明,-,-,-,60.8,-,28,-,-,5.16,-,-,-,-,17.31,-,91.0,77.0,-
14,臺北市,2003/03/30,士林,1.9,0.86,-,32.7,-,54,-,54.54,11.84,42.7,-,-,-,22.14,-,-,70.0,-
15,臺北市,2003/03/29,松山,-,0.53,379.29,28.2,-,37,-,30.9,3.36,27.54,-,-,-,18.29,-,-,38.0,-
16,臺北市,2003/03/29,古亭,0.9,0.61,-,28.1,-,36,18.92,31.65,6.66,25.0,2.53,0.49,2.04,18.25,-,-,36.0,-
17,臺北市,2003/03/29,中山,2.6,0.62,-,25.7,-,41,-,37.2,6.11,31.1,3.158,0.7,2.46,19.17,-,-,41.0,-
18,臺北市,2003/03/29,大同,5.6,3.24,-,-,-,66,-,184.15,122.19,61.96,4.166,1.67,2.49,20.07,-,-,58.0,-
19,臺北市,2003/03/29,萬華,2.1,0.75,-,25.8,-,30,-,22.18,1.18,21.01,-,-,-,18.9,-,-,33.0,-
20,臺北市,2003/03/29,陽明,-,-,354.47,54.6,-,17,-,-,-,-,-,-,-,14.24,-,87.0,49.0,-
21,臺北市,2003/03/29,士林,2.6,0.52,-,31.6,-,28,-,30.36,3.96,26.4,-,-,-,18.31,-,-,40.0,-
22,臺北市,2003/03/28,松山,-,0.54,378.11,33.8,-,51,-,-,-,-,-,-,-,16.02,-,-,50.0,-
23,臺北市,2003/03/28,古亭,1.1,0.53,-,31.8,-,46,16.82,30.54,6.88,23.66,2.256,0.53,1.72,15.79,-,-,46.0,-
24,臺北市,2003/03/28,中山,2.8,0.58,-,29.6,-,59,-,37.72,7.07,30.65,-,-,-,16.76,-,-,54.0,-
25,臺北市,2003/03/28,大同,5.6,3.08,-,-,-,73,-,188.36,131.53,56.84,4.103,1.71,2.4,17.46,-,-,62.0,-
26,臺北市,2003/03/28,萬華,2.4,0.48,-,26.4,-,46,-,23.45,3.07,20.38,-,-,-,16.35,-,-,46.0,-
27,臺北市,2003/03/28,陽明,1.0,0.36,377.05,54.6,-,10,-,-,-,-,-,-,-,10.22,-,98.0,52.0,-
28,臺北市,2003/03/28,士林,-,0.46,-,38.2,-,36,-,23.3,2.03,21.27,-,-,-,15.74,-,-,48.0,-
29,臺北市,2003/03/27,松山,-,0.8,391.49,30.0,-,75,-,-,-,-,-,-,-,20.83,-,-,62.0,-
30,臺北市,2003/03/27,古亭,1.0,0.74,-,28.7,-,59,33.05,31.88,7.67,24.2,2.394,0.66,1.73,20.88,-,-,54.0,-
31,臺北市,2003/03/27,中山,3.3,0.91,-,24.4,-,78,-,48.45,13.91,34.54,-,-,-,21.67,-,-,64.0,-
32,臺北市,2003/03/27,大同,6.6,3.03,-,-,-,77,-,174.56,113.13,61.42,4.297,1.65,2.65,22.44,-,-,64.0,-
33,臺北市,2003/03/27,萬華,3.0,0.89,-,22.8,-,65,-,27.08,6.66,20.42,-,-,-,21.39,-,-,58.0,-
34,臺北市,2003/03/27,陽明,2.1,0.46,376.98,58.7,-,14,-,-,-,-,-,-,-,15.05,-,93.0,60.0,-
35,臺北市,2003/03/27,士林,1.9,0.72,-,35.0,-,-,-,38.3,9.68,28.28,-,-,-,20.22,-,-,45.0,-
36,臺北市,2003/03/26,松山,1.7,0.73,381.66,47.6,-,90,-,-,-,-,-,-,-,23.53,-,-,104.0,-
37,臺北市,2003/03/26,古亭,0.9,0.82,-,45.5,-,66,36.87,35.01,7.39,27.62,2.442,0.67,1.78,23.6,-,-,98.0,-
38,臺北市,2003/03/26,中山,2.7,0.95,-,30.5,-,88,-,53.16,11.67,41.49,4.161,0.89,3.27,24.12,-,-,69.0,-
39,臺北市,2003/03/26,大同,6.6,3.48,-,-,-,133,-,212.21,137.44,74.77,4.98,2.03,2.95,25.05,-,-,92.0,-
40,臺北市,2003/03/26,萬華,1.7,1.02,-,37.6,-,77,-,27.46,3.18,24.28,-,-,-,24.11,-,-,84.0,-
41,臺北市,2003/03/26,陽明,2.3,0.39,370.32,67.8,-,28,-,6.41,0.18,6.23,-,-,-,17.76,-,80.0,93.0,-
42,臺北市,2003/03/26,士林,0.7,0.75,-,50.2,-,-,-,31.72,3.11,28.61,-,-,-,23.04,-,-,102.0,-
43,臺北市,2003/03/25,松山,3.1,0.61,378.36,36.4,-,60,-,-,-,-,-,-,-,19.63,-,-,55.0,-
44,臺北市,2003/03/25,古亭,1.9,0.65,-,37.1,-,47,26.05,27.65,4.64,23.01,2.4,0.56,1.84,19.94,-,-,47.0,-
