序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2011/02/28,松山,8.0,0.75,429.22,19.7,37,66,49.0,46.33,11.12,35.21,2.405,0.276,2.13,20.11,73.64,58.0
2,臺北市,2011/02/28,古亭,4.3,0.88,-,28.0,53,73,50.0,46.76,11.37,35.39,2.43,0.311,2.12,20.83,72.28,62.0
3,臺北市,2011/02/28,中山,4.8,1.35,-,12.5,30,84,59.0,84.9,38.76,46.14,2.854,0.53,2.32,19.99,74.47,67.0
4,臺北市,2011/02/28,大同,4.3,1.42,-,-,-,75,55.0,77.6,34.32,43.28,3.161,0.549,2.61,-,-,62.0
5,臺北市,2011/02/28,萬華,3.7,1.36,-,14.7,36,77,57.0,77.18,32.32,44.86,-,-,-,19.7,74.88,64.0
6,臺北市,2011/02/28,陽明,4.2,0.35,404.5,60.1,66,39,33.0,11.79,1.3,10.5,-,-,-,17.26,94.04,73.0
7,臺北市,2011/02/28,士林,2.8,0.85,-,18.1,38,71,45.0,47.42,15.11,32.31,-,-,-,18.28,80.51,60.0
8,臺北市,2011/02/27,松山,5.8,1.03,433.09,21.1,46,64,46.0,64.0,23.66,40.35,2.874,0.457,2.42,22.33,65.14,57.0
9,臺北市,2011/02/27,古亭,3.8,1.06,-,26.8,63,82,52.0,58.37,16.51,41.86,2.646,0.45,2.2,22.4,65.87,69.0
10,臺北市,2011/02/27,中山,6.9,1.68,-,16.6,42,91,62.0,112.23,62.31,49.92,3.163,0.693,2.47,22.08,65.58,70.0
11,臺北市,2011/02/27,大同,6.6,1.62,-,-,-,83,60.0,90.72,43.52,47.2,3.106,0.658,2.45,-,-,66.0
12,臺北市,2011/02/27,萬華,8.0,1.56,-,19.4,46,86,62.0,87.72,41.9,45.82,-,-,-,21.5,67.44,68.0
13,臺北市,2011/02/27,陽明,2.7,0.29,397.45,65.0,82,35,29.0,6.6,1.38,5.21,-,-,-,17.52,98.78,101.0
14,臺北市,2011/02/27,士林,4.2,0.94,-,20.6,43,80,56.0,56.8,22.04,34.76,-,-,-,20.34,72.09,65.0
