序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,1999/09/30,松山,6.4,0.68,10.1,-,46,-,39.99,14.14,25.85,-,-,-,27.37,-,-,46.0,-
2,臺北市,1999/09/30,古亭,2.4,0.69,16.8,-,38,15,32.31,12.54,19.77,2.262,0.24,2.02,28.75,-,-,38.0,-
3,臺北市,1999/09/30,中山,7.9,0.73,12.7,-,-,-,35.19,17.42,17.76,-,-,-,27.98,-,-,25.0,-
4,臺北市,1999/09/30,大同,11.1,3.47,-,-,58,-,-,-,-,-,-,-,28.23,-,-,54.0,-
5,臺北市,1999/09/30,萬華,-,1.05,21.3,-,-,-,-,-,-,-,-,-,28.59,-,-,34.0,-
6,臺北市,1999/09/30,陽明,0.3,0.16,31.0,-,15,-,-,-,-,-,-,-,20.9,-,91.0,36.0,-
7,臺北市,1999/09/30,士林,-,-,-,-,-,-,-,-,-,-,-,-,27.63,-,-,-,-
8,臺北市,1999/09/29,松山,5.1,0.58,14.3,-,39,-,34.01,9.29,24.72,-,-,-,27.6,-,-,39.0,-
9,臺北市,1999/09/29,古亭,4.5,0.65,17.1,-,38,12,32.0,9.35,22.65,2.181,0.18,2.0,28.63,-,-,38.0,-
10,臺北市,1999/09/29,中山,4.6,0.57,19.2,-,35,-,22.18,8.54,13.65,-,-,-,28.1,-,-,35.0,-
11,臺北市,1999/09/29,大同,8.6,3.49,-,-,42,-,145.0,108.86,36.13,3.767,1.7,2.06,28.91,-,-,61.0,-
12,臺北市,1999/09/29,萬華,4.0,-,19.3,-,27,-,-,-,-,-,-,-,28.38,-,-,27.0,-
13,臺北市,1999/09/29,陽明,0.4,0.14,37.1,-,13,-,-,-,-,-,-,-,20.67,-,92.0,44.0,-
14,臺北市,1999/09/29,士林,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,臺北市,1999/09/28,松山,2.5,0.5,4.3,-,26,-,32.12,15.5,16.62,-,-,-,28.85,-,-,26.0,-
16,臺北市,1999/09/28,古亭,2.8,0.62,5.8,-,22,9,32.04,18.0,14.04,2.137,0.21,1.92,30.01,-,-,22.0,-
17,臺北市,1999/09/28,中山,1.1,-,5.8,-,20,-,63.7,51.22,12.49,-,-,-,28.88,-,-,20.0,-
18,臺北市,1999/09/28,大同,6.6,3.31,-,-,34,-,144.97,120.16,24.81,-,-,-,30.09,-,-,55.0,-
19,臺北市,1999/09/28,萬華,2.6,-,6.7,-,19,-,-,-,-,-,-,-,29.16,-,-,19.0,-
20,臺北市,1999/09/28,陽明,1.2,0.12,18.2,-,12,-,-,-,-,-,-,-,21.68,-,93.0,35.0,-
21,臺北市,1999/09/28,士林,-,0.38,7.5,-,-,-,-,-,-,-,-,-,28.5,-,-,14.0,-
22,臺北市,1999/09/27,松山,0.8,0.39,5.9,-,20,-,22.99,11.75,11.24,-,-,-,28.65,-,-,20.0,-
23,臺北市,1999/09/27,古亭,0.5,0.56,6.9,-,18,17,27.26,16.58,10.68,1.883,0.14,1.74,29.96,-,-,18.0,-
24,臺北市,1999/09/27,中山,1.3,-,6.3,-,17,-,-,-,-,-,-,-,29.21,-,-,17.0,-
25,臺北市,1999/09/27,大同,6.3,3.72,-,-,37,-,165.1,141.89,23.51,-,-,-,30.54,-,-,58.0,-
26,臺北市,1999/09/27,萬華,1.3,0.64,8.8,-,16,-,22.69,10.15,12.54,-,-,-,29.57,-,-,16.0,-
27,臺北市,1999/09/27,陽明,0.8,0.12,15.9,-,12,-,-,-,-,-,-,-,22.64,-,85.0,37.0,-
28,臺北市,1999/09/27,士林,-,-,-,-,-,-,-,-,-,-,-,-,28.65,-,-,-,-
29,臺北市,1999/09/26,松山,0.5,0.36,23.6,-,35,-,19.18,3.63,15.55,-,-,-,26.76,-,-,38.0,-
30,臺北市,1999/09/26,古亭,0.2,0.45,24.2,-,27,12,18.18,5.16,13.02,1.911,0.12,1.79,27.47,-,-,38.0,-
31,臺北市,1999/09/26,中山,1.4,-,22.8,-,32,-,10.88,2.65,8.23,-,-,-,27.06,-,-,36.0,-
32,臺北市,1999/09/26,大同,5.0,2.43,-,-,41,-,115.28,85.02,30.26,-,-,-,27.79,-,-,41.0,-
33,臺北市,1999/09/26,萬華,0.6,0.7,25.4,-,24,-,20.17,4.11,16.07,-,-,-,27.46,-,-,36.0,-
