序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2017/01/31,松山,1.7,0.24,411.57,33.6,22,11,12.86,2.06,10.79,1.851,0.044,1.807,2.27,1.73,15.84,-,-,83.88,-
2,臺北市,2017/01/31,古亭,1.4,0.21,-,38,14,11,8.75,1.72,7.03,1.917,0.044,1.872,3.69,3.47,16.15,-,-,83.59,-
3,臺北市,2017/01/31,中山,3.5,0.3,-,31.3,16,-,16.36,3.18,13.18,1.939,0.07,1.869,3.24,2.94,16.85,-,-,84.24,-
4,臺北市,2017/01/31,大同,2.9,0.46,-,-,36,10,33.44,15.07,18.37,2.045,0.093,1.952,-,-,-,-,-,-,-
5,臺北市,2017/01/31,萬華,3.4,0.24,-,32.6,24,9,15.74,2.94,12.8,-,-,-,3.69,3.44,16.77,-,-,79.9,-
6,臺北市,2017/01/31,陽明,0.7,0.15,412.3,43.6,5,1,1.67,0.39,1.24,-,-,-,-,-,9.33,0.63,4.22,99.38,63.63
7,臺北市,2017/01/31,士林,2.6,0.16,-,40.3,17,5,5.5,0.64,4.83,-,-,-,3.82,3.49,16.96,-,-,75.73,-
8,臺北市,2017/01/30,松山,1.3,0.54,433.44,22.6,34,19,20.8,7.13,13.67,2.086,0.12,1.966,2.45,1.99,17.51,-,-,83.29,-
9,臺北市,2017/01/30,古亭,1.3,0.44,-,22.9,26,20,16.02,4,12.02,2.084,0.095,1.989,2.72,2.41,17.59,-,-,85.23,-
10,臺北市,2017/01/30,中山,1.2,0.64,-,19.4,34,22,30.09,10.92,19.17,2.255,0.179,2.076,2.2,1.7,18.6,-,-,83.15,-
11,臺北市,2017/01/30,大同,2.2,0.89,-,-,57,25,42.38,21.47,20.91,2.488,0.227,2.261,-,-,-,-,-,-,-
12,臺北市,2017/01/30,萬華,0.9,0.56,-,20.1,37,25,26.35,8.82,17.53,-,-,-,2.85,2.34,18.53,-,-,78.96,-
13,臺北市,2017/01/30,陽明,1.6,0.29,418.69,37.8,6,3,2.34,0.29,2.02,-,-,-,-,-,11.22,0.92,4.39,93.73,45.35
14,臺北市,2017/01/30,士林,1.6,0.51,-,25,40,24,16.44,4.41,12.02,-,-,-,2.49,1.77,18.12,-,-,78.73,-
15,臺北市,2017/01/29,松山,4.3,0.81,451.62,18.4,54,33,44.75,13.26,31.49,2.459,0.283,2.176,1.09,0.81,21.22,-,-,72.49,-
16,臺北市,2017/01/29,古亭,3.5,0.67,-,20.2,46,40,35.05,7.53,27.51,2.414,0.256,2.158,1.11,0.91,21.1,-,-,74.65,-
17,臺北市,2017/01/29,中山,3.3,1,-,13,50,33,58.42,23.56,34.86,2.64,0.347,2.293,1.11,0.78,21.48,-,-,78.59,-
18,臺北市,2017/01/29,大同,3.8,1.21,-,-,69,35,64.71,30.81,33.9,2.801,0.392,2.41,-,-,-,-,-,-,-
19,臺北市,2017/01/29,萬華,5.3,0.83,-,16.3,51,31,43.16,12.86,30.3,-,-,-,1.02,0.68,21.43,-,-,74.9,-
20,臺北市,2017/01/29,陽明,2.1,0.18,410.7,42.3,12,8,3.54,0.54,2.94,-,-,-,-,-,16.79,0,0,75.79,0
21,臺北市,2017/01/29,士林,3.2,0.48,-,21.9,46,29,24.63,5.3,19.33,-,-,-,1.06,0.9,20.77,-,-,79.09,-
22,臺北市,2017/01/28,松山,2.5,0.35,422.43,31.7,23,12,18.51,3.93,14.57,1.922,0.09,1.831,1.24,0.89,20.46,-,-,74.46,-
23,臺北市,2017/01/28,古亭,1.8,0.32,-,33.1,16,13,16.97,2.68,14.29,2.021,0.088,1.933,1.38,1.11,20.53,-,-,75.14,-
