序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2005/07/31,松山,6.1,0.49,-,27.9,-,55,37.0,-,-,-,-,-,-,31.1,-,65.83,52.0,-
2,臺北市,2005/07/31,古亭,5.3,0.68,-,23.1,-,52,33.0,34.34,10.0,24.34,2.365,0.295,2.07,30.24,-,71.68,51.0,-
3,臺北市,2005/07/31,中山,5.8,0.77,-,14.2,-,46,34.0,42.89,14.08,28.81,2.16,0.558,1.6,31.1,-,64.75,46.0,-
4,臺北市,2005/07/31,大同,5.4,0.75,-,15.4,-,50,35.0,40.68,20.51,20.16,-,-,-,31.12,-,-,50.0,-
5,臺北市,2005/07/31,萬華,4.0,0.51,-,21.1,-,43,29.0,22.71,5.38,17.33,-,-,-,31.97,-,68.32,43.0,-
6,臺北市,2005/07/31,陽明,3.2,0.16,382.53,36.4,-,17,14.0,5.58,1.22,4.35,-,-,-,23.1,-,86.0,48.0,-
7,臺北市,2005/07/31,士林,4.5,0.39,-,20.6,-,38,25.0,21.05,4.4,16.64,-,-,-,30.7,-,68.89,38.0,-
8,臺北市,2005/07/30,松山,9.1,0.69,-,42.9,-,82,55.0,35.83,5.75,30.08,-,-,-,31.42,-,63.64,97.0,-
9,臺北市,2005/07/30,古亭,6.2,0.9,-,33.0,-,92,54.0,44.71,11.38,33.33,2.471,0.397,2.07,30.2,-,69.72,104.0,-
10,臺北市,2005/07/30,中山,7.7,0.97,-,28.9,-,80,59.0,49.64,10.78,38.86,2.274,0.647,1.63,30.99,-,63.06,66.0,-
11,臺北市,2005/07/30,大同,7.6,0.91,-,31.1,-,82,64.0,44.62,15.59,29.04,-,-,-,31.53,-,-,66.0,-
12,臺北市,2005/07/30,萬華,5.9,0.63,-,39.0,-,69,44.0,27.28,3.82,23.45,-,-,-,32.49,-,62.64,90.0,-
13,臺北市,2005/07/30,陽明,4.1,0.28,385.66,50.4,-,40,33.0,9.18,1.35,7.83,-,-,-,23.37,-,84.0,70.0,-
14,臺北市,2005/07/30,士林,6.3,0.55,-,37.2,-,68,49.0,24.78,2.94,21.85,-,-,-,30.94,-,66.25,79.0,-
15,臺北市,2005/07/29,松山,7.2,0.64,-,29.4,-,67,40.0,38.1,10.28,27.82,-,-,-,30.63,-,64.44,71.0,-
