序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2001/03/31,松山,2.6,0.78,29.6,-,-,-,42.08,14.46,27.62,-,-,-,19.96,-,-,50.0,-
2,臺北市,2001/03/31,古亭,2.8,0.71,32.7,-,49,28,34.98,8.69,26.29,2.017,0.16,1.85,20.84,-,-,54.0,-
3,臺北市,2001/03/31,中山,1.7,0.72,32.7,-,61,-,35.38,7.26,28.11,2.545,0.31,2.24,20.04,-,-,55.0,-
4,臺北市,2001/03/31,大同,3.6,2.72,-,-,76,-,154.76,98.18,56.58,3.681,1.32,2.37,20.73,-,-,63.0,-
5,臺北市,2001/03/31,萬華,1.9,0.67,39.3,-,49,-,23.35,1.79,21.56,-,-,-,20.11,-,-,59.0,-
6,臺北市,2001/03/31,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85.0,-,-
7,臺北市,2001/03/31,士林,1.5,0.8,35.0,-,71,-,34.53,11.0,23.53,-,-,-,19.87,-,-,61.0,-
8,臺北市,2001/03/30,松山,3.6,0.83,35.7,-,53,-,53.01,17.68,35.34,-,-,-,18.92,-,-,91.0,-
9,臺北市,2001/03/30,古亭,2.3,0.88,40.6,-,44,25,49.02,14.15,34.88,2.265,0.31,1.96,20.36,-,-,84.0,-
10,臺北市,2001/03/30,中山,2.9,0.98,35.4,-,58,-,57.87,14.5,43.37,2.824,0.5,2.32,19.51,-,-,74.0,-
11,臺北市,2001/03/30,大同,4.8,3.06,-,-,66,-,183.01,114.39,68.61,3.828,1.49,2.33,20.12,-,-,58.0,-
12,臺北市,2001/03/30,萬華,2.8,0.78,43.0,-,53,-,43.61,7.75,35.86,-,-,-,19.48,-,-,84.0,-
13,臺北市,2001/03/30,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78.0,-,-
14,臺北市,2001/03/30,士林,1.8,0.63,50.2,-,45,-,24.08,2.63,21.45,-,-,-,19.59,-,-,79.0,-
15,臺北市,2001/03/29,松山,3.3,0.7,31.1,-,39,-,50.14,17.86,32.28,-,-,-,15.09,-,-,43.0,-
16,臺北市,2001/03/29,古亭,1.8,0.64,33.5,-,44,25,40.34,10.5,29.84,2.081,0.27,1.81,16.35,-,-,44.0,-
17,臺北市,2001/03/29,中山,3.0,0.67,30.4,-,46,-,40.14,7.3,32.84,2.536,0.33,2.21,15.58,-,-,46.0,-
18,臺北市,2001/03/29,大同,5.3,2.9,-,-,80,-,186.23,125.42,60.8,3.695,1.64,2.18,16.37,-,-,65.0,-
19,臺北市,2001/03/29,萬華,2.6,0.97,-,-,44,-,31.71,3.32,28.39,-,-,-,15.72,-,-,60.0,-
20,臺北市,2001/03/29,陽明,1.8,0.2,59.8,-,19,-,2.18,0.27,1.91,-,-,-,8.51,-,87.0,56.0,-
21,臺北市,2001/03/29,士林,2.1,0.47,43.7,-,39,-,16.86,1.13,15.73,-,-,-,15.7,-,-,44.0,-
22,臺北市,2001/03/28,松山,2.1,0.63,32.2,-,81,-,30.05,3.79,26.26,-,-,-,17.19,-,-,66.0,-
23,臺北市,2001/03/28,古亭,2.2,0.79,27.6,-,92,37,36.68,6.7,29.98,1.989,0.23,1.76,18.26,-,-,71.0,-
24,臺北市,2001/03/28,中山,2.0,0.77,28.4,-,96,-,37.4,5.68,31.73,2.556,0.33,2.23,17.9,-,-,73.0,-
25,臺北市,2001/03/28,大同,4.9,2.89,-,-,108,-,164.81,104.21,60.61,3.836,1.49,2.34,18.45,-,-,79.0,-
26,臺北市,2001/03/28,萬華,1.8,0.82,33.7,-,67,-,29.24,2.82,26.42,-,-,-,17.65,-,-,58.0,-
27,臺北市,2001/03/28,陽明,1.1,0.26,60.3,-,57,-,2.51,0.3,2.2,-,-,-,11.33,-,98.0,55.0,-
28,臺北市,2001/03/28,士林,1.6,0.58,39.0,-,80,-,20.35,2.01,18.34,-,-,-,18.07,-,-,65.0,-
29,臺北市,2001/03/27,松山,2.1,1.23,11.6,-,28,-,75.68,31.61,44.07,-,-,-,18.98,-,-,28.0,-
30,臺北市,2001/03/27,古亭,1.8,1.35,10.8,-,22,18,70.33,31.2,39.14,2.658,0.63,2.03,20.1,-,-,27.0,-
31,臺北市,2001/03/27,中山,1.2,1.2,14.3,-,-,-,58.05,20.44,37.61,2.829,0.47,2.36,19.36,-,-,26.0,-
32,臺北市,2001/03/27,大同,3.1,2.85,-,-,38,-,154.65,102.71,51.94,4.054,1.45,2.6,19.72,-,-,51.0,-
33,臺北市,2001/03/27,萬華,2.1,1.23,15.3,-,29,-,53.05,15.48,37.57,-,-,-,19.37,-,-,29.0,-
34,臺北市,2001/03/27,陽明,0.1,0.28,53.6,-,12,-,5.07,0.96,4.11,-,-,-,15.41,-,100.0,50.0,-
35,臺北市,2001/03/27,士林,0.8,0.98,22.1,-,22,-,47.27,17.71,29.56,-,-,-,19.37,-,-,38.0,-
36,臺北市,2001/03/26,松山,4.1,0.98,21.2,-,59,-,49.23,12.79,36.44,-,-,-,17.85,-,-,54.0,-
37,臺北市,2001/03/26,古亭,1.1,0.75,28.6,-,37,25,34.21,6.79,27.42,1.909,0.15,1.76,18.89,-,-,42.0,-
38,臺北市,2001/03/26,中山,3.5,1.02,20.9,-,82,-,51.98,12.43,39.56,2.35,0.25,2.1,18.43,-,-,66.0,-
39,臺北市,2001/03/26,大同,5.5,3.69,-,-,88,-,191.58,129.99,61.59,4.15,1.89,2.26,19.13,-,-,69.0,-
