序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2011/12/31,松山,3.2,0.41,407.6,20.6,32,24,22.0,35.09,6.26,28.84,2.062,0.161,1.9,15.1,84.28,29.0
2,臺北市,2011/12/31,古亭,2.3,0.45,-,21.8,31,39,24.0,26.43,5.94,20.49,2.087,0.145,1.94,15.59,85.27,39.0
3,臺北市,2011/12/31,中山,1.7,0.59,-,17.3,26,32,27.0,36.62,9.53,27.08,2.143,0.201,1.94,15.87,82.05,32.0
4,臺北市,2011/12/31,大同,2.9,1.55,-,-,-,47,25.0,96.12,59.31,36.82,2.614,0.647,1.97,-,-,47.0
5,臺北市,2011/12/31,萬華,1.6,0.45,-,17.4,27,28,21.0,32.67,6.49,26.17,-,-,-,15.78,82.28,28.0
6,臺北市,2011/12/31,陽明,0.5,0.16,391.56,41.9,43,6,5.0,1.86,0.79,1.07,-,-,-,9.74,100.0,36.0
7,臺北市,2011/12/31,士林,1.0,0.32,-,29.9,39,28,16.0,14.68,1.12,13.54,-,-,-,15.51,76.09,34.0
8,臺北市,2011/12/30,松山,2.0,0.46,409.5,26.6,41,28,22.0,29.95,4.63,25.32,2.075,0.141,1.93,15.34,84.21,40.0
9,臺北市,2011/12/30,古亭,2.2,0.53,-,23.6,32,39,26.0,28.54,6.81,21.73,2.08,0.146,1.94,15.7,87.14,39.0
10,臺北市,2011/12/30,中山,-,0.66,-,19.1,30,30,28.0,39.88,12.1,27.78,2.118,0.193,1.93,16.07,82.35,31.0
11,臺北市,2011/12/30,大同,2.9,1.37,-,-,-,45,29.0,89.24,52.98,36.26,2.478,0.533,1.95,-,-,45.0
12,臺北市,2011/12/30,萬華,0.9,0.52,-,19.8,31,30,21.0,33.63,7.36,26.27,-,-,-,15.94,82.92,32.0
13,臺北市,2011/12/30,陽明,1.5,0.27,395.31,42.6,45,6,5.0,2.63,0.92,1.7,-,-,-,9.85,100.0,39.0
14,臺北市,2011/12/30,士林,1.3,0.37,-,34.3,41,23,16.0,13.2,1.33,11.87,-,-,-,16.11,75.49,38.0
15,臺北市,2011/12/29,松山,1.6,0.47,410.6,20.9,24,26,20.0,32.07,8.9,23.17,2.109,0.18,1.93,17.42,83.67,32.0
16,臺北市,2011/12/29,古亭,1.9,0.53,-,19.6,22,38,23.0,31.15,8.83,22.32,2.17,0.219,1.95,18.02,84.5,38.0
17,臺北市,2011/12/29,中山,-,0.67,-,15.5,19,30,24.0,41.84,14.08,27.76,2.044,0.225,1.82,18.64,77.97,30.0
18,臺北市,2011/12/29,大同,2.7,1.61,-,-,-,40,24.0,90.9,56.79,34.11,2.643,0.668,1.98,-,-,40.0
19,臺北市,2011/12/29,萬華,2.0,0.57,-,16.2,20,28,19.0,38.34,11.44,26.91,-,-,-,18.41,79.43,28.0
20,臺北市,2011/12/29,陽明,1.1,0.16,392.1,39.6,43,6,5.0,1.69,0.44,1.2,-,-,-,12.15,99.94,37.0
21,臺北市,2011/12/29,士林,1.3,0.39,-,27.5,37,25,14.0,17.38,4.73,12.65,-,-,-,18.19,73.48,32.0
22,臺北市,2011/12/28,松山,4.2,1.03,436.74,11.1,26,53,33.0,68.24,30.4,37.84,2.746,0.497,2.25,18.0,76.74,52.0
23,臺北市,2011/12/28,古亭,3.7,1.0,-,10.2,25,53,30.0,61.95,28.63,33.32,2.611,0.503,2.11,18.59,77.33,52.0
24,臺北市,2011/12/28,中山,3.1,1.36,-,7.5,18,49,37.0,92.59,51.39,41.2,2.433,0.526,1.91,18.87,75.6,49.0
25,臺北市,2011/12/28,大同,4.0,2.02,-,-,-,59,32.0,109.12,69.74,39.38,3.159,0.873,2.29,-,-,54.0
26,臺北市,2011/12/28,萬華,3.3,1.0,-,7.8,18,46,25.0,62.65,26.9,35.75,-,-,-,18.73,75.93,46.0
27,臺北市,2011/12/28,陽明,2.0,0.2,393.7,37.0,41,16,14.0,5.38,1.36,4.02,-,-,-,13.59,88.52,45.0
28,臺北市,2011/12/28,士林,3.3,0.75,-,15.4,34,54,24.0,48.62,24.02,24.6,-,-,-,17.55,75.89,52.0
29,臺北市,2011/12/27,松山,3.6,0.54,412.85,15.7,27,32,22.0,39.97,13.55,26.42,2.167,0.229,1.94,16.35,83.47,32.0
30,臺北市,2011/12/27,古亭,2.8,0.6,-,15.2,26,41,25.0,42.99,16.47,26.51,2.193,0.227,1.97,17.15,83.16,41.0
31,臺北市,2011/12/27,中山,2.7,0.73,-,13.5,25,33,30.0,51.19,23.55,27.64,1.944,0.242,1.7,17.24,80.81,33.0
32,臺北市,2011/12/27,大同,3.9,1.71,-,-,-,57,28.0,108.38,75.34,33.04,2.684,0.744,1.94,-,-,54.0
