序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2005/10/31,松山,5.5,0.51,390.6,45.2,-,86,18.0,31.71,3.19,28.52,-,-,-,22.16,-,57.38,68.0,-
2,臺北市,2005/10/31,古亭,5.0,0.57,-,41.6,-,77,41.0,29.45,4.68,24.77,2.106,0.128,1.98,20.97,-,65.53,64.0,-
3,臺北市,2005/10/31,中山,5.3,0.69,-,34.4,-,85,48.0,37.97,7.29,30.69,2.055,0.21,1.85,21.73,-,56.39,68.0,-
4,臺北市,2005/10/31,萬華,5.9,0.64,-,43.4,-,86,43.0,27.22,2.91,24.31,-,-,-,21.95,-,58.86,68.0,-
5,臺北市,2005/10/31,陽明,3.7,0.28,378.04,64.8,-,46,35.0,2.71,0.97,1.74,-,-,-,13.52,-,94.0,57.0,-
6,臺北市,2005/10/31,士林,4.8,0.34,-,58.6,-,76,37.0,9.2,1.25,7.95,-,-,-,21.96,-,58.31,63.0,-
7,臺北市,2005/10/30,松山,3.0,0.44,387.88,41.5,-,48,19.0,19.63,1.49,18.13,-,-,-,21.34,-,72.64,48.0,-
8,臺北市,2005/10/30,古亭,2.9,0.56,-,32.6,-,52,29.0,27.62,4.46,23.16,2.069,0.092,1.98,20.55,-,78.6,51.0,-
9,臺北市,2005/10/30,中山,3.0,0.6,-,28.0,-,52,28.0,31.13,5.86,25.27,1.999,0.152,1.85,21.39,-,68.74,51.0,-
10,臺北市,2005/10/30,萬華,5.4,0.57,-,36.2,-,52,24.0,22.77,2.28,20.49,-,-,-,21.44,-,72.57,51.0,-
11,臺北市,2005/10/30,陽明,2.3,0.28,377.92,56.9,-,21,19.0,3.01,1.19,1.83,-,-,-,14.03,-,96.0,52.0,-
12,臺北市,2005/10/30,士林,2.6,0.34,-,47.9,-,42,21.0,8.54,1.28,7.26,-,-,-,22.01,-,66.93,45.0,-
13,臺北市,2005/10/29,松山,2.5,0.51,387.57,34.0,-,24,12.0,22.39,3.89,18.5,-,-,-,23.73,-,77.84,44.0,-
14,臺北市,2005/10/29,古亭,2.8,0.72,-,21.1,-,33,14.0,35.62,8.36,27.26,2.137,0.16,1.98,23.07,-,83.75,33.0,-
