序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),風速
WIND_SPEED
(m/sec),溫度
AMB_TEMP
(℃),相對濕度
RH
(percent)
1,臺北市,2014/11/30,松山,-,-,-,-,-,27,-,-,-,-,-,-
2,臺北市,2014/11/30,松山,3.1,0.79,436.51,16.8,44,-,35.3,12.02,23.27,1.52,25.45,74.96
3,臺北市,2014/11/30,古亭,-,-,-,-,-,28,-,-,-,-,-,-
4,臺北市,2014/11/30,古亭,3,0.72,-,14.7,53,-,27.7,6.53,21.17,1.15,25.78,80.04
5,臺北市,2014/11/30,中山,-,-,-,-,-,23,-,-,-,-,-,-
6,臺北市,2014/11/30,中山,1.9,1.01,-,12.8,72,-,45.55,20.1,25.44,1.51,25.96,76.56
7,臺北市,2014/11/30,大同,-,-,-,-,-,17,-,-,-,-,-,-
8,臺北市,2014/11/30,大同,3.6,1.25,-,-,60,-,46.58,20.02,26.56,-,-,-
9,臺北市,2014/11/30,萬華,-,-,-,-,-,27,-,-,-,-,-,-
10,臺北市,2014/11/30,萬華,3.7,0.9,-,12.6,48,-,37.52,12.4,25.12,1.11,25.85,77.17
11,臺北市,2014/11/30,陽明,-,-,-,-,-,11,-,-,-,-,-,-
12,臺北市,2014/11/30,陽明,1.5,0.2,405.17,31.1,14,-,4.68,0.88,3.79,-,19.29,89.69
13,臺北市,2014/11/30,士林,-,-,-,-,-,25,-,-,-,-,-,-
14,臺北市,2014/11/30,士林,2.9,0.6,-,17.8,37,-,26.52,7.05,19.47,1.55,24.97,77.75
15,臺北市,2014/11/29,松山,-,-,-,-,-,19,-,-,-,-,-,-
16,臺北市,2014/11/29,松山,4.9,0.65,425.64,22.1,36,-,32.71,9.51,23.2,1.28,25.91,75.69
17,臺北市,2014/11/29,古亭,-,-,-,-,-,22,-,-,-,-,-,-
18,臺北市,2014/11/29,古亭,3.8,0.64,-,19.4,49,-,30.09,7.8,22.28,1.24,26.33,79.16
19,臺北市,2014/11/29,中山,-,-,-,-,-,21,-,-,-,-,-,-
20,臺北市,2014/11/29,中山,6,0.92,-,20.9,64,-,44.69,15.78,28.91,1.42,26.76,74.8
21,臺北市,2014/11/29,大同,-,-,-,-,-,15,-,-,-,-,-,-
22,臺北市,2014/11/29,大同,5.5,1.63,-,-,59,-,63.13,29.88,33.25,-,-,-
23,臺北市,2014/11/29,萬華,-,-,-,-,-,21,-,-,-,-,-,-
24,臺北市,2014/11/29,萬華,5.4,0.74,-,22.9,37,-,32.48,7.22,25.26,1.46,26.44,76.24
