序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","平均風向 WD_HR (degress)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2007/08/31,中山,6.7,0.91,-,33.9,78,61,44.0,42.56,8.92,33.64,2.412,0.42,1.99,-,-,29.88,-,72.86,107.0,-
2,臺北市,2007/08/31,士林,5.6,0.62,-,41.0,94,59,33.0,29.1,6.38,22.72,-,-,-,-,-,29.4,-,67.32,104.0,-
3,臺北市,2007/08/31,古亭,5.3,0.86,-,34.9,81,61,41.0,41.95,11.91,30.04,2.198,0.341,1.86,-,-,28.77,-,74.03,104.0,-
4,臺北市,2007/08/31,陽明,4.3,0.25,398.43,53.4,85,30,26.0,8.68,1.58,7.1,-,-,-,-,-,22.14,-,86.21,86.0,-
5,臺北市,2007/08/31,松山,8.0,0.73,409.53,35.8,97,52,37.0,40.13,10.64,29.49,2.258,0.348,1.91,-,-,29.36,-,66.34,105.0,-
6,臺北市,2007/08/31,萬華,5.8,0.96,-,41.4,87,64,41.0,37.39,5.34,32.06,-,-,-,-,-,30.52,-,64.88,108.0,-
7,臺北市,2007/08/30,中山,6.8,0.84,-,20.7,44,53,31.0,40.83,10.17,30.67,2.414,0.448,1.97,-,-,30.8,-,71.18,52.0,-
8,臺北市,2007/08/30,萬華,6.0,0.68,-,30.4,57,46,31.0,30.34,5.38,24.96,-,-,-,-,-,31.69,-,61.04,58.0,-
9,臺北市,2007/08/30,士林,4.9,0.47,-,31.0,53,53,25.0,24.2,4.0,20.2,-,-,-,-,-,29.69,-,69.43,52.0,-
10,臺北市,2007/08/30,古亭,4.1,0.7,-,25.8,52,55,33.0,34.42,10.3,24.12,2.14,0.298,1.84,-,-,29.83,-,71.82,52.0,-
11,臺北市,2007/08/30,陽明,3.0,0.18,389.66,43.0,52,28,23.0,5.75,1.12,4.62,-,-,-,-,-,22.71,-,85.2,50.0,-
12,臺北市,2007/08/30,松山,7.5,0.6,403.52,27.2,60,49,37.0,35.8,7.92,27.87,2.154,0.29,1.86,-,-,30.02,-,67.36,61.0,-
13,臺北市,2007/08/29,中山,6.9,0.91,-,22.0,44,60,38.0,45.6,15.31,30.29,2.517,0.495,2.02,-,-,31.11,-,72.68,55.0,-
14,臺北市,2007/08/29,松山,7.7,0.53,392.23,33.5,68,52,38.0,28.7,5.17,23.53,2.126,0.272,1.86,-,-,30.55,-,66.16,68.0,-
15,臺北市,2007/08/29,士林,5.0,0.34,-,33.9,57,58,30.0,18.0,2.7,15.3,-,-,-,-,-,29.76,-,70.24,59.0,-
16,臺北市,2007/08/29,萬華,5.6,0.53,-,31.8,60,57,35.0,25.54,3.74,21.81,-,-,-,-,-,32.04,-,61.71,68.0,-
17,臺北市,2007/08/29,古亭,5.8,0.59,-,27.6,57,61,38.0,31.26,6.99,24.27,2.165,0.29,1.88,-,-,30.93,-,68.22,58.0,-
18,臺北市,2007/08/29,陽明,3.5,0.2,391.84,41.0,54,33,27.0,7.14,0.83,6.29,-,-,-,-,-,22.79,-,86.77,50.0,-
19,臺北市,2007/08/28,陽明,2.3,0.14,388.72,27.8,44,21,15.0,4.91,0.96,3.96,-,-,-,-,-,23.63,-,85.63,45.0,-
20,臺北市,2007/08/28,萬華,4.8,0.54,-,22.8,47,43,22.0,25.14,6.57,18.57,-,-,-,-,-,31.66,-,63.87,66.0,-
21,臺北市,2007/08/28,松山,5.1,0.45,390.2,28.2,60,35,24.0,24.57,7.53,17.04,1.999,0.201,1.8,-,-,30.44,-,66.52,79.0,-
22,臺北市,2007/08/28,中山,4.6,0.64,-,18.9,42,45,23.0,32.93,12.17,20.76,2.23,0.329,1.9,-,-,31.19,-,71.85,60.0,-
23,臺北市,2007/08/28,古亭,5.2,0.51,-,19.9,44,41,20.0,29.84,11.18,18.65,2.036,0.228,1.81,-,-,30.75,-,69.52,64.0,-
24,臺北市,2007/08/28,士林,3.2,0.32,-,22.3,41,47,23.0,17.46,4.25,13.2,-,-,-,-,-,30.21,-,68.26,54.0,-
25,臺北市,2007/08/27,中山,3.9,0.64,-,20.3,50,38,26.0,33.44,17.29,16.15,2.255,0.334,1.92,-,-,31.28,-,68.34,88.0,-
26,臺北市,2007/08/27,萬華,2.6,0.6,-,19.8,53,31,17.0,25.71,11.86,13.84,-,-,-,-,-,31.72,-,60.14,65.0,-
27,臺北市,2007/08/27,陽明,2.3,0.12,387.99,20.7,43,12,8.0,5.52,1.73,3.79,-,-,-,-,-,23.33,-,84.91,72.0,-
28,臺北市,2007/08/27,士林,2.7,0.36,-,27.4,67,38,17.0,17.87,6.51,11.36,-,-,-,-,-,30.25,-,64.44,112.0,-
29,臺北市,2007/08/27,松山,2.1,0.45,390.97,12.0,23,23,16.0,23.24,12.7,10.55,2.101,0.207,1.89,-,-,30.37,-,63.93,24.0,-
30,臺北市,2007/08/27,古亭,3.1,0.46,-,14.9,35,39,19.0,24.84,12.92,11.92,1.945,0.159,1.79,-,-,30.89,-,65.99,54.0,-
31,臺北市,2007/08/26,松山,2.0,0.35,381.59,13.2,19,18,15.0,19.26,9.03,10.23,1.969,0.138,1.83,-,-,28.82,-,72.37,19.0,-
32,臺北市,2007/08/26,古亭,2.1,0.4,-,11.1,18,26,14.0,23.13,10.97,12.17,1.921,0.118,1.8,-,-,29.3,-,75.38,26.0,-
33,臺北市,2007/08/26,萬華,1.5,0.52,-,13.8,26,24,14.0,23.68,9.69,13.99,-,-,-,-,-,30.15,-,69.06,36.0,-
34,臺北市,2007/08/26,士林,2.1,0.31,-,15.2,24,32,12.0,15.82,4.45,11.36,-,-,-,-,-,28.87,-,72.49,32.0,-
35,臺北市,2007/08/26,陽明,1.8,0.14,385.42,25.6,32,12,8.0,4.35,1.62,2.73,-,-,-,-,-,22.37,-,89.12,37.0,-
36,臺北市,2007/08/26,中山,2.9,0.51,-,10.2,17,27,18.0,29.1,13.13,15.97,2.119,0.171,1.95,-,-,29.78,-,78.33,27.0,-
37,臺北市,2007/08/25,士林,4.2,0.39,-,8.2,13,32,12.0,23.43,12.53,10.91,-,-,-,-,-,28.81,-,78.54,32.0,-
38,臺北市,2007/08/25,古亭,3.5,0.55,-,7.0,12,29,13.0,33.22,20.99,12.23,1.995,0.193,1.8,-,-,29.3,-,81.05,29.0,-
39,臺北市,2007/08/25,松山,5.0,0.38,383.32,10.0,15,24,14.0,24.64,13.78,10.86,2.018,0.169,1.85,-,-,28.74,-,82.03,24.0,-
40,臺北市,2007/08/25,萬華,3.0,0.57,-,7.4,13,27,11.0,28.7,15.38,13.33,-,-,-,-,-,29.78,-,76.64,27.0,-
41,臺北市,2007/08/25,陽明,1.1,0.05,382.79,15.0,16,6,3.0,2.82,2.05,0.73,-,-,-,-,-,22.3,-,93.03,17.0,-
42,臺北市,2007/08/25,中山,5.6,0.57,-,6.8,11,31,15.0,37.65,23.19,14.46,2.144,0.26,1.88,-,-,29.62,-,86.25,31.0,-
43,臺北市,2007/08/24,中山,4.9,0.82,-,12.8,26,40,20.0,47.77,22.82,24.94,2.381,0.395,1.99,-,-,29.65,-,77.4,40.0,-
44,臺北市,2007/08/24,松山,4.7,0.52,395.06,15.8,29,33,21.0,29.1,10.71,18.39,2.114,0.231,1.88,-,-,28.6,-,72.31,36.0,-
45,臺北市,2007/08/24,陽明,1.7,0.08,382.95,24.2,27,10,7.0,2.88,1.36,1.52,-,-,-,-,-,22.28,-,85.55,27.0,-
46,臺北市,2007/08/24,古亭,4.0,0.68,-,12.7,28,41,18.0,37.97,17.88,20.09,2.136,0.254,1.88,-,-,29.03,-,74.11,42.0,-
47,臺北市,2007/08/24,士林,2.8,0.46,-,18.5,34,39,18.0,23.44,7.75,15.7,-,-,-,-,-,28.75,-,70.23,57.0,-
48,臺北市,2007/08/24,萬華,3.6,0.8,-,18.1,39,43,21.0,35.31,13.96,21.35,-,-,-,-,-,29.74,-,67.99,68.0,-
49,臺北市,2007/08/23,中山,4.9,1.3,-,19.4,47,52,28.0,78.18,39.5,38.68,2.817,0.663,2.15,-,-,28.51,-,84.99,63.0,-
50,臺北市,2007/08/23,松山,4.8,0.91,412.61,25.0,59,43,31.0,53.23,20.4,32.83,2.512,0.47,2.04,-,-,27.48,-,80.43,82.0,-
51,臺北市,2007/08/23,陽明,2.3,0.16,386.92,42.6,56,18,13.0,3.66,1.0,2.64,-,-,-,-,-,22.17,-,88.06,57.0,-
52,臺北市,2007/08/23,士林,2.9,0.73,-,26.8,62,49,23.0,36.81,13.01,23.81,-,-,-,-,-,27.62,-,79.07,74.0,-
53,臺北市,2007/08/23,萬華,4.7,1.02,-,32.9,65,44,26.0,45.22,14.21,31.01,-,-,-,-,-,28.28,-,77.76,88.0,-
54,臺北市,2007/08/23,古亭,6.0,1.03,-,25.1,75,49,25.0,52.04,21.5,30.54,2.39,0.425,1.97,-,-,27.59,-,83.44,83.0,-
55,臺北市,2007/08/22,中山,4.5,1.14,-,17.3,54,50,24.0,64.51,32.43,32.08,2.615,0.527,2.09,-,-,28.36,-,84.11,57.0,-
56,臺北市,2007/08/22,松山,4.6,0.86,409.7,16.6,34,40,28.0,50.88,21.3,29.58,2.423,0.395,2.03,-,-,27.37,-,81.61,40.0,-
57,臺北市,2007/08/22,陽明,3.1,0.17,388.15,39.0,54,22,15.0,5.16,0.64,4.48,-,-,-,-,-,22.08,-,88.82,64.0,-
58,臺北市,2007/08/22,士林,2.7,0.7,-,24.3,55,49,20.0,32.97,9.68,23.3,-,-,-,-,-,27.5,-,78.93,72.0,-
59,臺北市,2007/08/22,萬華,3.0,0.95,-,21.0,46,41,19.0,42.04,14.68,27.36,-,-,-,-,-,28.38,-,77.0,72.0,-
60,臺北市,2007/08/22,古亭,2.7,0.87,-,12.3,28,45,19.0,47.34,20.47,26.86,2.221,0.331,1.89,-,-,26.96,-,84.81,45.0,-
61,臺北市,2007/08/21,松山,4.0,0.97,416.87,23.3,56,42,28.0,54.0,24.12,29.88,2.545,0.441,2.1,-,-,27.53,-,80.63,106.0,-
62,臺北市,2007/08/21,古亭,3.9,0.91,-,28.0,72,48,-,43.31,16.74,26.57,2.274,0.363,1.91,-,-,27.1,-,81.0,142.0,-
63,臺北市,2007/08/21,陽明,2.7,0.2,385.9,41.5,64,22,17.0,4.41,1.01,3.4,-,-,-,-,-,22.4,-,86.96,76.0,-
64,臺北市,2007/08/21,士林,4.3,0.7,-,33.6,81,51,23.0,33.85,10.93,22.92,-,-,-,-,-,28.02,-,76.25,129.0,-
65,臺北市,2007/08/21,萬華,4.3,1.02,-,31.9,77,50,30.0,43.31,13.97,29.33,-,-,-,-,-,28.92,-,73.25,128.0,-
66,臺北市,2007/08/21,中山,4.9,1.09,-,30.3,67,51,28.0,58.71,25.19,33.52,2.606,0.503,2.1,-,-,28.76,-,83.51,147.0,-
67,臺北市,2007/08/20,松山,4.3,0.83,407.05,10.6,18,31,21.0,46.34,23.81,22.54,2.483,0.387,2.1,-,-,27.88,-,82.37,31.0,-
68,臺北市,2007/08/20,古亭,5.0,1.01,-,8.0,14,41,24.0,52.98,27.01,25.97,2.344,0.416,1.93,-,-,27.13,-,85.84,41.0,-
69,臺北市,2007/08/20,陽明,2.9,0.19,387.81,27.2,31,15,12.0,4.05,0.92,3.13,-,-,-,-,-,22.16,-,88.9,28.0,-
70,臺北市,2007/08/20,士林,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,42.0,-
71,臺北市,2007/08/20,萬華,5.2,1.18,-,10.3,20,36,18.0,50.48,23.96,26.53,-,-,-,-,-,28.74,-,79.09,36.0,-
72,臺北市,2007/08/20,中山,6.3,1.36,-,-,10,46,24.0,74.07,41.27,32.79,-,-,-,-,-,28.81,-,85.47,46.0,-
73,臺北市,2007/08/19,松山,3.4,0.74,395.4,16.4,24,28,20.0,41.29,17.24,24.05,2.379,0.348,2.03,-,-,28.26,-,81.62,29.0,-
74,臺北市,2007/08/19,古亭,4.5,0.95,-,14.6,27,40,23.0,50.34,20.54,29.8,2.42,0.419,2.0,-,-,27.32,-,87.29,40.0,-
