序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2013/04/30,松山,2.2,0.64,439.92,29.9,57,30,29.0,29.14,6.22,22.92,2.28,0.256,2.03,26.29,68.69,54.0
2,臺北市,2013/04/30,古亭,2.8,0.61,-,27.6,51,48,28.0,28.28,7.65,20.63,2.068,0.206,1.86,26.34,70.86,55.0
3,臺北市,2013/04/30,中山,3.1,1.04,-,21.1,37,57,-,46.89,16.86,30.03,2.378,0.362,2.02,27.35,68.07,54.0
4,臺北市,2013/04/30,大同,3.4,1.73,-,-,-,47,30.0,63.17,30.09,33.09,2.642,0.563,2.08,-,-,47.0
5,臺北市,2013/04/30,萬華,3.3,0.67,-,24.0,45,38,25.0,27.65,6.18,21.47,-,-,-,26.84,69.83,43.0
6,臺北市,2013/04/30,陽明,1.9,0.23,411.76,42.6,47,21,17.0,4.68,0.61,4.02,-,-,-,19.56,91.34,48.0
7,臺北市,2013/04/30,士林,3.1,0.54,-,27.5,53,19,-,21.22,3.68,17.53,-,-,-,26.39,75.86,50.0
8,臺北市,2013/04/29,松山,2.6,0.94,449.03,27.6,65,35,34.0,46.37,13.95,32.42,2.561,0.363,2.2,24.88,71.24,73.0
9,臺北市,2013/04/29,古亭,2.2,0.82,-,13.6,23,45,27.0,38.81,10.49,28.31,2.198,0.28,1.92,25.3,70.39,45.0
10,臺北市,2013/04/29,中山,4.0,1.16,-,25.3,59,61,29.0,53.52,19.3,34.22,2.562,0.399,2.16,26.05,68.58,62.0
11,臺北市,2013/04/29,大同,3.3,2.14,-,-,-,43,29.0,78.85,41.66,37.18,3.044,0.714,2.33,-,-,43.0
12,臺北市,2013/04/29,萬華,2.4,0.88,-,26.1,61,28,25.0,35.67,6.82,28.84,-,-,-,25.86,68.17,64.0
13,臺北市,2013/04/29,陽明,1.8,0.26,408.07,50.0,60,18,17.0,4.26,0.66,3.56,-,-,-,19.3,92.86,56.0
14,臺北市,2013/04/29,士林,2.3,0.64,-,28.1,64,19,23.0,22.7,4.02,18.66,-,-,-,24.86,78.87,61.0
15,臺北市,2013/04/28,松山,0.7,0.67,433.31,26.7,33,25,30.0,32.97,8.14,24.83,2.275,0.207,2.07,22.51,73.12,41.0
16,臺北市,2013/04/28,古亭,1.3,0.8,-,20.0,25,42,29.0,38.11,9.1,29.0,2.209,0.236,1.97,22.68,75.6,42.0
17,臺北市,2013/04/28,中山,2.3,1.01,-,18.4,26,57,30.0,52.13,17.6,34.53,2.403,0.296,2.11,23.41,72.42,54.0
18,臺北市,2013/04/28,大同,2.9,1.88,-,-,-,51,31.0,98.23,54.27,43.97,2.833,0.622,2.21,-,-,50.0
19,臺北市,2013/04/28,萬華,1.0,0.86,-,17.3,23,35,26.0,42.22,8.8,33.42,-,-,-,23.33,72.32,35.0
20,臺北市,2013/04/28,陽明,0.9,0.27,410.86,48.5,50,15,14.0,3.92,1.08,2.84,-,-,-,16.89,94.96,47.0
21,臺北市,2013/04/28,士林,1.7,0.61,-,25.6,35,18,23.0,26.55,2.49,24.05,-,-,-,22.52,79.32,43.0
22,臺北市,2013/04/27,松山,2.8,0.45,417.25,60.6,70,49,46.0,16.7,1.61,15.08,2.004,0.084,1.92,20.6,73.78,65.0
23,臺北市,2013/04/27,古亭,1.3,0.48,-,56.3,69,54,38.0,18.71,2.53,16.18,1.976,0.147,1.83,20.93,74.98,63.0
24,臺北市,2013/04/27,中山,1.2,1.29,-,47.2,64,77,39.0,31.14,4.36,26.79,2.14,0.168,1.97,21.44,74.58,64.0
25,臺北市,2013/04/27,大同,2.3,1.31,-,-,-,66,43.0,72.05,29.25,42.8,2.437,0.416,2.02,-,-,58.0
26,臺北市,2013/04/27,萬華,1.8,0.54,-,43.9,58,46,37.0,29.05,4.07,24.98,-,-,-,21.34,73.78,54.0
27,臺北市,2013/04/27,陽明,1.7,0.27,410.25,65.8,79,25,22.0,2.63,0.74,1.88,-,-,-,14.44,97.77,68.0
28,臺北市,2013/04/27,士林,1.4,0.41,-,61.6,76,31,34.0,11.53,0.75,10.75,-,-,-,20.89,77.62,68.0
29,臺北市,2013/04/26,松山,3.2,0.65,431.35,46.6,66,98,59.0,24.62,1.94,22.67,2.169,0.163,2.01,21.88,67.07,74.0
30,臺北市,2013/04/26,古亭,2.9,0.64,-,48.7,69,98,50.0,24.2,4.69,19.51,2.069,0.145,1.92,22.12,65.28,74.0
31,臺北市,2013/04/26,中山,3.7,0.5,-,37.8,50,126,54.0,36.04,4.86,31.18,2.301,0.24,2.06,22.72,67.66,88.0
32,臺北市,2013/04/26,大同,4.6,1.77,-,-,-,105,56.0,84.99,38.17,46.82,2.7,0.584,2.12,-,-,78.0
33,臺北市,2013/04/26,萬華,4.1,0.72,-,37.4,50,94,51.0,34.39,4.37,30.02,-,-,-,22.59,65.1,72.0
34,臺北市,2013/04/26,陽明,3.9,0.33,413.41,78.5,83,71,44.0,3.76,0.9,2.86,-,-,-,15.13,79.08,72.0
35,臺北市,2013/04/26,士林,4.0,0.52,-,57.1,74,82,56.0,15.67,1.77,13.9,-,-,-,21.91,71.9,69.0
36,臺北市,2013/04/25,松山,2.8,0.79,438.03,23.1,29,42,44.0,30.72,4.43,26.29,2.235,0.211,2.02,21.59,86.56,42.0
37,臺北市,2013/04/25,古亭,1.7,0.87,-,19.9,27,52,36.0,35.42,8.06,27.36,2.283,0.227,2.06,21.8,92.03,51.0
38,臺北市,2013/04/25,中山,1.7,1.02,-,15.0,20,72,32.0,43.82,9.13,34.69,2.411,0.306,2.11,22.44,87.05,61.0
39,臺北市,2013/04/25,大同,3.9,2.68,-,-,-,63,45.0,105.37,61.4,43.98,3.102,0.859,2.24,-,-,56.0
40,臺北市,2013/04/25,萬華,2.3,0.97,-,13.7,18,49,36.0,41.31,6.53,34.78,-,-,-,22.33,87.63,49.0
41,臺北市,2013/04/25,陽明,1.6,0.35,418.78,43.0,57,13,9.0,3.46,1.2,2.26,-,-,-,16.3,97.69,66.0
42,臺北市,2013/04/25,士林,1.3,0.77,-,18.9,26,28,30.0,27.26,2.52,24.74,-,-,-,21.83,91.34,28.0
43,臺北市,2013/04/24,松山,2.4,0.84,445.39,25.6,41,72,65.0,34.25,5.52,28.73,2.344,0.278,2.07,24.27,79.01,61.0
44,臺北市,2013/04/24,古亭,3.2,0.88,-,21.7,39,74,55.0,35.92,7.66,28.27,2.303,0.295,2.01,24.13,82.88,62.0
45,臺北市,2013/04/24,中山,2.3,1.12,-,15.9,30,97,38.0,46.53,14.74,31.79,2.541,0.389,2.15,25.13,78.95,74.0
46,臺北市,2013/04/24,大同,3.8,2.09,-,-,-,81,54.0,72.15,34.05,38.1,2.991,0.698,2.29,-,-,66.0
47,臺北市,2013/04/24,萬華,3.5,0.91,-,17.8,29,68,50.0,35.46,5.85,29.61,-,-,-,24.64,80.87,59.0
48,臺北市,2013/04/24,陽明,1.3,0.25,412.62,49.7,61,24,17.0,4.16,1.25,2.91,-,-,-,19.1,91.23,66.0
49,臺北市,2013/04/24,士林,5.0,0.87,-,25.6,40,59,53.0,34.73,9.77,24.96,-,-,-,24.11,85.48,54.0
50,臺北市,2013/04/23,松山,4.0,1.09,448.77,29.8,67,60,55.0,52.1,13.55,38.55,2.548,0.449,2.1,24.12,71.76,74.0
51,臺北市,2013/04/23,古亭,4.2,1.06,-,28.9,62,71,48.0,47.05,11.25,35.8,2.433,0.404,2.03,24.14,74.92,64.0
52,臺北市,2013/04/23,中山,5.9,1.3,-,22.0,46,91,41.0,61.69,20.4,41.29,2.619,0.475,2.14,24.81,73.0,70.0
53,臺北市,2013/04/23,大同,6.6,2.59,-,-,-,83,53.0,96.9,49.37,47.53,3.303,0.925,2.38,-,-,66.0
54,臺北市,2013/04/23,萬華,5.2,1.15,-,22.4,50,62,47.0,50.05,10.9,39.16,-,-,-,24.46,74.48,56.0
55,臺北市,2013/04/23,陽明,1.0,0.3,413.2,54.7,77,27,22.0,4.85,1.19,3.65,-,-,-,18.72,90.06,77.0
56,臺北市,2013/04/23,士林,4.4,0.8,-,29.7,62,40,40.0,34.25,6.0,28.25,-,-,-,24.17,77.7,62.0
57,臺北市,2013/04/22,松山,2.2,0.55,420.57,36.2,49,56,39.0,27.77,4.57,23.2,2.089,0.159,1.93,19.55,69.33,53.0
58,臺北市,2013/04/22,古亭,1.5,0.55,-,38.3,52,58,34.0,24.22,3.97,20.25,2.041,0.135,1.91,19.99,69.64,54.0
59,臺北市,2013/04/22,中山,2.9,0.81,-,28.0,42,74,32.0,43.66,13.12,30.53,2.189,0.234,1.96,20.43,68.8,62.0
60,臺北市,2013/04/22,大同,3.6,1.46,-,-,-,68,35.0,77.3,39.85,37.46,2.502,0.489,2.01,-,-,59.0
61,臺北市,2013/04/22,萬華,2.7,0.73,-,27.7,43,53,32.0,41.31,12.7,28.61,-,-,-,20.15,69.47,52.0
62,臺北市,2013/04/22,陽明,0.6,0.27,408.52,52.5,58,19,13.0,2.15,0.37,1.75,-,-,-,12.56,98.73,49.0
63,臺北市,2013/04/22,士林,1.4,0.39,-,46.0,55,40,25.0,13.23,2.14,11.09,-,-,-,20.28,71.46,48.0
64,臺北市,2013/04/21,松山,1.5,0.37,417.95,43.8,54,27,27.0,17.47,2.35,15.11,1.98,0.072,1.91,16.34,80.32,47.0
65,臺北市,2013/04/21,古亭,1.3,0.38,-,43.8,50,33,19.0,16.54,2.43,14.11,1.969,0.066,1.9,16.64,83.39,44.0
66,臺北市,2013/04/21,中山,1.0,0.51,-,35.1,46,50,23.0,26.43,4.26,22.18,2.052,0.127,1.93,17.35,78.71,50.0
67,臺北市,2013/04/21,大同,2.6,0.89,-,-,-,41,20.0,53.99,22.03,31.96,2.234,0.254,1.98,-,-,41.0
68,臺北市,2013/04/21,萬華,1.5,0.41,-,34.3,45,26,20.0,24.11,3.6,20.51,-,-,-,17.15,78.61,40.0
69,臺北市,2013/04/21,陽明,0.5,0.25,410.0,54.1,56,7,3.0,-,-,-,-,-,-,9.98,100.0,48.0
70,臺北市,2013/04/21,士林,1.4,0.33,-,47.3,50,19,14.0,9.62,1.18,8.43,-,-,-,16.92,79.89,45.0
71,臺北市,2013/04/20,松山,2.3,0.65,430.53,34.9,41,67,51.0,30.7,4.82,25.88,2.244,0.209,2.04,21.34,85.33,58.0
72,臺北市,2013/04/20,古亭,2.4,0.72,-,33.1,36,69,48.0,32.83,6.01,26.82,2.294,0.249,2.04,21.67,88.9,60.0
73,臺北市,2013/04/20,中山,2.7,0.87,-,27.2,37,92,40.0,40.77,8.97,31.8,2.373,0.291,2.08,22.18,85.58,71.0
74,臺北市,2013/04/20,大同,3.6,1.47,-,-,-,74,49.0,64.95,24.32,40.63,2.68,0.479,2.2,-,-,62.0
75,臺北市,2013/04/20,萬華,2.7,0.8,-,26.2,32,58,46.0,36.51,5.42,31.09,-,-,-,21.94,86.52,54.0
76,臺北市,2013/04/20,陽明,1.4,0.27,412.48,41.7,48,14,11.0,3.82,0.47,3.3,-,-,-,16.58,100.0,47.0
77,臺北市,2013/04/20,士林,2.3,0.57,-,28.5,35,44,39.0,25.68,2.38,23.29,-,-,-,21.8,88.57,44.0
78,臺北市,2013/04/19,松山,2.1,0.47,416.8,44.3,51,50,38.0,20.97,2.17,18.8,2.02,0.118,1.9,21.11,85.33,50.0
79,臺北市,2013/04/19,古亭,2.0,0.55,-,40.2,44,54,39.0,24.27,3.07,21.2,2.031,0.122,1.91,21.56,88.13,52.0
80,臺北市,2013/04/19,中山,0.9,0.69,-,34.8,36,56,34.0,30.62,4.99,25.63,2.106,0.176,1.93,22.3,82.44,53.0
81,臺北市,2013/04/19,大同,2.4,1.47,-,-,-,55,35.0,68.32,29.31,39.01,2.48,0.481,2.0,-,-,52.0
82,臺北市,2013/04/19,萬華,1.8,0.55,-,35.1,37,44,30.0,28.0,4.42,23.58,-,-,-,22.07,83.92,44.0
83,臺北市,2013/04/19,陽明,1.2,0.28,407.23,55.4,61,8,7.0,2.28,0.66,1.62,-,-,-,15.9,100.0,56.0
84,臺北市,2013/04/19,士林,2.4,0.46,-,40.8,51,28,27.0,14.04,1.1,12.92,-,-,-,22.17,83.93,45.0
85,臺北市,2013/04/18,松山,4.1,0.99,447.61,17.1,32,55,25.0,45.59,14.78,30.81,2.539,0.387,2.15,26.02,74.72,52.0
86,臺北市,2013/04/18,古亭,3.1,1.01,-,17.6,36,57,40.0,40.85,13.28,27.57,2.463,0.36,2.1,26.21,76.34,54.0
87,臺北市,2013/04/18,中山,3.3,1.31,-,12.9,24,74,50.0,54.46,19.72,34.74,2.63,0.478,2.15,27.07,74.06,62.0
88,臺北市,2013/04/18,大同,5.2,2.27,-,-,-,66,42.0,74.55,38.51,36.04,3.074,0.773,2.3,-,-,58.0
89,臺北市,2013/04/18,萬華,3.7,1.06,-,15.1,35,48,38.0,41.51,11.97,29.54,-,-,-,26.67,75.7,48.0
90,臺北市,2013/04/18,陽明,0.9,0.35,410.73,33.2,41,22,17.0,6.46,0.64,5.8,-,-,-,19.72,98.05,40.0
91,臺北市,2013/04/18,士林,4.5,0.69,-,21.4,34,39,36.0,27.15,6.41,20.74,-,-,-,26.39,80.0,39.0
92,臺北市,2013/04/17,松山,3.3,1.0,445.06,18.3,43,55,28.0,44.94,13.02,31.91,2.523,0.386,2.14,25.81,69.7,52.0
93,臺北市,2013/04/17,古亭,3.1,0.95,-,18.4,41,56,38.0,40.26,12.07,28.19,2.442,0.337,2.11,26.13,70.47,53.0
94,臺北市,2013/04/17,中山,3.2,1.43,-,10.6,26,79,51.0,67.84,28.65,39.18,2.786,0.54,2.25,26.89,69.34,64.0
95,臺北市,2013/04/17,大同,5.3,2.66,-,-,-,76,47.0,89.19,49.59,39.59,3.329,0.933,2.4,-,-,63.0
96,臺北市,2013/04/17,萬華,3.7,1.07,-,15.6,38,55,39.0,42.02,12.42,29.59,-,-,-,26.49,70.96,52.0
97,臺北市,2013/04/17,陽明,1.9,0.39,411.01,43.9,47,28,24.0,7.34,1.62,5.72,-,-,-,19.65,90.46,43.0
98,臺北市,2013/04/17,士林,4.1,0.86,-,20.0,41,52,38.0,34.71,7.76,26.95,-,-,-,25.95,76.57,51.0
99,臺北市,2013/04/16,松山,5.1,0.87,442.06,28.1,67,54,29.0,43.04,10.01,33.04,2.523,0.333,2.19,23.35,71.96,64.0
100,臺北市,2013/04/16,古亭,3.4,0.82,-,27.4,61,61,-,39.28,8.06,31.22,2.348,0.287,2.06,23.56,73.11,63.0
101,臺北市,2013/04/16,中山,4.2,1.09,-,22.5,48,80,50.0,54.4,17.2,37.2,2.513,0.392,2.12,24.38,70.59,65.0
102,臺北市,2013/04/16,大同,4.5,1.97,-,-,-,74,44.0,81.04,39.51,41.53,2.851,0.662,2.19,-,-,62.0
103,臺北市,2013/04/16,萬華,4.5,0.97,-,23.1,49,56,41.0,44.86,10.85,34.01,-,-,-,24.2,71.62,53.0
104,臺北市,2013/04/16,陽明,2.2,0.38,416.38,55.9,68,38,32.0,7.59,1.35,6.22,-,-,-,17.93,94.94,60.0
105,臺北市,2013/04/16,士林,3.6,0.57,-,34.3,60,50,35.0,23.31,2.84,20.47,-,-,-,23.73,76.96,59.0
106,臺北市,2013/04/15,松山,2.7,0.57,421.92,34.9,54,38,17.0,29.1,7.44,21.66,2.136,0.171,1.97,22.0,64.29,54.0
107,臺北市,2013/04/15,古亭,1.8,0.68,-,32.8,52,47,-,31.93,7.73,24.2,2.218,0.2,2.02,22.9,64.15,60.0
108,臺北市,2013/04/15,中山,2.5,0.93,-,24.2,45,56,33.0,49.9,15.51,34.4,2.413,0.311,2.1,23.17,64.2,53.0
109,臺北市,2013/04/15,大同,3.3,1.7,-,-,-,53,31.0,89.82,45.31,44.51,2.795,0.629,2.17,-,-,52.0
110,臺北市,2013/04/15,萬華,2.5,0.77,-,27.3,46,43,25.0,43.14,12.5,30.64,-,-,-,23.42,61.52,60.0
111,臺北市,2013/04/15,陽明,2.2,0.21,402.41,60.2,67,28,19.0,2.5,0.6,1.86,-,-,-,17.25,68.16,61.0
112,臺北市,2013/04/15,士林,2.5,0.5,-,37.7,60,37,23.0,21.85,3.16,18.7,-,-,-,22.79,66.99,65.0
113,臺北市,2013/04/14,松山,2.1,1.05,447.54,17.2,36,33,20.0,59.28,21.43,37.86,2.592,0.388,2.2,18.08,86.2,36.0
114,臺北市,2013/04/14,古亭,2.8,1.2,-,15.4,33,46,35.0,65.07,27.4,37.68,2.738,0.454,2.28,18.15,92.01,46.0
115,臺北市,2013/04/14,中山,3.0,1.38,-,13.6,28,52,37.0,87.65,44.02,43.63,2.779,0.478,2.3,18.7,87.55,51.0
