序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2001/08/31,松山,3.2,1.27,8.2,-,41,-,-,-,-,-,-,-,26.75,-,-,42.0,-
2,臺北市,2001/08/31,古亭,3.2,1.29,7.8,-,32,18,61.09,29.05,32.04,2.656,0.65,2.0,27.92,-,-,32.0,-
3,臺北市,2001/08/31,中山,3.4,1.39,9.0,-,42,-,68.18,33.26,34.92,3.159,0.62,2.54,27.43,-,-,42.0,-
4,臺北市,2001/08/31,大同,6.3,2.7,-,-,43,-,127.24,84.82,42.42,4.008,1.32,2.69,27.47,-,-,43.0,-
5,臺北市,2001/08/31,萬華,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,臺北市,2001/08/31,陽明,1.6,0.26,22.6,-,12,-,8.41,0.41,8.0,-,-,-,21.62,-,95.0,28.0,-
7,臺北市,2001/08/31,士林,0.8,1.05,7.3,-,29,-,42.87,13.52,29.35,-,-,-,25.64,-,-,29.0,-
8,臺北市,2001/08/30,松山,2.9,0.89,15.4,-,30,-,-,-,-,-,-,-,27.89,-,-,45.0,-
9,臺北市,2001/08/30,古亭,2.2,0.98,15.7,-,23,17,47.83,17.56,30.27,2.355,0.44,1.91,28.65,-,-,59.0,-
10,臺北市,2001/08/30,中山,3.3,1.17,13.7,-,32,-,55.83,20.82,35.01,2.835,0.46,2.37,28.26,-,-,36.0,-
11,臺北市,2001/08/30,大同,5.5,2.75,-,-,51,-,121.09,77.03,44.06,3.769,1.31,2.46,28.37,-,-,52.0,-
12,臺北市,2001/08/30,萬華,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,臺北市,2001/08/30,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90.0,-,-
14,臺北市,2001/08/30,士林,1.3,0.8,14.0,-,27,-,34.38,7.38,27.0,-,-,-,26.79,-,-,43.0,-
