序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2011/06/30,松山,5.3,0.58,424.91,26.7,59,35,29.0,31.99,9.01,22.98,2.129,0.216,1.91,28.79,70.66,60.0
2,臺北市,2011/06/30,古亭,5.2,0.72,-,28.7,69,50,27.0,34.51,11.3,23.21,2.2,0.316,1.88,28.5,77.51,77.0
3,臺北市,2011/06/30,中山,5.2,0.89,-,19.6,45,48,34.0,47.55,18.91,28.64,2.295,0.376,1.92,29.23,72.2,49.0
4,臺北市,2011/06/30,大同,5.4,2.1,-,-,-,41,32.0,81.45,49.12,32.33,2.966,0.816,2.15,-,-,41.0
5,臺北市,2011/06/30,萬華,3.5,0.8,-,19.0,46,42,24.0,40.67,12.55,28.12,-,-,-,28.68,73.09,51.0
6,臺北市,2011/06/30,陽明,3.3,0.1,393.23,30.3,46,18,14.0,4.3,1.16,3.14,-,-,-,21.91,93.44,49.0
7,臺北市,2011/06/30,士林,3.8,0.56,-,22.5,48,43,19.0,28.1,9.66,18.44,-,-,-,28.85,71.84,52.0
8,臺北市,2011/06/29,松山,2.1,0.58,420.32,10.1,21,23,19.0,34.79,12.6,22.19,2.15,0.233,1.92,27.25,76.89,26.0
9,臺北市,2011/06/29,古亭,3.1,0.72,-,14.3,30,35,18.0,38.51,15.39,23.12,2.159,0.262,1.9,26.94,84.25,41.0
10,臺北市,2011/06/29,中山,2.9,1.08,-,12.3,30,37,28.0,60.27,27.57,32.7,2.403,0.436,1.97,27.45,81.18,58.0
11,臺北市,2011/06/29,大同,4.7,2.3,-,-,-,38,24.0,104.4,67.59,36.81,3.104,0.873,2.23,-,-,39.0
12,臺北市,2011/06/29,萬華,1.9,0.93,-,14.2,35,25,17.0,45.54,15.98,29.57,-,-,-,27.08,80.33,64.0
13,臺北市,2011/06/29,陽明,0.6,0.09,388.63,28.0,35,12,8.0,2.4,1.0,1.38,-,-,-,20.99,96.75,32.0
14,臺北市,2011/06/29,士林,2.9,0.66,-,15.9,37,34,14.0,34.37,10.82,23.55,-,-,-,26.83,80.06,60.0
15,臺北市,2011/06/28,松山,2.9,0.51,411.69,13.7,25,19,16.0,32.82,10.35,22.47,2.096,0.207,1.89,27.89,74.98,26.0
