序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2001/01/31,松山,1.6,0.94,15.1,-,56,-,64.51,26.76,37.75,-,-,-,18.09,-,-,53.0,-
2,臺北市,2001/01/31,古亭,1.1,1.11,14.8,-,39,17,59.06,26.52,32.54,2.572,0.51,2.06,19.02,-,-,39.0,-
3,臺北市,2001/01/31,中山,1.8,1.18,13.3,-,55,-,60.91,24.89,36.02,3.043,0.54,2.5,18.26,-,-,53.0,-
4,臺北市,2001/01/31,大同,2.9,2.25,-,-,64,-,111.91,72.02,39.9,3.496,1.12,2.38,18.41,-,-,57.0,-
5,臺北市,2001/01/31,萬華,1.0,0.99,16.1,-,39,-,40.75,11.8,28.95,-,-,-,18.45,-,-,39.0,-
6,臺北市,2001/01/31,陽明,0.9,0.23,-,-,12,-,2.54,0.49,2.05,-,-,-,13.28,-,96.0,12.0,-
7,臺北市,2001/01/31,士林,1.0,0.89,14.6,-,40,-,42.7,16.02,26.68,-,-,-,17.98,-,-,40.0,-
8,臺北市,2001/01/30,松山,2.6,0.97,12.0,-,45,-,67.62,23.95,43.66,-,-,-,16.35,-,-,45.0,-
9,臺北市,2001/01/30,古亭,2.1,1.07,15.9,-,28,13,63.41,29.16,34.25,2.491,0.48,2.01,16.95,-,-,30.0,-
10,臺北市,2001/01/30,中山,2.0,1.15,13.6,-,42,-,61.03,23.34,37.69,2.794,0.5,2.3,16.8,-,-,42.0,-
11,臺北市,2001/01/30,大同,3.7,3.36,-,-,57,-,165.86,119.78,46.08,4.064,1.74,2.32,17.33,-,-,63.0,-
12,臺北市,2001/01/30,萬華,1.9,0.99,17.2,-,33,-,41.4,11.11,30.29,-,-,-,16.56,-,-,33.0,-
13,臺北市,2001/01/30,陽明,0.3,0.22,-,-,12,-,1.49,0.46,1.03,-,-,-,11.53,-,98.0,12.0,-
14,臺北市,2001/01/30,士林,1.5,0.87,17.5,-,39,-,46.1,17.22,28.88,-,-,-,16.97,-,-,39.0,-
