序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2012/11/30,松山,2.9,0.6,415.85,15.8,26,27,15.0,41.06,13.35,27.7,2.076,0.212,1.86,19.24,88.98,28.0
2,臺北市,2012/11/30,古亭,2.5,0.72,-,16.9,31,28,15.0,46.95,19.23,27.72,2.157,0.248,1.91,19.54,91.28,32.0
3,臺北市,2012/11/30,中山,2.8,0.9,-,12.3,25,24,14.0,60.68,27.92,32.76,2.288,0.308,1.98,20.09,88.75,27.0
4,臺北市,2012/11/30,大同,3.8,2.16,-,-,-,42,19.0,123.38,83.69,39.69,2.954,0.818,2.14,-,-,42.0
5,臺北市,2012/11/30,萬華,-,-,-,-,6,20,16.0,-,-,-,-,-,-,20.1,89.11,25.0
6,臺北市,2012/11/30,陽明,1.2,0.2,393.97,40.3,43,5,3.0,2.27,0.27,1.96,-,-,-,14.25,100.0,37.0
7,臺北市,2012/11/30,士林,1.6,0.59,-,17.8,33,31,14.0,40.2,15.89,24.31,-,-,-,19.7,90.82,35.0
8,臺北市,2012/11/29,松山,2.5,0.75,431.1,10.6,16,27,20.0,42.69,16.22,26.46,2.302,0.291,2.01,18.56,86.93,27.0
9,臺北市,2012/11/29,古亭,2.0,0.76,-,12.6,23,31,22.0,41.47,17.63,23.85,2.252,0.265,1.99,18.82,89.68,31.0
10,臺北市,2012/11/29,中山,1.9,1.08,-,6.9,11,30,20.0,63.82,31.84,31.98,2.58,0.414,2.17,19.5,87.35,30.0
11,臺北市,2012/11/29,大同,4.1,2.39,-,-,-,47,26.0,127.57,89.62,37.95,3.316,0.939,2.38,-,-,47.0
12,臺北市,2012/11/29,萬華,2.9,0.98,-,7.1,13,32,21.0,56.62,25.77,30.86,-,-,-,19.39,87.38,32.0
13,臺北市,2012/11/29,陽明,1.3,0.28,399.66,36.4,44,5,3.0,3.39,0.61,2.76,-,-,-,13.53,99.99,38.0
14,臺北市,2012/11/29,士林,1.4,0.61,-,13.4,30,28,16.0,32.02,11.69,20.32,-,-,-,19.15,90.04,29.0
15,臺北市,2012/11/28,松山,3.8,1.43,443.17,8.9,16,49,35.0,81.32,39.39,41.93,2.765,0.603,2.16,19.32,84.75,49.0
16,臺北市,2012/11/28,古亭,5.3,1.51,-,8.9,13,62,40.0,84.72,39.12,45.59,2.899,0.707,2.19,19.46,88.58,56.0
17,臺北市,2012/11/28,中山,3.5,1.7,-,6.7,11,49,33.0,104.14,61.04,43.1,2.962,0.682,2.28,20.22,84.71,49.0
18,臺北市,2012/11/28,大同,6.8,3.1,-,-,-,73,43.0,159.4,109.82,49.58,3.748,1.216,2.53,-,-,62.0
19,臺北市,2012/11/28,萬華,6.4,1.72,-,6.3,10,61,37.0,94.8,46.78,48.02,-,-,-,20.05,85.54,56.0
20,臺北市,2012/11/28,陽明,0.8,0.27,397.81,33.1,37,6,4.0,3.08,1.5,1.58,-,-,-,14.55,99.37,32.0
21,臺北市,2012/11/28,士林,2.4,0.84,-,8.6,14,37,22.0,47.07,19.97,27.1,-,-,-,19.63,88.76,37.0
22,臺北市,2012/11/27,松山,2.9,0.57,414.5,18.6,32,56,34.0,31.24,6.69,24.54,2.031,0.172,1.86,15.28,86.26,53.0
23,臺北市,2012/11/27,古亭,3.3,0.55,-,24.8,32,55,32.0,25.29,5.71,19.58,1.994,0.123,1.87,15.55,88.96,52.0
24,臺北市,2012/11/27,中山,4.2,0.71,-,16.7,27,56,33.0,38.02,11.17,26.85,2.145,0.206,1.94,16.31,84.16,53.0
25,臺北市,2012/11/27,大同,5.1,1.71,-,-,-,69,42.0,94.13,57.05,37.08,2.683,0.612,2.07,-,-,60.0
26,臺北市,2012/11/27,萬華,4.5,0.61,-,16.5,27,51,36.0,34.72,7.81,26.91,-,-,-,16.15,85.0,50.0
27,臺北市,2012/11/27,陽明,1.9,0.31,398.81,40.0,44,15,11.0,3.57,1.24,2.33,-,-,-,9.51,100.0,38.0
28,臺北市,2012/11/27,士林,2.6,0.41,-,30.2,34,45,27.0,13.41,1.85,11.56,-,-,-,16.18,83.72,45.0
29,臺北市,2012/11/26,松山,2.4,0.65,427.44,17.6,22,40,29.0,26.38,5.6,20.78,2.186,0.195,1.99,17.68,84.96,40.0
30,臺北市,2012/11/26,古亭,2.6,0.72,-,15.4,18,45,30.0,31.02,8.91,22.11,2.205,0.201,2.0,17.86,90.48,45.0
31,臺北市,2012/11/26,中山,3.1,0.95,-,9.1,11,53,29.0,48.74,18.19,30.55,2.395,0.286,2.11,18.7,85.12,52.0
32,臺北市,2012/11/26,大同,4.4,1.71,-,-,-,63,38.0,93.95,57.75,36.21,2.86,0.581,2.28,-,-,56.0
33,臺北市,2012/11/26,萬華,3.3,0.79,-,10.6,13,41,30.0,38.7,10.74,27.96,-,-,-,18.46,85.78,41.0
34,臺北市,2012/11/26,陽明,1.6,0.42,410.0,34.7,41,14,10.0,6.18,1.9,4.27,-,-,-,12.21,100.0,41.0
