序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2000/10/31,松山,3.0,0.84,3.0,-,23,-,67.25,45.45,21.8,-,-,-,23.75,-,-,23.0,-
2,臺北市,2000/10/31,古亭,1.9,1.09,2.8,-,16,9,53.57,34.5,19.08,2.379,0.46,1.92,24.04,-,-,18.0,-
3,臺北市,2000/10/31,中山,1.9,1.2,3.7,-,20,-,62.54,40.78,21.76,2.62,0.4,2.23,23.91,-,-,20.0,-
4,臺北市,2000/10/31,大同,8.3,4.45,-,-,42,-,215.41,182.06,33.35,4.448,2.19,2.26,24.1,-,-,84.0,-
5,臺北市,2000/10/31,萬華,2.7,1.73,4.4,-,24,-,71.39,46.72,24.67,-,-,-,23.64,-,-,27.0,-
6,臺北市,2000/10/31,陽明,0.3,0.19,27.8,-,12,-,1.62,0.15,1.48,-,-,-,20.49,-,97.0,37.0,-
7,臺北市,2000/10/31,士林,0.6,0.77,4.1,-,21,-,33.57,16.8,16.78,-,-,-,23.96,-,-,21.0,-
8,臺北市,2000/10/30,松山,4.4,1.04,14.7,-,36,-,47.15,14.49,32.66,-,-,-,19.4,-,-,36.0,-
9,臺北市,2000/10/30,古亭,3.4,0.99,17.1,-,32,20,37.79,12.29,25.5,2.305,0.26,2.04,19.74,-,-,32.0,-
10,臺北市,2000/10/30,中山,2.3,1.29,15.8,-,49,-,48.06,18.61,29.46,2.444,0.36,2.08,20.13,-,-,49.0,-
11,臺北市,2000/10/30,大同,8.2,4.42,-,-,53,-,207.77,158.63,49.14,4.166,1.98,2.18,20.91,-,-,78.0,-
12,臺北市,2000/10/30,萬華,3.4,1.08,18.3,-,32,-,36.57,9.07,27.5,-,-,-,19.87,-,-,32.0,-
13,臺北市,2000/10/30,陽明,0.8,0.5,45.6,-,12,-,1.91,0.3,1.61,-,-,-,15.65,-,100.0,41.0,-
14,臺北市,2000/10/30,士林,1.0,1.03,21.2,-,22,-,29.45,8.96,20.48,-,-,-,20.71,-,-,32.0,-
15,臺北市,2000/10/29,松山,0.6,0.54,24.8,-,18,-,22.78,3.23,19.55,-,-,-,21.72,-,-,24.0,-
16,臺北市,2000/10/29,古亭,0.4,0.56,22.5,-,19,4,25.53,4.91,20.61,2.159,0.17,1.99,22.55,-,-,25.0,-
17,臺北市,2000/10/29,中山,0.9,0.7,17.2,-,22,-,34.4,7.6,26.8,2.148,0.1,2.05,22.51,-,-,22.0,-
18,臺北市,2000/10/29,大同,6.0,3.06,-,-,44,-,165.95,117.69,48.25,3.488,1.25,2.24,23.21,-,-,45.0,-
19,臺北市,2000/10/29,萬華,0.3,0.76,24.2,-,16,-,21.7,1.22,20.47,-,-,-,22.56,-,-,27.0,-
20,臺北市,2000/10/29,陽明,0.3,0.27,49.3,-,12,-,2.17,0.41,1.75,-,-,-,17.36,-,100.0,47.0,-
21,臺北市,2000/10/29,士林,0.3,0.63,21.3,-,21,-,22.27,2.6,19.66,-,-,-,22.66,-,-,30.0,-
22,臺北市,2000/10/28,松山,1.3,0.73,14.7,-,26,-,36.62,9.93,26.7,-,-,-,22.96,-,-,26.0,-
23,臺北市,2000/10/28,古亭,0.7,0.79,13.6,-,20,7,40.59,14.45,26.13,2.286,0.29,2.0,23.7,-,-,20.0,-
24,臺北市,2000/10/28,中山,1.6,1.12,9.2,-,38,-,54.09,20.14,33.95,2.578,0.36,2.22,23.31,-,-,38.0,-
25,臺北市,2000/10/28,大同,8.3,4.08,-,-,55,-,187.94,140.06,47.88,4.627,1.85,2.78,23.94,-,-,65.0,-
26,臺北市,2000/10/28,萬華,0.7,1.03,14.5,-,21,-,33.79,5.44,28.35,-,-,-,23.33,-,-,22.0,-
27,臺北市,2000/10/28,陽明,0.2,0.26,43.7,-,12,-,1.38,0.44,0.95,-,-,-,19.33,-,99.0,39.0,-
28,臺北市,2000/10/28,士林,0.7,1.01,9.3,-,25,-,44.52,12.86,31.66,-,-,-,23.26,-,-,25.0,-
29,臺北市,2000/10/27,松山,1.3,0.66,24.7,-,46,-,32.74,7.25,25.5,-,-,-,22.43,-,-,46.0,-
30,臺北市,2000/10/27,古亭,1.4,0.76,19.6,-,37,6,41.58,13.87,27.7,2.298,0.28,2.02,22.85,-,-,37.0,-
31,臺北市,2000/10/27,中山,0.8,0.67,21.1,-,50,-,33.16,6.28,26.88,2.336,0.19,2.14,22.77,-,-,50.0,-
32,臺北市,2000/10/27,大同,7.2,3.39,-,-,62,-,178.19,131.16,47.02,3.964,1.76,2.2,23.56,-,-,62.0,-
33,臺北市,2000/10/27,萬華,0.9,0.77,23.6,-,40,-,27.75,2.75,25.0,-,-,-,22.79,-,-,40.0,-
34,臺北市,2000/10/27,陽明,0.2,0.18,46.7,-,13,-,1.43,0.29,1.14,-,-,-,16.34,-,93.0,42.0,-
35,臺北市,2000/10/27,士林,1.1,0.57,27.7,-,33,-,22.47,4.08,18.39,-,-,-,22.67,-,-,37.0,-
36,臺北市,2000/10/26,松山,0.9,0.7,21.9,-,44,-,26.91,5.64,21.27,-,-,-,23.22,-,-,44.0,-
37,臺北市,2000/10/26,古亭,0.8,0.89,15.1,-,37,7,39.34,12.89,26.45,2.348,0.29,2.06,23.84,-,-,37.0,-
38,臺北市,2000/10/26,中山,0.6,0.74,17.6,-,42,-,33.23,9.39,23.84,2.386,0.17,2.21,23.55,-,-,42.0,-
39,臺北市,2000/10/26,大同,4.3,2.78,-,-,44,-,134.32,92.41,41.91,3.454,1.27,2.18,24.03,-,-,44.0,-
40,臺北市,2000/10/26,萬華,0.8,0.96,20.3,-,29,-,28.47,3.98,24.5,-,-,-,23.72,-,-,40.0,-
41,臺北市,2000/10/26,陽明,0.2,0.32,44.4,-,14,-,1.03,0.33,0.7,-,-,-,17.1,-,98.0,44.0,-
42,臺北市,2000/10/26,士林,1.0,0.62,23.3,-,29,-,20.96,4.15,16.8,-,-,-,23.43,-,-,30.0,-
43,臺北市,2000/10/25,松山,2.2,1.04,6.5,-,29,-,47.53,20.37,27.16,-,-,-,24.9,-,-,29.0,-
44,臺北市,2000/10/25,古亭,1.8,1.07,5.3,-,28,-,50.08,25.29,24.8,2.591,0.55,2.04,25.64,-,-,28.0,-
45,臺北市,2000/10/25,中山,1.7,0.92,9.6,-,43,-,38.76,15.41,23.34,2.435,0.28,2.16,25.48,-,-,43.0,-
46,臺北市,2000/10/25,大同,3.7,2.23,-,-,-,-,91.09,62.12,28.96,3.2,0.98,2.22,25.93,-,-,36.0,-
47,臺北市,2000/10/25,萬華,1.3,0.87,12.1,-,28,-,27.36,5.3,22.06,-,-,-,25.62,-,-,28.0,-
48,臺北市,2000/10/25,陽明,0.6,0.27,35.3,-,12,-,1.39,0.09,1.3,-,-,-,20.34,-,96.0,41.0,-
49,臺北市,2000/10/25,士林,1.2,0.68,12.1,-,34,-,24.25,7.03,17.22,-,-,-,25.56,-,-,34.0,-
50,臺北市,2000/10/24,松山,6.7,0.74,6.7,-,29,-,39.84,18.31,21.53,-,-,-,27.21,-,-,29.0,-
51,臺北市,2000/10/24,古亭,4.5,0.65,6.4,-,30,-,34.25,15.25,19.0,2.15,0.22,1.93,28.36,-,-,30.0,-
52,臺北市,2000/10/24,中山,7.5,0.6,8.9,-,32,-,30.86,14.57,16.29,2.182,0.16,2.02,27.88,-,-,32.0,-
53,臺北市,2000/10/24,大同,12.6,3.13,-,-,-,-,145.74,113.62,32.11,3.738,1.67,2.07,28.6,-,-,53.0,-
54,臺北市,2000/10/24,萬華,4.9,0.62,9.4,-,22,-,29.12,10.0,19.12,-,-,-,28.19,-,-,22.0,-
55,臺北市,2000/10/24,陽明,2.3,0.19,31.1,-,12,-,3.89,0.64,3.26,-,-,-,21.7,-,89.0,30.0,-
56,臺北市,2000/10/24,士林,3.7,0.46,11.9,-,-,-,16.36,4.73,11.63,-,-,-,28.26,-,-,23.0,-
57,臺北市,2000/10/23,松山,8.4,1.07,23.1,-,61,-,54.93,19.18,35.74,-,-,-,27.45,-,-,80.0,-
58,臺北市,2000/10/23,古亭,7.1,1.04,27.1,-,51,-,50.49,17.88,32.61,2.604,0.53,2.07,28.37,-,-,84.0,-
59,臺北市,2000/10/23,中山,4.6,1.11,24.7,-,70,-,51.24,19.68,31.56,2.952,0.44,2.51,27.66,-,-,60.0,-
60,臺北市,2000/10/23,大同,7.7,2.56,-,-,-,-,111.86,71.03,40.83,3.745,1.31,2.43,28.18,-,-,43.0,-
61,臺北市,2000/10/23,萬華,5.7,0.97,28.4,-,51,-,35.49,7.43,28.07,-,-,-,28.32,-,-,75.0,-
62,臺北市,2000/10/23,陽明,6.1,0.17,42.6,-,17,-,7.66,1.31,6.35,-,-,-,23.31,-,85.0,67.0,-
63,臺北市,2000/10/23,士林,4.6,0.9,22.4,-,56,-,30.88,7.17,23.71,-,-,-,27.37,-,-,53.0,-
64,臺北市,2000/10/22,松山,3.2,0.88,23.9,-,38,-,44.94,20.02,24.92,-,-,-,28.4,-,-,84.0,-
65,臺北市,2000/10/22,古亭,2.6,0.98,35.6,-,50,-,44.97,17.81,27.16,2.493,0.45,2.04,29.0,-,-,89.0,-
66,臺北市,2000/10/22,中山,3.2,1.01,33.6,-,54,-,44.56,15.48,29.09,2.646,0.37,2.28,28.26,-,-,80.0,-
67,臺北市,2000/10/22,大同,5.3,2.24,-,-,-,-,102.05,63.73,38.31,3.297,0.96,2.34,28.8,-,-,32.0,-
68,臺北市,2000/10/22,萬華,2.6,0.94,36.8,-,44,-,32.57,5.64,26.92,-,-,-,28.79,-,-,80.0,-
69,臺北市,2000/10/22,陽明,1.6,0.28,43.0,-,13,-,4.97,0.52,4.44,-,-,-,23.77,-,85.0,71.0,-
70,臺北市,2000/10/22,士林,2.9,0.95,33.0,-,46,-,36.31,13.24,23.07,-,-,-,27.98,-,-,90.0,-
71,臺北市,2000/10/21,松山,1.8,0.77,5.8,-,23,-,41.8,26.85,14.95,-,-,-,27.42,-,-,23.0,-
72,臺北市,2000/10/21,古亭,0.8,0.73,6.1,-,16,-,38.51,26.08,12.43,2.307,0.29,2.02,28.38,-,-,16.0,-
73,臺北市,2000/10/21,中山,1.8,0.72,7.4,-,19,-,37.26,23.36,13.9,2.211,0.26,1.95,27.78,-,-,19.0,-
74,臺北市,2000/10/21,大同,8.1,4.25,-,-,-,-,202.64,173.99,28.65,4.187,2.08,2.1,28.73,-,-,70.0,-
