序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2003/11/30,松山,3.3,0.61,386.28,29.6,-,86,-,18.68,3.47,15.22,-,-,-,15.61,-,-,68.0,-
2,臺北市,2003/11/30,古亭,-,0.22,-,24.5,-,56,54.94,28.06,7.34,20.72,2.586,1.32,1.27,15.64,-,59.39,53.0,-
3,臺北市,2003/11/30,中山,5.0,0.7,-,22.5,-,88,-,38.45,13.05,25.4,2.543,0.41,2.13,18.14,-,58.29,69.0,-
4,臺北市,2003/11/30,大同,4.9,0.72,-,-,-,-,-,46.48,21.74,24.74,2.723,0.24,2.49,16.34,-,-,10.0,-
5,臺北市,2003/11/30,萬華,3.6,0.65,-,22.7,-,83,57.96,34.94,9.83,25.11,-,-,-,16.05,-,7.0,66.0,-
6,臺北市,2003/11/30,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,7.8,-,89.0,-,-
7,臺北市,2003/11/30,士林,3.8,0.64,-,26.3,-,50,-,21.65,3.34,18.32,-,-,-,15.3,-,61.8,50.0,-
8,臺北市,2003/11/29,松山,2.2,0.63,383.36,33.0,-,62,-,13.23,0.39,12.84,-,-,-,16.18,-,-,56.0,-
9,臺北市,2003/11/29,古亭,-,0.34,-,25.1,-,41,48.42,26.16,3.87,22.28,2.646,1.31,1.33,16.62,-,67.15,41.0,-
10,臺北市,2003/11/29,中山,4.0,0.7,-,23.9,-,71,-,37.77,12.93,24.84,2.646,0.51,2.14,19.01,-,65.87,60.0,-
11,臺北市,2003/11/29,大同,3.6,0.82,-,-,-,-,-,37.37,14.21,23.16,2.703,0.25,2.45,17.07,-,-,11.0,-
12,臺北市,2003/11/29,萬華,2.8,0.62,-,23.8,-,62,49.03,33.57,9.6,23.97,-,-,-,16.59,-,10.32,56.0,-
13,臺北市,2003/11/29,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,8.6,-,97.0,-,-
14,臺北市,2003/11/29,士林,2.2,0.62,-,33.1,-,41,-,12.53,0.8,11.73,-,-,-,16.19,-,68.17,41.0,-
15,臺北市,2003/11/28,松山,0.5,0.51,379.0,29.1,-,21,-,16.18,1.94,14.24,-,-,-,18.47,-,-,32.0,-
16,臺北市,2003/11/28,古亭,-,0.8,-,15.0,-,22,18.97,49.07,16.81,32.25,2.77,1.22,1.55,18.77,-,82.97,23.0,-
