序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2009/02/28,松山,2.4,0.38,396.28,24.4,26,19,13.0,21.47,3.64,17.83,1.99,0.093,1.9,17.63,85.13,26.0
2,臺北市,2009/02/28,古亭,2.7,0.42,-,26.9,29,29,14.0,22.86,4.43,18.43,1.962,0.108,1.85,18.35,85.81,29.0
3,臺北市,2009/02/28,中山,2.2,0.45,-,28.1,31,21,18.0,23.05,5.51,17.54,1.987,0.128,1.86,17.77,81.23,28.0
4,臺北市,2009/02/28,萬華,1.9,0.42,-,27.4,31,23,14.0,26.05,6.83,19.22,-,-,-,18.19,83.93,28.0
5,臺北市,2009/02/28,陽明,1.2,0.21,391.15,41.7,43,6,3.0,3.77,1.34,2.43,-,-,-,12.27,93.39,37.0
6,臺北市,2009/02/28,士林,1.5,0.33,-,34.0,37,27,7.0,12.99,2.52,10.46,-,-,-,18.94,74.43,32.0
7,臺北市,2009/02/27,松山,1.9,0.42,397.45,20.9,23,18,10.0,24.04,5.03,19.0,2.032,0.135,1.9,19.03,83.36,22.0
8,臺北市,2009/02/27,古亭,2.1,0.5,-,21.6,24,24,11.0,28.85,7.15,21.71,2.012,0.15,1.86,19.6,84.99,24.0
9,臺北市,2009/02/27,中山,2.2,0.6,-,19.5,21,21,17.0,33.69,9.94,23.76,2.108,0.207,1.9,19.06,80.9,22.0
10,臺北市,2009/02/27,萬華,2.0,0.55,-,21.4,25,26,10.0,31.44,8.68,22.76,-,-,-,19.42,83.22,26.0
11,臺北市,2009/02/27,陽明,1.7,0.2,390.93,31.6,39,7,4.0,-,-,-,-,-,-,14.41,92.47,35.0
12,臺北市,2009/02/27,士林,1.7,0.44,-,20.0,26,34,12.0,20.03,2.87,17.16,-,-,-,19.51,79.77,34.0
13,臺北市,2009/02/26,松山,2.5,0.5,400.52,25.9,29,18,14.0,21.98,3.96,18.01,2.041,0.138,1.9,19.84,83.0,28.0
14,臺北市,2009/02/26,古亭,2.6,0.59,-,25.2,29,26,12.0,26.72,6.51,20.2,2.023,0.141,1.88,20.57,84.64,30.0
15,臺北市,2009/02/26,中山,2.9,0.7,-,20.9,25,27,20.0,32.77,8.26,24.51,2.156,0.214,1.94,19.96,81.36,27.0
16,臺北市,2009/02/26,萬華,2.3,0.62,-,26.3,29,26,14.0,24.75,5.03,19.73,-,-,-,20.35,83.82,31.0
17,臺北市,2009/02/26,陽明,1.6,0.28,392.92,35.9,39,9,6.0,4.77,1.32,3.45,-,-,-,15.59,90.52,33.0
18,臺北市,2009/02/26,士林,1.7,0.54,-,25.0,31,32,12.0,21.1,2.81,18.3,-,-,-,20.4,80.92,32.0
19,臺北市,2009/02/25,松山,4.6,0.93,440.46,23.3,53,68,46.0,51.51,23.11,28.4,2.595,0.411,2.18,23.23,78.84,60.0
20,臺北市,2009/02/25,古亭,4.0,0.92,-,26.7,60,81,54.0,41.86,13.26,28.6,2.353,0.334,2.02,23.86,80.5,75.0
21,臺北市,2009/02/25,中山,4.6,1.1,-,18.3,38,82,52.0,62.5,27.22,35.29,2.59,0.464,2.13,23.41,77.43,66.0
22,臺北市,2009/02/25,萬華,2.8,0.92,-,25.5,53,56,39.0,34.72,7.93,26.79,-,-,-,23.63,79.52,77.0
23,臺北市,2009/02/25,陽明,1.8,0.27,395.55,37.1,48,31,21.0,9.02,2.4,6.62,-,-,-,19.42,84.15,64.0
24,臺北市,2009/02/25,士林,4.0,0.92,-,24.2,40,74,43.0,43.67,17.22,26.44,-,-,-,23.63,77.64,68.0
25,臺北市,2009/02/24,松山,5.3,1.02,426.79,15.5,37,68,42.0,55.11,16.47,38.64,2.571,0.439,2.13,23.47,78.74,60.0
26,臺北市,2009/02/24,古亭,6.1,1.16,-,23.6,60,85,58.0,56.74,15.47,41.27,2.62,0.497,2.12,24.34,79.69,84.0
27,臺北市,2009/02/24,中山,5.2,1.28,-,17.2,39,78,48.0,67.37,24.37,43.0,2.616,0.504,2.11,23.22,78.77,64.0
28,臺北市,2009/02/24,萬華,5.1,1.08,-,20.1,50,78,50.0,52.12,14.29,37.83,-,-,-,23.82,80.68,67.0
29,臺北市,2009/02/24,陽明,3.2,0.41,403.64,55.2,89,37,29.0,11.67,1.76,9.91,-,-,-,19.51,86.41,86.0
