序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2000/04/30,松山,2.2,1.85,6.6,-,51,-,83.88,44.55,39.33,-,-,-,22.42,-,-,50.0,-
2,臺北市,2000/04/30,古亭,2.2,1.41,8.6,-,49,30,57.71,22.7,35.0,2.67,0.55,2.12,22.93,-,-,49.0,-
3,臺北市,2000/04/30,中山,2.4,1.98,5.4,-,71,-,84.92,46.55,38.37,3.514,0.79,2.72,22.95,-,-,60.0,-
4,臺北市,2000/04/30,大同,4.4,3.08,-,-,60,-,157.6,114.16,43.43,4.064,1.39,2.67,23.25,-,-,55.0,-
5,臺北市,2000/04/30,萬華,2.2,1.54,9.7,-,51,-,47.14,14.5,32.64,-,-,-,22.26,-,-,51.0,-
6,臺北市,2000/04/30,陽明,1.0,0.39,34.4,-,12,-,5.29,0.37,4.92,-,-,-,18.42,-,99.0,40.0,-
7,臺北市,2000/04/30,士林,1.8,1.95,11.1,-,54,-,73.84,42.23,31.61,-,-,-,22.36,-,-,52.0,-
8,臺北市,2000/04/29,松山,3.3,2.66,7.8,-,80,-,141.72,66.95,74.78,-,-,-,21.71,-,-,65.0,-
9,臺北市,2000/04/29,古亭,3.1,3.07,10.0,-,109,54,130.68,49.42,81.25,4.013,1.45,2.56,22.3,-,-,80.0,-
10,臺北市,2000/04/29,中山,4.3,3.21,6.7,-,142,-,160.38,77.45,82.93,4.68,1.64,3.04,22.11,-,-,96.0,-
11,臺北市,2000/04/29,大同,7.1,5.22,-,-,130,-,254.77,166.71,88.06,5.693,2.75,2.94,22.53,-,-,90.0,-
12,臺北市,2000/04/29,萬華,5.9,3.65,12.1,-,135,-,141.72,53.53,88.19,-,-,-,21.46,-,-,93.0,-
13,臺北市,2000/04/29,陽明,0.3,0.43,37.6,-,14,-,7.38,0.31,7.06,-,-,-,18.15,-,99.0,44.0,-
14,臺北市,2000/04/29,士林,2.9,1.94,16.5,-,80,-,78.84,26.21,52.63,-,-,-,21.7,-,-,65.0,-
15,臺北市,2000/04/28,松山,1.5,1.05,16.5,-,184,-,63.4,21.11,42.3,-,-,-,18.72,-,-,117.0,-
16,臺北市,2000/04/28,古亭,0.6,1.32,19.3,-,197,34,64.7,28.72,35.98,2.402,0.42,1.98,19.06,-,-,124.0,-
17,臺北市,2000/04/28,中山,1.8,1.32,17.4,-,248,-,63.98,23.39,40.59,2.723,0.5,2.23,19.21,-,-,149.0,-
18,臺北市,2000/04/28,大同,5.6,4.17,-,-,241,-,235.97,175.76,60.21,4.43,2.16,2.27,19.56,-,-,146.0,-
19,臺北市,2000/04/28,萬華,1.4,1.6,17.8,-,199,-,64.11,24.88,39.24,-,-,-,18.52,-,-,124.0,-
20,臺北市,2000/04/28,陽明,0.7,0.3,52.4,-,113,-,2.93,0.07,2.87,-,-,-,13.92,-,96.0,82.0,-
