序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/06/30,松山,3,0.34,433,28.4,34,18,19.28,3.45,15.83,1.884,0.127,1.757,1.78,1.33,29.53,-,-,68.53,-
2,臺北市,2018/06/30,古亭,2.3,0.34,-,29.3,30,14,20.96,4.57,16.39,1.94,0.127,1.813,1.44,1.32,29.32,-,-,67.57,-
3,臺北市,2018/06/30,中山,4.8,0.48,-,22.2,36,21,28.47,7.19,21.28,2.005,0.173,1.831,1.67,1.1,29.71,-,-,72.45,-
4,臺北市,2018/06/30,大同,4.6,1.15,-,-,44,19,58.69,29.79,28.9,2.269,0.344,1.925,-,-,-,-,-,-,-
5,臺北市,2018/06/30,萬華,2.7,0.45,-,23.8,38,22,26.78,7.21,19.57,-,-,-,1.51,1.02,30.06,-,-,69.66,-
6,臺北市,2018/06/30,陽明,2.1,0.11,421.25,32,19,15,4.15,0.8,3.37,-,-,-,1.66,-,22.55,0,0,93.32,0
7,臺北市,2018/06/30,士林,5.4,0.27,-,29.1,30,20,13.32,1.76,11.56,-,-,-,1.8,1.5,29.9,-,-,76.27,-
8,臺北市,2018/06/29,松山,3.4,0.47,438.74,22.9,32,18,27.89,8.39,19.5,1.949,0.171,1.778,1.45,1,29.54,-,-,70.5,-
9,臺北市,2018/06/29,古亭,2.2,0.47,-,20.9,27,10,26.21,8.23,17.98,1.976,0.162,1.815,1.7,1.3,29,-,-,69.95,-
10,臺北市,2018/06/29,中山,2.6,0.53,-,15.9,33,11,29.61,6.94,22.66,2.045,0.204,1.841,1.9,1.42,29.94,-,-,72.7,-
11,臺北市,2018/06/29,大同,3.2,1.87,-,-,47,18,91.1,59.88,31.22,2.515,0.571,1.945,-,-,-,-,-,-,-
12,臺北市,2018/06/29,萬華,2.9,0.5,-,17.1,26,13,26.43,6.61,19.83,-,-,-,1.55,1.23,29.84,-,-,71.58,-
13,臺北市,2018/06/29,陽明,1.8,0.13,421.2,35.4,14,12,4.38,0.97,3.4,-,-,-,1.48,-,23.03,0,0,88.32,0
14,臺北市,2018/06/29,士林,3.1,0.37,-,17.4,28,18,21.58,3.64,17.94,-,-,-,1.64,1.46,30.22,-,-,75.73,-
15,臺北市,2018/06/28,松山,3.3,0.46,434.87,30.6,33,18,25.09,5.4,19.69,1.911,0.159,1.753,1.94,1.36,30.96,-,-,62.77,-
16,臺北市,2018/06/28,古亭,2.3,0.39,-,33.5,29,13,20.34,4.21,16.13,1.911,0.122,1.789,1.84,1.54,30.85,-,-,62.16,-
17,臺北市,2018/06/28,中山,3.2,0.49,-,27.6,32,13,23.93,4.96,18.97,1.998,0.185,1.813,2.07,1.44,31.58,-,-,64.35,-
18,臺北市,2018/06/28,大同,4.5,1.72,-,-,47,18,71.35,38.07,33.28,2.454,0.497,1.957,-,-,-,-,-,-,-
19,臺北市,2018/06/28,萬華,2.2,0.4,-,31.2,-,17,19.51,3.56,15.95,-,-,-,1.77,1.39,31.69,-,-,62.61,-
20,臺北市,2018/06/28,陽明,3.3,0.15,420.04,36.6,15,12,5.77,0.36,5.38,-,-,-,1.99,-,23.46,0,0,85.05,0
21,臺北市,2018/06/28,士林,2.8,0.36,-,28.4,32,16,19.85,2.36,17.48,-,-,-,1.96,1.8,31.58,-,-,68.88,-
22,臺北市,2018/06/27,松山,4.9,0.36,433.47,32.8,34,14,22.8,5.62,17.17,1.871,0.132,1.739,1.6,1.22,30.58,-,-,61,-
23,臺北市,2018/06/27,古亭,3.1,0.31,-,31.4,22,10,18.94,4.68,14.25,1.891,0.1,1.791,1.69,1.4,30.77,-,-,59.17,-
