序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","平均風向 WD_HR (degress)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2008/07/31,萬華,4.0,0.57,-,29.8,56,39,21.0,26.18,5.74,20.45,-,-,-,-,-,30.05,-,70.46,76.0,-
2,臺北市,2008/07/31,士林,4.2,0.55,-,27.0,51,45,15.0,27.63,7.09,20.54,-,-,-,-,-,29.49,-,73.4,50.0,-
3,臺北市,2008/07/31,古亭,3.4,0.68,-,26.5,59,42,23.0,33.36,12.37,20.99,2.161,0.288,1.87,-,-,-,-,-,86.0,-
4,臺北市,2008/07/31,陽明,2.5,0.16,384.81,32.6,44,17,12.0,5.27,1.17,4.11,-,-,-,-,-,23.37,-,79.07,46.0,-
5,臺北市,2008/07/31,松山,4.1,0.66,405.25,23.2,56,37,22.0,32.01,9.17,22.84,2.177,0.323,1.85,-,-,-,-,-,77.0,-
6,臺北市,2008/07/31,中山,5.2,0.87,-,19.9,43,43,29.0,46.87,18.36,28.51,2.326,0.339,1.99,-,-,29.68,-,69.29,53.0,-
7,臺北市,2008/07/30,中山,3.9,1.09,-,13.5,30,40,27.0,62.12,27.82,34.3,2.507,0.418,2.09,-,-,28.68,-,70.85,57.0,-
8,臺北市,2008/07/30,萬華,3.4,0.96,-,26.2,62,35,18.0,38.22,12.96,25.26,-,-,-,-,-,28.94,-,73.2,79.0,-
9,臺北市,2008/07/30,士林,3.2,0.55,-,23.4,44,43,16.0,27.39,6.68,20.71,-,-,-,-,-,28.5,-,74.71,53.0,-
10,臺北市,2008/07/30,古亭,3.1,0.83,-,24.0,56,43,18.0,39.62,13.06,26.55,2.277,0.331,1.95,-,-,-,-,-,82.0,-
11,臺北市,2008/07/30,陽明,2.7,0.16,383.28,32.5,41,15,10.0,4.64,0.57,4.05,-,-,-,-,-,22.55,-,78.9,41.0,-
12,臺北市,2008/07/30,松山,3.5,0.8,408.53,13.8,34,33,19.0,46.87,21.97,24.91,2.453,0.412,2.04,-,-,-,-,-,41.0,-
13,臺北市,2008/07/29,松山,3.1,0.71,395.82,9.9,16,41,18.0,40.74,21.7,19.04,2.218,0.344,1.87,-,-,-,-,-,41.0,-
14,臺北市,2008/07/29,士林,2.1,0.45,-,19.8,28,31,12.0,22.6,6.79,15.73,-,-,-,-,-,28.09,-,76.77,31.0,-
15,臺北市,2008/07/29,萬華,6.0,1.25,-,9.3,15,36,19.0,63.87,36.18,27.69,-,-,-,-,-,28.05,-,84.83,36.0,-
16,臺北市,2008/07/29,古亭,2.8,0.98,-,9.0,14,38,19.0,54.31,29.74,24.58,2.395,0.414,1.98,-,-,-,-,-,38.0,-
17,臺北市,2008/07/29,陽明,1.5,0.13,307.33,25.9,28,7,4.0,3.32,1.18,2.14,-,-,-,-,-,21.48,-,84.6,25.0,-
18,臺北市,2008/07/29,中山,4.7,1.27,-,8.7,12,38,25.0,74.22,48.28,25.94,2.532,0.483,2.05,-,-,27.91,-,79.0,38.0,-
19,臺北市,2008/07/28,古亭,1.2,0.2,-,27.9,30,29,11.0,7.39,2.44,4.95,1.817,0.032,1.78,-,-,-,-,-,29.0,-
20,臺北市,2008/07/28,中山,2.0,0.26,-,23.7,27,25,15.0,11.63,3.52,8.1,-,-,-,-,-,27.89,-,80.79,25.0,-
21,臺北市,2008/07/28,萬華,1.2,0.33,-,26.7,31,17,9.0,10.87,2.6,8.27,-,-,-,-,-,28.22,-,83.48,28.0,-
22,臺北市,2008/07/28,士林,0.7,0.14,-,35.1,37,28,7.0,4.87,1.13,3.73,-,-,-,-,-,28.4,-,78.2,34.0,-
23,臺北市,2008/07/28,松山,1.2,0.18,377.83,26.9,30,20,7.0,4.05,2.02,2.02,1.766,0.058,1.71,-,-,-,-,-,26.0,-
24,臺北市,2008/07/28,陽明,1.0,0.12,268.94,29.4,31,6,3.0,2.29,1.02,1.27,-,-,-,-,-,22.22,-,86.05,27.0,-
25,臺北市,2008/07/27,古亭,1.6,0.25,-,16.6,20,32,13.0,13.36,5.21,8.03,1.817,0.053,1.76,-,-,-,-,-,32.0,-
26,臺北市,2008/07/27,陽明,1.0,0.05,362.02,22.5,26,6,3.0,2.39,0.9,1.01,-,-,-,-,-,22.07,-,86.5,24.0,-
27,臺北市,2008/07/27,萬華,1.6,0.25,-,20.3,24,25,12.0,12.76,4.35,8.3,-,-,-,-,-,29.39,-,79.1,25.0,-
28,臺北市,2008/07/27,松山,4.1,0.2,380.38,14.3,20,37,14.0,35.62,25.8,8.1,1.796,0.078,1.72,-,-,-,-,-,37.0,-
29,臺北市,2008/07/27,士林,0.8,0.15,-,25.4,32,31,10.0,6.97,2.43,3.98,-,-,-,-,-,28.86,-,77.01,31.0,-
30,臺北市,2008/07/27,中山,2.2,0.28,-,16.2,20,32,19.0,17.15,7.05,9.29,1.842,0.038,1.81,-,-,28.99,-,76.83,32.0,-
31,臺北市,2008/07/26,士林,4.0,0.26,-,29.3,47,48,29.0,15.17,3.34,11.83,-,-,-,-,-,30.72,-,69.76,50.0,-
