序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2003/06/30,松山,6.6,0.7,400.21,31.9,-,-,-,-,-,-,-,-,-,30.82,-,-,72.0,-
2,臺北市,2003/06/30,古亭,4.3,0.77,-,34.4,-,45,37.31,30.54,6.03,24.51,2.905,0.62,2.29,31.85,-,-,79.0,-
3,臺北市,2003/06/30,中山,0.5,0.78,-,22.6,-,53,-,36.13,8.16,27.97,2.556,0.42,2.13,31.68,-,-,66.0,-
4,臺北市,2003/06/30,大同,7.4,1.47,-,-,-,95,-,105.15,62.97,42.18,2.981,0.66,2.32,32.32,-,-,72.0,-
5,臺北市,2003/06/30,萬華,4.2,0.82,-,30.3,-,51,-,29.46,4.74,24.72,-,-,-,31.12,-,-,81.0,-
6,臺北市,2003/06/30,陽明,3.9,0.31,385.01,50.9,-,27,-,11.53,0.48,11.05,-,-,-,24.37,-,87.0,96.0,-
7,臺北市,2003/06/30,士林,5.6,0.52,-,22.6,-,36,-,31.42,7.63,23.8,-,-,-,29.65,-,-,58.0,-
8,臺北市,2003/06/29,松山,2.8,0.66,397.87,18.4,-,-,-,58.62,38.18,-,-,-,-,30.98,-,-,60.0,-
9,臺北市,2003/06/29,古亭,1.8,0.67,-,22.5,-,27,21.09,25.23,7.61,17.62,2.856,0.56,2.3,31.67,-,-,64.0,-
10,臺北市,2003/06/29,中山,0.6,0.71,-,11.9,-,42,-,35.33,13.91,21.42,2.6,0.39,2.21,31.4,-,-,42.0,-
11,臺北市,2003/06/29,大同,6.1,1.39,-,-,-,97,-,108.01,74.42,33.59,2.969,0.57,2.39,32.11,-,-,74.0,-
12,臺北市,2003/06/29,萬華,2.2,0.61,-,23.8,-,34,-,18.73,3.51,15.22,-,-,-,31.2,-,-,56.0,-
13,臺北市,2003/06/29,陽明,1.2,0.29,377.05,28.7,-,17,-,6.84,0.41,6.43,-,-,-,24.22,-,85.0,44.0,-
14,臺北市,2003/06/29,士林,3.2,0.29,-,13.9,-,30,-,23.66,7.54,16.12,-,-,-,29.49,-,-,39.0,-
15,臺北市,2003/06/28,松山,8.1,0.76,405.78,27.6,-,47,-,35.95,7.22,28.73,-,-,-,30.26,-,-,70.0,-
16,臺北市,2003/06/28,古亭,3.1,0.72,-,30.6,-,32,19.82,28.71,8.78,19.93,2.897,0.6,2.3,31.53,-,-,69.0,-
