序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2006/05/31,松山,6.4,1.32,431.98,14.9,24,54,43.0,70.59,23.66,46.93,-,-,-,23.33,-,83.06,52.0,-
2,臺北市,2006/05/31,古亭,4.6,1.35,-,15.0,22,53,36.0,63.01,20.2,42.82,2.822,0.579,2.24,23.1,-,89.46,52.0,-
3,臺北市,2006/05/31,中山,7.7,1.79,-,11.1,17,72,53.0,92.61,35.98,56.64,3.217,0.825,2.39,23.46,-,82.93,61.0,-
4,臺北市,2006/05/31,萬華,5.2,1.74,-,13.9,19,60,50.0,68.62,28.69,39.92,-,-,-,24.23,-,86.37,55.0,-
5,臺北市,2006/05/31,陽明,1.6,0.18,398.4,38.8,44,7,6.0,5.19,1.19,4.0,-,-,-,19.57,-,97.0,53.0,-
6,臺北市,2006/05/31,士林,4.3,1.32,-,21.4,29,60,40.0,60.98,15.6,45.38,-,-,-,23.55,-,85.37,55.0,-
7,臺北市,2006/05/30,松山,3.7,0.61,403.6,31.7,49,25,20.0,43.68,6.67,37.01,-,-,-,19.05,-,84.08,52.0,-
8,臺北市,2006/05/30,古亭,2.8,0.75,-,30.9,51,29,23.0,46.98,10.04,36.93,2.162,0.226,1.94,18.56,-,91.55,52.0,-
9,臺北市,2006/05/30,中山,4.3,0.85,-,26.5,45,32,20.0,57.62,13.35,44.28,2.138,0.331,1.81,19.28,-,83.66,49.0,-
10,臺北市,2006/05/30,萬華,3.3,0.7,-,35.9,54,26,23.0,38.35,8.29,30.06,-,-,-,20.33,-,85.55,53.0,-
11,臺北市,2006/05/30,陽明,2.1,0.2,394.43,65.6,73,12,10.0,4.3,1.28,3.02,-,-,-,15.07,-,96.0,64.0,-
12,臺北市,2006/05/30,士林,2.2,0.4,-,51.6,61,25,15.0,21.87,2.1,19.76,-,-,-,19.45,-,83.59,56.0,-
13,臺北市,2006/05/29,松山,5.6,0.61,404.3,34.6,54,27,20.0,41.98,5.96,36.03,-,-,-,20.08,-,82.58,58.0,-
14,臺北市,2006/05/29,古亭,3.9,0.7,-,33.9,52,34,19.0,45.29,10.1,35.19,2.14,0.211,1.93,19.78,-,88.16,53.0,-
15,臺北市,2006/05/29,中山,4.8,0.82,-,30.1,49,34,21.0,52.51,11.78,40.73,2.135,0.324,1.81,20.36,-,81.62,55.0,-
16,臺北市,2006/05/29,萬華,5.6,0.76,-,37.0,55,30,26.0,40.33,8.82,31.51,-,-,-,21.43,-,83.54,56.0,-
17,臺北市,2006/05/29,陽明,2.2,0.21,395.33,68.6,74,10,7.0,3.03,0.91,2.1,-,-,-,15.02,-,95.0,66.0,-
18,臺北市,2006/05/29,士林,-,-,-,-,39,-,-,-,-,-,-,-,-,-,-,-,42.0,-
19,臺北市,2006/05/28,松山,3.1,0.61,402.35,24.0,41,46,34.0,34.86,7.73,27.13,-,-,-,22.84,-,76.59,46.0,-
20,臺北市,2006/05/28,古亭,2.4,0.68,-,22.5,35,46,31.0,35.25,8.85,26.4,2.246,0.22,2.03,22.35,-,83.69,46.0,-
21,臺北市,2006/05/28,中山,3.6,0.78,-,18.0,30,50,33.0,47.8,14.64,33.16,2.269,0.326,1.94,22.91,-,77.15,50.0,-
22,臺北市,2006/05/28,萬華,2.0,0.68,-,25.7,45,45,33.0,30.97,9.51,21.46,-,-,-,23.78,-,79.5,45.0,-
23,臺北市,2006/05/28,陽明,3.3,0.22,394.7,51.9,73,23,16.0,3.86,0.6,3.21,-,-,-,16.8,-,92.0,65.0,-
24,臺北市,2006/05/27,松山,5.9,0.66,408.2,14.4,27,46,31.0,37.9,14.84,23.06,-,-,-,28.64,-,65.0,46.0,-
25,臺北市,2006/05/27,古亭,4.4,0.63,-,13.3,28,47,23.0,35.12,14.73,20.4,2.208,0.287,1.92,28.4,-,69.95,47.0,-
26,臺北市,2006/05/27,中山,6.7,0.99,-,9.3,18,52,31.0,54.41,29.62,24.79,2.29,0.467,1.82,28.78,-,64.93,51.0,-
27,臺北市,2006/05/27,萬華,4.5,0.58,-,14.2,31,41,27.0,29.3,13.47,15.83,-,-,-,29.63,-,66.99,41.0,-
28,臺北市,2006/05/27,陽明,2.7,0.13,396.52,24.9,35,16,10.0,6.65,1.53,5.12,-,-,-,20.89,-,91.0,36.0,-
29,臺北市,2006/05/26,松山,5.1,0.87,419.43,26.1,59,63,38.0,47.22,17.1,30.12,-,-,-,29.25,-,64.55,69.0,-
30,臺北市,2006/05/26,古亭,4.2,0.89,-,22.0,49,63,36.0,42.03,17.1,24.93,2.352,0.374,1.98,29.36,-,68.82,56.0,-
31,臺北市,2006/05/26,中山,6.0,1.19,-,17.8,44,68,38.0,59.32,27.75,31.57,2.372,0.542,1.83,29.49,-,63.13,59.0,-
32,臺北市,2006/05/26,萬華,4.0,0.77,-,23.6,53,55,37.0,33.47,14.05,19.42,-,-,-,30.16,-,66.68,62.0,-
33,臺北市,2006/05/26,陽明,2.8,0.16,394.8,35.0,50,18,11.0,5.42,1.11,4.3,-,-,-,22.28,-,81.0,52.0,-
34,臺北市,2006/05/26,士林,6.1,0.72,-,31.0,61,73,36.0,34.26,13.09,21.17,-,-,-,29.17,-,69.88,62.0,-
35,臺北市,2006/05/25,松山,5.7,0.98,419.68,27.5,61,66,48.0,49.56,12.73,36.83,-,-,-,26.67,-,75.43,80.0,-
36,臺北市,2006/05/25,古亭,5.7,1.14,-,22.1,51,66,44.0,52.37,15.91,36.46,2.602,0.528,2.07,26.79,-,79.87,72.0,-
37,臺北市,2006/05/25,中山,7.6,1.38,-,18.2,40,73,48.0,67.69,24.79,42.9,2.668,0.658,2.01,26.77,-,75.17,62.0,-
38,臺北市,2006/05/25,萬華,5.7,1.09,-,25.9,56,66,50.0,44.82,15.91,28.91,-,-,-,27.71,-,77.72,79.0,-
