序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2006/08/31,松山,6.4,0.69,408.11,35.1,73,58,38.0,39.41,8.38,31.03,2.336,0.407,1.93,31.41,-,60.54,106.0,-
2,臺北市,2006/08/31,古亭,5.3,0.77,-,34.7,73,58,37.0,36.47,8.07,28.41,2.341,0.364,1.98,31.76,-,64.1,94.0,-
3,臺北市,2006/08/31,中山,7.2,0.97,-,26.2,61,65,37.0,53.17,16.55,36.62,2.425,0.307,2.12,31.19,-,61.61,85.0,-
4,臺北市,2006/08/31,萬華,6.1,0.66,-,39.2,75,56,37.0,32.78,5.37,27.4,-,-,-,32.69,-,59.66,80.0,-
5,臺北市,2006/08/31,陽明,3.7,0.2,391.36,49.5,65,30,22.0,5.71,0.95,4.76,-,-,-,25.28,-,74.0,59.0,-
6,臺北市,2006/08/31,士林,8.4,0.55,-,33.0,68,63,33.0,32.28,6.6,25.68,-,-,-,31.22,-,65.59,70.0,-
7,臺北市,2006/08/30,松山,6.6,0.61,401.05,32.8,61,63,45.0,34.95,6.89,28.07,2.241,0.339,1.9,31.98,-,58.08,72.0,-
8,臺北市,2006/08/30,古亭,5.8,0.75,-,26.0,55,63,39.0,38.57,10.75,27.82,2.361,0.377,1.98,32.23,-,62.73,60.0,-
9,臺北市,2006/08/30,中山,7.1,1.01,-,20.4,42,71,44.0,53.89,18.82,35.08,2.455,0.357,2.1,31.91,-,58.12,60.0,-
10,臺北市,2006/08/30,萬華,6.3,0.61,-,33.8,65,61,40.0,33.35,7.18,26.17,-,-,-,33.04,-,59.26,71.0,-
11,臺北市,2006/08/30,陽明,3.0,0.18,392.61,50.1,58,31,22.0,5.85,1.67,4.18,-,-,-,25.32,-,76.0,58.0,-
12,臺北市,2006/08/30,士林,6.0,0.44,-,29.0,56,66,34.0,25.41,3.85,21.56,-,-,-,31.87,-,63.08,58.0,-
13,臺北市,2006/08/29,松山,5.7,0.72,411.72,30.8,59,64,41.0,42.53,12.82,29.71,2.316,0.371,1.95,30.21,-,68.67,60.0,-
14,臺北市,2006/08/29,古亭,4.7,0.83,-,30.2,60,66,43.0,37.57,8.67,28.9,2.418,0.403,2.02,30.79,-,71.92,66.0,-
15,臺北市,2006/08/29,中山,6.1,1.09,-,17.8,35,67,42.0,55.29,20.53,34.76,2.689,0.524,2.16,30.01,-,69.26,58.0,-
16,臺北市,2006/08/29,萬華,5.1,0.71,-,40.6,77,64,41.0,32.02,7.38,24.65,-,-,-,31.71,-,67.29,72.0,-
17,臺北市,2006/08/29,陽明,2.5,0.2,394.94,57.5,73,40,32.0,4.65,0.74,3.89,-,-,-,24.39,-,82.0,71.0,-
18,臺北市,2006/08/29,士林,5.6,0.57,-,26.6,48,62,30.0,28.99,6.94,22.05,-,-,-,30.08,-,72.9,56.0,-
19,臺北市,2006/08/28,松山,6.9,0.85,416.17,35.1,81,48,33.0,49.36,18.78,30.58,2.516,0.38,2.14,29.18,-,68.21,120.0,-
