序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/02/28,松山,2.5,1.28,487.37,5.4,56,27,83.29,47.2,36.09,2.621,0.457,2.164,1.13,0.75,18.14,-,-,85.8,-
2,臺北市,2018/02/28,古亭,1.9,1.1,-,4.7,47,21,66.64,32.28,34.37,2.629,0.439,2.19,0.9,0.62,18.13,-,-,87.4,-
3,臺北市,2018/02/28,中山,3.6,1.56,-,3.8,65,34,100.92,61.26,39.66,3.128,0.562,2.566,1,0.54,18.44,-,-,93.88,-
4,臺北市,2018/02/28,大同,5.5,2.2,-,-,86,38,137.39,93.27,44.12,3.593,0.77,2.823,-,-,-,-,-,-,-
5,臺北市,2018/02/28,萬華,4,1.48,-,3.2,61,35,93.03,50.21,42.82,-,-,-,0.9,0.51,18.9,-,-,87.01,-
6,臺北市,2018/02/28,陽明,1.9,0.19,420.63,41.5,10,6,-,-,-,-,-,-,2.5,-,14.73,2.38,4.84,91.03,6.05
7,臺北市,2018/02/28,士林,4.2,0.93,-,8.8,60,31,53.78,23.35,30.43,-,-,-,1.03,0.74,18.56,-,-,89.47,-
8,臺北市,2018/02/27,松山,2.2,0.72,446.1,25.5,55,23,40.27,12.1,28.17,2.068,0.203,1.865,1.52,1.16,19.14,-,-,73,-
9,臺北市,2018/02/27,古亭,3.4,0.71,-,27.6,58,22,39.02,8.28,30.76,2.219,0.249,1.97,1.53,1.29,19.96,-,-,71.51,-
10,臺北市,2018/02/27,中山,3.5,0.84,-,24.9,58,25,48.19,17.35,30.85,2.256,0.255,2.002,1.73,1.4,19.8,-,-,78.22,-
11,臺北市,2018/02/27,大同,3.9,1.53,-,-,72,26,80.34,43.22,37.12,2.661,0.488,2.173,-,-,-,-,-,-,-
12,臺北市,2018/02/27,萬華,4.1,0.87,-,23.8,54,24,47.07,13.6,33.47,-,-,-,1.5,1.23,20.31,-,-,71.58,-
13,臺北市,2018/02/27,陽明,2.1,0.24,420.47,44,18,12,4.42,0.64,3.84,-,-,-,2.56,-,14.37,2,6.52,91.51,85.4
14,臺北市,2018/02/27,士林,2.5,0.45,-,36.6,51,25,20.96,4.98,15.98,-,-,-,1.82,1.72,20.33,-,-,75.1,-
15,臺北市,2018/02/26,松山,2.3,0.42,428.83,28.5,36,13,25.05,4.42,20.63,1.898,0.102,1.796,1.72,1.25,16.39,-,-,73.22,-
16,臺北市,2018/02/26,古亭,1.5,0.35,-,39.2,39,13,15.16,2.07,13.12,1.953,0.082,1.871,2.89,2.61,16.98,-,-,73.01,-
17,臺北市,2018/02/26,中山,2.2,0.54,-,27.8,39,15,32.24,7.9,24.34,2.055,0.141,1.914,2.3,1.97,17.15,-,-,78.02,-
18,臺北市,2018/02/26,大同,2.4,0.92,-,-,53,16,64.73,31.97,32.76,2.241,0.263,1.979,-,-,-,-,-,-,-
19,臺北市,2018/02/26,萬華,1.9,0.42,-,29.4,33,13,26.33,4,22.35,-,-,-,2.65,2.38,17.66,-,-,69.85,-
20,臺北市,2018/02/26,陽明,2.6,0.18,417.99,49.4,16,9,0.47,0.07,0.55,-,-,-,2.67,-,9.74,0.63,4.56,99.42,30.73
21,臺北市,2018/02/26,士林,1.2,0.3,-,40.1,32,15,10.59,1.89,8.7,-,-,-,2.34,2,17.59,-,-,75.15,-
22,臺北市,2018/02/25,松山,1.8,0.39,434.68,19.4,37,21,25.24,3.92,21.32,1.959,0.11,1.85,1.13,0.82,15.8,-,-,88.18,-
23,臺北市,2018/02/25,古亭,1.2,0.54,-,19.3,43,20,27.3,3.66,23.65,2.153,0.148,2.005,1.16,0.87,16.07,-,-,89.35,-
