序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","平均風向 WD_HR (degress)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2007/12/31,中山,5.4,0.68,-,17.2,23,90,37.0,40.13,15.35,24.78,2.219,0.231,1.99,-,-,11.98,-,50.47,70.0,-
2,臺北市,2007/12/31,松山,7.0,0.46,395.39,23.5,27,81,32.0,19.87,2.78,17.09,2.044,0.121,1.92,-,-,12.21,-,49.84,66.0,-
3,臺北市,2007/12/31,萬華,7.2,0.51,-,24.0,28,79,35.0,23.22,3.71,19.51,-,-,-,-,-,12.32,-,52.48,64.0,-
4,臺北市,2007/12/31,古亭,6.9,0.56,-,19.6,26,87,35.0,32.2,9.24,22.95,2.02,0.152,1.87,-,-,12.33,-,53.44,68.0,-
5,臺北市,2007/12/31,士林,6.3,0.4,-,28.5,31,84,31.0,15.38,3.12,12.26,-,-,-,-,-,11.91,-,50.45,67.0,-
6,臺北市,2007/12/31,陽明,6.7,0.28,395.72,35.4,40,49,22.0,6.2,0.99,5.21,-,-,-,-,-,3.52,-,82.75,49.0,-
7,臺北市,2007/12/30,中山,8.3,0.89,-,22.3,25,178,94.0,32.75,7.35,25.4,2.242,0.193,2.05,-,-,13.43,-,57.28,114.0,-
8,臺北市,2007/12/30,松山,12.0,0.76,401.92,28.2,34,172,75.0,18.91,1.89,17.02,2.114,0.116,2.0,-,-,13.94,-,55.19,111.0,-
9,臺北市,2007/12/30,萬華,13.2,0.81,-,28.9,34,166,89.0,22.2,2.14,20.06,-,-,-,-,-,14.0,-,58.66,108.0,-
10,臺北市,2007/12/30,古亭,11.8,0.82,-,25.4,28,175,93.0,25.95,3.77,22.17,2.064,0.141,1.92,-,-,14.03,-,58.83,112.0,-
11,臺北市,2007/12/30,士林,10.3,0.74,-,34.2,39,176,82.0,14.85,2.03,12.82,-,-,-,-,-,13.83,-,54.77,113.0,-
12,臺北市,2007/12/30,陽明,10.8,0.63,408.65,37.7,43,118,58.0,9.67,1.34,8.33,-,-,-,-,-,5.34,-,86.4,84.0,-
13,臺北市,2007/12/29,中山,4.3,0.87,-,13.9,25,47,29.0,40.57,16.57,24.0,2.3,0.249,2.05,-,-,17.26,-,72.34,47.0,-
14,臺北市,2007/12/29,松山,4.9,0.67,400.24,16.7,27,43,30.0,25.06,6.16,18.9,2.144,0.154,1.99,-,-,17.03,-,76.51,43.0,-
15,臺北市,2007/12/29,萬華,8.4,0.79,-,15.6,30,41,31.0,30.08,8.8,21.28,-,-,-,-,-,17.55,-,76.24,41.0,-
16,臺北市,2007/12/29,古亭,4.9,0.75,-,15.1,27,51,34.0,33.02,10.93,22.1,2.086,0.178,1.91,-,-,17.29,-,77.66,50.0,-
17,臺北市,2007/12/29,士林,5.2,0.6,-,23.4,34,40,22.0,13.73,3.33,10.4,-,-,-,-,-,17.54,-,69.52,40.0,-
18,臺北市,2007/12/29,陽明,4.7,0.5,407.29,28.2,37,14,10.0,6.83,1.28,5.55,-,-,-,-,-,10.02,-,92.92,33.0,-
19,臺北市,2007/12/28,中山,2.9,0.74,-,15.9,18,57,35.0,45.32,14.92,30.4,2.367,0.308,2.06,-,-,20.5,-,74.04,54.0,-
20,臺北市,2007/12/28,松山,4.0,0.54,395.73,16.3,22,54,26.0,34.4,7.71,26.69,2.175,0.219,1.96,-,-,20.12,-,77.7,52.0,-
21,臺北市,2007/12/28,萬華,5.4,0.68,-,20.2,26,49,29.0,37.33,9.22,28.12,-,-,-,-,-,20.44,-,79.02,49.0,-
22,臺北市,2007/12/28,古亭,3.4,0.58,-,18.0,21,57,31.0,36.08,11.15,24.93,2.057,0.191,1.87,-,-,20.33,-,78.73,54.0,-
23,臺北市,2007/12/28,士林,2.5,0.5,-,23.0,30,53,26.0,24.51,5.61,18.91,-,-,-,-,-,20.34,-,73.08,52.0,-
24,臺北市,2007/12/28,陽明,1.9,0.2,395.2,41.6,43,16,12.0,4.28,1.19,3.09,-,-,-,-,-,13.46,-,92.18,37.0,-
25,臺北市,2007/12/27,中山,2.7,0.64,-,19.3,24,50,21.0,38.51,10.26,28.25,2.253,0.252,2.0,-,-,20.45,-,72.21,50.0,-
26,臺北市,2007/12/27,松山,7.2,0.57,398.54,13.9,23,41,22.0,41.95,12.32,29.64,2.226,0.259,1.97,-,-,20.0,-,75.63,41.0,-
27,臺北市,2007/12/27,萬華,5.8,0.55,-,24.9,31,40,24.0,28.66,4.83,23.83,-,-,-,-,-,20.59,-,75.26,40.0,-
28,臺北市,2007/12/27,古亭,4.7,0.54,-,24.0,34,45,26.0,32.41,9.43,22.97,2.003,0.163,1.84,-,-,20.45,-,75.14,45.0,-
29,臺北市,2007/12/27,士林,1.8,0.33,-,34.4,36,45,19.0,12.57,2.37,10.22,-,-,-,-,-,20.98,-,67.46,45.0,-
30,臺北市,2007/12/27,陽明,-,-,-,-,46,14,10.0,-,-,-,-,-,-,-,-,13.58,-,90.96,39.0,-
31,臺北市,2007/12/26,中山,2.2,0.7,-,19.2,31,50,22.0,42.17,12.53,29.64,2.276,0.286,1.99,-,-,18.81,-,68.87,50.0,-
32,臺北市,2007/12/26,松山,3.2,0.52,394.85,19.0,30,49,23.0,38.06,10.37,27.69,2.163,0.223,1.94,-,-,18.95,-,70.1,49.0,-
33,臺北市,2007/12/26,萬華,5.8,0.66,-,22.7,33,44,25.0,33.24,7.25,26.0,-,-,-,-,-,19.16,-,71.81,44.0,-
34,臺北市,2007/12/26,古亭,3.1,0.54,-,23.2,31,44,24.0,32.88,9.42,23.46,2.021,0.168,1.85,-,-,18.95,-,72.23,44.0,-
35,臺北市,2007/12/26,士林,1.5,0.32,-,35.6,39,42,16.0,10.06,1.06,8.99,-,-,-,-,-,19.24,-,65.26,42.0,-
36,臺北市,2007/12/26,陽明,1.1,0.18,387.94,45.0,46,16,9.0,2.87,1.07,1.8,-,-,-,-,-,11.4,-,91.97,39.0,-
37,臺北市,2007/12/25,中山,2.0,0.76,-,18.8,22,41,18.0,41.06,11.87,29.19,2.284,0.274,2.01,-,-,19.75,-,72.72,41.0,-
38,臺北市,2007/12/25,松山,2.4,0.51,392.6,22.2,24,32,18.0,29.88,5.59,24.29,2.125,0.182,1.94,-,-,19.55,-,74.71,32.0,-
39,臺北市,2007/12/25,萬華,3.5,0.73,-,20.1,28,33,18.0,35.03,7.27,27.76,-,-,-,-,-,19.79,-,77.51,33.0,-
40,臺北市,2007/12/25,古亭,2.4,0.59,-,20.9,24,40,30.0,33.2,8.6,24.6,2.046,0.166,1.88,-,-,19.59,-,77.72,40.0,-
41,臺北市,2007/12/25,士林,1.7,0.46,-,28.9,37,36,16.0,16.04,3.29,12.75,-,-,-,-,-,19.66,-,72.12,36.0,-
42,臺北市,2007/12/25,陽明,1.1,0.21,374.41,43.9,46,12,6.0,2.56,1.16,1.38,-,-,-,-,-,12.33,-,92.3,39.0,-
43,臺北市,2007/12/24,中山,3.1,1.05,-,14.5,33,38,19.0,63.08,25.77,37.31,2.558,0.472,2.09,-,-,17.69,-,88.66,38.0,-
44,臺北市,2007/12/24,松山,2.4,0.63,396.94,16.9,29,25,17.0,47.56,16.12,31.44,2.222,0.251,1.97,-,-,18.14,-,88.02,30.0,-
45,臺北市,2007/12/24,萬華,4.0,1.03,-,14.2,34,30,25.0,52.13,16.73,35.4,-,-,-,-,-,18.15,-,92.24,33.0,-
46,臺北市,2007/12/24,古亭,2.3,0.86,-,17.7,36,31,27.0,50.87,19.06,31.82,2.197,0.291,1.91,-,-,18.03,-,91.15,35.0,-
47,臺北市,2007/12/24,士林,1.5,0.67,-,18.9,39,32,11.0,31.94,6.44,25.48,-,-,-,-,-,17.96,-,86.85,36.0,-
48,臺北市,2007/12/24,陽明,1.0,0.25,372.74,45.1,47,5,3.0,2.45,0.93,1.52,-,-,-,-,-,12.57,-,93.52,40.0,-
49,臺北市,2007/12/23,中山,2.5,0.64,-,19.1,21,35,18.0,28.49,5.85,22.64,2.164,0.179,1.99,-,-,19.69,-,79.2,35.0,-
50,臺北市,2007/12/23,松山,2.7,0.47,391.96,21.6,23,28,14.0,21.81,2.55,19.25,2.033,0.116,1.92,-,-,19.5,-,82.49,28.0,-
51,臺北市,2007/12/23,萬華,5.8,0.63,-,22.0,23,28,19.0,25.31,3.89,21.42,-,-,-,-,-,20.03,-,83.28,28.0,-
52,臺北市,2007/12/23,古亭,3.3,0.56,-,21.4,24,35,22.0,25.03,5.41,19.62,1.975,0.111,1.86,-,-,19.76,-,83.99,35.0,-
53,臺北市,2007/12/23,士林,1.6,0.44,-,31.1,35,31,13.0,9.48,1.05,8.42,-,-,-,-,-,20.43,-,73.11,32.0,-
