序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2008/04/30,松山,5.2,1.02,408.16,20.0,25,47,-,51.34,10.47,40.87,2.522,0.462,2.06,-,24.53,-,79.65,47.0,-
2,臺北市,2008/04/30,古亭,3.5,1.03,-,21.0,26,47,33.0,49.95,10.63,39.33,2.393,0.393,2.0,-,24.74,-,81.53,47.0,-
3,臺北市,2008/04/30,中山,3.9,1.32,-,20.5,31,51,27.0,65.58,21.1,44.46,2.546,0.482,2.06,-,24.19,-,81.36,50.0,-
4,臺北市,2008/04/30,萬華,4.4,0.99,-,27.5,37,39,28.0,40.48,7.09,33.39,-,-,-,-,24.74,-,82.14,50.0,-
5,臺北市,2008/04/30,陽明,2.2,0.27,393.78,44.6,47,19,13.0,5.64,1.89,3.75,-,-,-,-,18.58,-,87.24,42.0,-
6,臺北市,2008/04/30,士林,2.4,0.55,-,37.0,42,32,14.0,24.81,4.39,20.41,-,-,-,-,25.13,-,75.62,47.0,-
7,臺北市,2008/04/29,松山,3.3,0.56,391.9,28.1,37,27,-,-,-,-,2.203,0.222,1.98,-,22.16,-,86.09,39.0,-
8,臺北市,2008/04/29,古亭,2.7,0.66,-,29.5,41,36,21.0,36.51,7.7,28.8,2.035,0.187,1.85,-,22.57,-,87.12,40.0,-
9,臺北市,2008/04/29,中山,3.9,0.72,-,29.0,39,52,20.0,39.49,8.2,31.29,2.175,0.229,1.95,-,22.47,-,84.92,51.0,-
10,臺北市,2008/04/29,萬華,3.1,0.63,-,32.8,42,30,23.0,28.81,3.73,25.07,-,-,-,-,22.72,-,86.69,38.0,-
11,臺北市,2008/04/29,陽明,2.5,0.21,386.69,57.9,63,6,4.0,4.01,1.51,2.5,-,-,-,-,16.58,-,90.29,53.0,-
12,臺北市,2008/04/29,士林,3.1,0.35,-,43.0,49,33,16.0,15.67,2.12,13.55,-,-,-,-,22.94,-,80.65,48.0,-
13,臺北市,2008/04/28,松山,5.4,0.65,401.63,26.9,35,54,41.0,38.8,4.15,34.65,2.288,0.269,2.02,-,22.71,-,75.1,52.0,-
14,臺北市,2008/04/28,古亭,4.5,0.72,-,26.0,31,60,40.0,38.79,7.99,30.8,2.165,0.235,1.93,-,22.6,-,78.98,55.0,-
15,臺北市,2008/04/28,中山,5.8,0.86,-,24.4,31,54,37.0,43.65,7.98,35.67,2.384,0.323,2.06,-,22.39,-,77.05,52.0,-
16,臺北市,2008/04/28,萬華,5.8,0.78,-,27.9,36,55,42.0,34.54,4.64,29.9,-,-,-,-,22.7,-,78.79,52.0,-
17,臺北市,2008/04/28,陽明,1.7,0.26,385.24,59.8,66,25,20.0,3.7,0.38,3.27,-,-,-,-,15.64,-,89.26,67.0,-
18,臺北市,2008/04/28,士林,4.4,0.5,-,32.0,41,51,28.0,26.23,3.68,22.52,-,-,-,-,22.44,-,77.43,50.0,-
19,臺北市,2008/04/27,松山,1.6,0.41,389.17,38.6,50,55,28.0,20.29,0.99,19.3,2.097,0.149,1.95,-,24.74,-,55.73,52.0,-
20,臺北市,2008/04/27,古亭,1.8,0.44,-,42.3,50,59,32.0,22.79,3.96,18.84,1.966,0.11,1.86,-,25.13,-,57.87,54.0,-
21,臺北市,2008/04/27,中山,2.4,0.55,-,40.9,54,67,30.0,28.95,4.85,24.09,2.116,0.169,1.95,-,24.72,-,56.86,58.0,-
22,臺北市,2008/04/27,萬華,2.3,0.53,-,43.3,55,56,30.0,23.18,2.81,20.37,-,-,-,-,25.46,-,56.96,60.0,-
