序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2006/02/28,松山,3.4,0.47,404.81,23.5,33,15,10.0,38.75,9.64,29.1,-,-,-,16.92,-,83.77,33.0,-
2,臺北市,2006/02/28,古亭,3.3,0.66,-,22.4,39,21,9.0,42.64,12.42,30.22,2.179,0.224,1.95,16.76,-,89.41,38.0,-
3,臺北市,2006/02/28,中山,2.7,0.74,-,20.2,38,29,12.0,49.58,16.28,33.29,2.22,0.229,1.99,17.2,-,83.16,35.0,-
4,臺北市,2006/02/28,萬華,2.9,0.64,-,25.1,40,18,12.0,37.18,7.95,29.22,-,-,-,17.17,-,86.49,38.0,-
5,臺北市,2006/02/28,陽明,1.3,0.21,383.42,52.2,56,5,3.0,2.28,1.1,1.17,-,-,-,11.89,-,97.0,48.0,-
6,臺北市,2006/02/28,士林,1.7,0.49,-,26.6,37,27,12.0,26.32,4.36,21.96,-,-,-,17.48,-,83.89,39.0,-
7,臺北市,2006/02/27,松山,3.7,0.45,406.23,24.5,40,28,12.0,36.21,8.24,27.97,-,-,-,15.1,-,80.74,37.0,-
8,臺北市,2006/02/27,古亭,4.4,0.48,-,29.9,37,36,15.0,27.3,6.21,21.08,2.037,0.136,1.9,14.95,-,85.44,36.0,-
9,臺北市,2006/02/27,中山,3.2,0.62,-,26.3,42,43,16.0,36.38,9.66,26.71,2.065,0.157,1.91,15.7,-,77.01,43.0,-
10,臺北市,2006/02/27,萬華,5.0,0.5,-,32.7,45,30,17.0,25.89,3.46,22.43,-,-,-,15.69,-,80.0,42.0,-
11,臺北市,2006/02/27,陽明,0.6,0.2,383.16,52.5,53,5,3.0,2.2,1.32,0.88,-,-,-,9.51,-,98.0,46.0,-
12,臺北市,2006/02/27,士林,1.0,0.31,-,43.0,48,27,10.0,9.51,1.91,7.59,-,-,-,16.69,-,72.01,43.0,-
13,臺北市,2006/02/26,松山,2.4,0.52,407.09,20.6,27,32,20.0,28.32,4.9,23.42,-,-,-,16.47,-,80.81,32.0,-
14,臺北市,2006/02/26,古亭,2.8,0.61,-,16.9,21,32,17.0,32.34,7.09,25.25,2.223,0.195,2.03,16.27,-,86.12,32.0,-
