序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,1999/10/31,松山,3.8,1.15,40.4,-,76,-,50.95,14.71,36.24,-,-,-,27.48,-,-,127.0,-
2,臺北市,1999/10/31,古亭,2.8,1.13,37.6,-,71,35,49.15,13.58,35.57,2.64,0.48,2.16,27.88,-,-,104.0,-
3,臺北市,1999/10/31,中山,4.6,1.36,37.4,-,71,-,57.75,16.97,40.79,2.964,0.55,2.41,27.89,-,-,100.0,-
4,臺北市,1999/10/31,大同,6.5,2.8,-,-,75,-,133.74,83.12,50.61,3.631,1.23,2.4,28.52,-,-,63.0,-
5,臺北市,1999/10/31,萬華,3.5,1.21,38.1,-,69,-,44.92,8.18,36.74,-,-,-,28.03,-,-,103.0,-
6,臺北市,1999/10/31,陽明,1.8,0.31,56.7,-,21,-,5.54,0.5,5.04,-,-,-,22.04,-,80.0,119.0,-
7,臺北市,1999/10/31,士林,-,0.91,35.9,-,57,-,19.2,11.54,7.67,-,-,-,27.32,-,-,87.0,-
8,臺北市,1999/10/30,松山,2.8,0.76,15.2,-,42,-,42.75,12.74,30.01,-,-,-,24.96,-,-,42.0,-
9,臺北市,1999/10/30,古亭,1.1,0.62,23.6,-,22,12,27.33,7.7,19.63,2.204,0.23,1.98,25.3,-,-,26.0,-
10,臺北市,1999/10/30,中山,3.1,0.74,16.8,-,34,-,41.58,12.41,29.16,2.34,0.21,2.13,25.31,-,-,34.0,-
11,臺北市,1999/10/30,大同,8.4,3.81,-,-,46,-,179.82,134.95,44.87,3.624,1.54,2.08,26.2,-,-,60.0,-
12,臺北市,1999/10/30,萬華,1.3,0.77,22.3,-,21,-,28.49,5.03,23.46,-,-,-,25.38,-,-,27.0,-
13,臺北市,1999/10/30,陽明,3.1,0.23,39.7,-,13,-,4.41,0.33,4.08,-,-,-,17.93,-,93.0,39.0,-
14,臺北市,1999/10/30,士林,-,0.35,27.3,-,19,-,6.42,2.15,4.26,-,-,-,25.41,-,-,32.0,-
15,臺北市,1999/10/29,松山,5.2,0.85,16.5,-,77,-,45.66,11.85,33.81,-,-,-,24.94,-,-,63.0,-
16,臺北市,1999/10/29,古亭,4.0,1.08,19.9,-,56,31,49.27,17.98,31.3,2.525,0.41,2.11,25.04,-,-,53.0,-
17,臺北市,1999/10/29,中山,9.7,0.94,14.2,-,85,-,62.83,22.11,40.72,3.077,0.7,2.38,25.33,-,-,68.0,-
18,臺北市,1999/10/29,大同,12.4,4.11,-,-,85,-,173.89,121.86,52.02,4.554,2.24,2.32,26.19,-,-,67.0,-
19,臺北市,1999/10/29,萬華,7.2,1.11,22.2,-,79,-,46.08,9.55,36.53,-,-,-,25.22,-,-,64.0,-
20,臺北市,1999/10/29,陽明,1.9,0.27,46.6,-,20,-,4.52,0.11,4.41,-,-,-,18.35,-,91.0,56.0,-
21,臺北市,1999/10/29,士林,5.3,0.72,21.7,-,52,-,18.62,6.55,12.07,-,-,-,25.16,-,-,51.0,-
22,臺北市,1999/10/28,松山,5.1,0.89,19.9,-,65,-,49.88,14.62,35.25,-,-,-,24.65,-,-,58.0,-
23,臺北市,1999/10/28,古亭,2.8,0.98,26.3,-,45,30,44.96,14.25,30.71,2.392,0.33,2.06,25.29,-,-,45.0,-
24,臺北市,1999/10/28,中山,2.9,0.79,25.9,-,54,-,40.94,7.98,32.95,2.409,0.19,2.22,25.29,-,-,52.0,-
25,臺北市,1999/10/28,大同,7.1,3.69,-,-,55,-,171.46,118.75,52.72,4.148,1.94,2.2,26.17,-,-,60.0,-
26,臺北市,1999/10/28,萬華,3.9,1.1,26.5,-,44,-,47.62,12.86,34.76,-,-,-,25.32,-,-,44.0,-
27,臺北市,1999/10/28,陽明,2.7,0.2,49.7,-,15,-,4.12,0.14,3.98,-,-,-,18.34,-,91.0,63.0,-
28,臺北市,1999/10/28,士林,1.0,0.43,35.3,-,48,-,7.79,1.29,6.5,-,-,-,25.29,-,-,48.0,-
29,臺北市,1999/10/27,松山,6.3,0.94,13.4,-,67,-,57.06,16.71,40.35,-,-,-,23.13,-,-,58.0,-
30,臺北市,1999/10/27,古亭,2.7,0.79,29.4,-,34,19,38.95,11.81,27.15,2.487,0.27,2.21,23.26,-,-,77.0,-
31,臺北市,1999/10/27,中山,3.9,0.75,21.0,-,51,-,41.67,6.72,34.95,2.629,0.38,2.25,23.6,-,-,51.0,-
32,臺北市,1999/10/27,大同,7.6,3.66,-,-,63,-,173.49,119.95,53.55,4.079,1.8,2.28,24.49,-,-,59.0,-
33,臺北市,1999/10/27,萬華,3.7,0.91,25.2,-,39,-,34.08,3.39,30.7,-,-,-,23.53,-,-,39.0,-
34,臺北市,1999/10/27,陽明,1.5,0.23,51.4,-,16,-,2.96,0.08,2.89,-,-,-,16.05,-,91.0,52.0,-
35,臺北市,1999/10/27,士林,2.1,0.34,33.5,-,46,-,9.16,2.03,7.13,-,-,-,23.48,-,-,46.0,-
36,臺北市,1999/10/26,松山,9.3,0.81,13.2,-,54,-,55.41,19.84,35.57,-,-,-,23.67,-,-,52.0,-
37,臺北市,1999/10/26,古亭,8.2,0.81,20.8,-,34,16,52.57,20.16,32.4,-,-,-,24.45,-,-,38.0,-
38,臺北市,1999/10/26,中山,5.3,0.85,17.3,-,34,-,49.52,14.87,34.65,2.554,0.33,2.22,24.42,-,-,34.0,-
39,臺北市,1999/10/26,大同,9.3,-,-,-,47,-,198.19,146.98,51.21,4.39,2.17,2.21,25.49,-,-,76.0,-
