序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),風速
WIND_SPEED
(m/sec),溫度
AMB_TEMP
(℃),相對濕度
RH
(percent)
1,臺北市,2015/06/30,松山,-,-,-,-,-,18,-,-,-,-,-,-
2,臺北市,2015/06/30,松山,3.3,0.53,424.46,26.4,34,-,27.98,7.21,20.77,2.09,32.17,60.76
3,臺北市,2015/06/30,古亭,-,-,-,-,-,15,-,-,-,-,-,-
4,臺北市,2015/06/30,古亭,2.7,0.46,-,25.9,49,-,21.35,4.41,16.94,2.16,31.46,68.58
5,臺北市,2015/06/30,中山,-,-,-,-,-,19,-,-,-,-,-,-
6,臺北市,2015/06/30,中山,4.1,0.8,-,18.4,43,-,39.19,12.66,26.53,1.96,32.88,60.4
7,臺北市,2015/06/30,大同,-,-,-,-,-,15,-,-,-,-,-,-
8,臺北市,2015/06/30,大同,4.1,1.87,-,-,55,-,57.8,30.56,27.24,-,-,-
9,臺北市,2015/06/30,萬華,-,-,-,-,-,17,-,-,-,-,-,-
10,臺北市,2015/06/30,萬華,3.1,0.5,-,26.2,38,-,21.5,3.83,17.66,1.91,32.23,61.76
11,臺北市,2015/06/30,陽明,-,-,-,-,-,13,-,-,-,-,-,-
12,臺北市,2015/06/30,陽明,2.4,0.14,396.5,29.9,20,-,7.1,1.36,5.74,-,24.6,86.52
13,臺北市,2015/06/30,士林,-,-,-,-,-,14,-,-,-,-,-,-
14,臺北市,2015/06/30,士林,3.2,0.34,-,24.1,43,-,18.78,3.81,14.97,2.51,31.87,63.96
15,臺北市,2015/06/29,松山,-,-,-,-,-,17,-,-,-,-,-,-
16,臺北市,2015/06/29,松山,2.3,0.47,420.04,21.6,40,-,25.55,7.5,18.05,2.19,32.23,62.19
17,臺北市,2015/06/29,古亭,-,-,-,-,-,15,-,-,-,-,-,-
18,臺北市,2015/06/29,古亭,1.9,0.45,-,20.2,49,-,19.41,4.16,15.25,2.22,31.33,72.48
19,臺北市,2015/06/29,中山,-,-,-,-,-,21,-,-,-,-,-,-
20,臺北市,2015/06/29,中山,3.6,0.73,-,16.6,45,-,36.05,13.33,22.72,2.21,32.89,62.94
21,臺北市,2015/06/29,大同,-,-,-,-,-,19,-,-,-,-,-,-
22,臺北市,2015/06/29,大同,3.8,2.03,-,-,54,-,62.56,36.83,25.74,-,-,-
23,臺北市,2015/06/29,萬華,-,-,-,-,-,16,-,-,-,-,-,-
24,臺北市,2015/06/29,萬華,1.9,0.47,-,20.6,33,-,19.96,3.88,16.07,2.05,32.22,65.25
